tm_code,tm_formal_name,tm_fr_description,changes
8002154,potassium phosphate dibasic and potassium phosphate monobasic,phosphate de potassium dibasique et phosphate de potassium monobasique,ADDED
8002282,fibrinogen human and thrombin human,fibrinogène humaine et thrombine humaine,ADDED
8002161,sodium bicarbonate,bicarbonate de sodium,ADDED
8001844,magnesium chloride,chlorure de magnésium,ADDED
8001615,chloroxylenol,chloroxylénol,ADDED
45c4436b5d3f571e39b8e7e40177a722,perfluorohexyloctane,perfluorohexyloctane,ADDED
8001232,spiramycin,spiramycine,"tm_status_effective_time: ""20240620"" -> ""20230620"""
8002278,coagulation factor ii (human) and coagulation factor IX human and coagulation factor vii (human) and coagulation factor x (human) and protein c and protein s,facteur II de coagulation humain et facteur IX de coagulation humain et facteur VII de coagulation humain et facteur X de coagulation humain et protéine c et protéine s,ADDED
8001579,benzethonium,benzéthonium,ADDED
8002452,cytarabine and daunorubicin,cytarabine et daunorubicine,ADDED
8002524,danicopan,danicopan,ADDED
8001757,doxorubicin,doxorubicine,ADDED
8001004,benzoyl peroxide and salicylic acid,peroxyde de benzoyle et acide salicylique,ADDED
8002088,acetic acid and sodium acetate,acide acétique et acétate de sodium,ADDED
8001976,triclosan,triclosan,ADDED
8002047,paclitaxel,paclitaxel,ADDED
8001870,potassium chloride,chlorure de potassium,ADDED
8000001,levothyroxine,lévothyroxine,"tm_status_effective_time: ""19511230"" -> ""19511231"""
3cb2a229d65a6621c21a5dfd52739d94,momelotinib,momélotinib,ADDED
8002526,tarlatamab,tarlatamab,ADDED
8000796,benzalkonium,benzalkonium,ADDED
8002160,sodium acetate,acétate de sodium,ADDED
8001878,sodium iodide,iodure de sodium,ADDED
8002215,amphotericin B,amphotéricine B,ADDED
8001476,follitropin beta,follitropine bêta,ADDED
8002266,risankizumab,risankizumab,"tm_status_effective_time: ""20190513"" -> ""20220601"""
8002070,pirfenidone,pirfénidone,"tm_status_effective_time: ""20130108"" -> ""20170726"""
6193243ac2253ad15b894f7a98f0ae95,ferric carboxymaltose,carboxymaltose ferrique,ADDED
8000912,alcohol anhydrous and chlorhexidine,alcool anhydre et chlorhexidine,ADDED
