drug_code,drug_identification_number,current_brand_name,previous_brand_name
"101851","02529297","REVEL RTU WIPES","CITRI-1 WIPES"
"12458","00851779","PLENDIL","PLENDIL 5 MG"
"12459","00851787","PLENDIL","PLENDIL 10 MG"
"15574","02057778","PLENDIL","PLENDIL 2.5 MG"
"23194","01964070","PMS-DEXAMETHASONE","PMS DEXAMETHASONE TAB 4MG"
"23260","01964968","PMS-DEXAMETHASONE","PMS DEXAMETHASONE TAB 0.75MG USP"
"23261","01964976","PMS-DEXAMETHASONE","PMS DEXAMETHASONE TAB 0.5MG USP"
"35083","02181746","SODIUM ACETATE INJECTION USP","SODIUM ACETATE-OMEGA"
"74515","02259893","APO-TIZANIDINE","TIZANIDINE"
"93145","02446189","AQUAPHOR HEALING OINTMENT","EUCERIN AQUAPHOR HEALING OINTMENT"
"95295","02464802","DIAL FOAMING ANTIBACTERIAL HAND WASH","DIAL COMPLETE ANTIBACTERIAL FOAMING HAND WASH"
"95297","02464829","DIAL ANTIBACTERIAL HAND SOAP","DIAL ANTIBACTERIAL HYDRATING HAND SOAP"
"96288","02473488","APO-TELMISARTAN-AMLODIPINE","AA-TELMISARTAN-AMLODIPINE"
"96289","02473496","APO-TELMISARTAN-AMLODIPINE","AA-TELMISARTAN-AMLODIPINE"
"74514","02259885","APO-TIZANIDINE","TIZANIDINE"
"62400","02238955","NUGEN S-21F","LONZA FORMULATION S-21F"
"96286","02473453","APO-TELMISARTAN-AMLODIPINE","AA-TELMISARTAN-AMLODIPINE"
"96287","02473461","APO-TELMISARTAN-AMLODIPINE","AA-TELMISARTAN-AMLODIPINE"
"102845","02539691","REVEL RTU","CITRI-1 RTU"
