drug_code,drug_identification_number,current_brand_name,previous_brand_name
"12745","01947931","DUVOID","DUVOID TABLETS 25 MG"
"12746","01947958","DUVOID","DUVOID TABLETS 10 MG"
"12887","01947923","DUVOID","DUVOID TABLETS 50 MG"
"14587","02048728","PMS-CLONAZEPAM","PMS-CLONAZEPAM TAB 1.0MG"
"14588","02048701","PMS-CLONAZEPAM","PMS-CLONAZEPAM TAB 0.5MG"
"14589","02048736","PMS-CLONAZEPAM","PMS-CLONAZEPAM TAB 2MG"
"18355","02163543","APO-OXYBUTYNIN","APO-OXYBUTYNIN - TAB 5MG"
"19047","02177188","APO-BROMAZEPAM","APO-BROMAZEPAM - TAB 6MG"
"19056","02177161","APO-BROMAZEPAM","APO-BROMAZEPAM - TAB 3MG"
"19189","00667080","PRO-FUROSEMIDE","FUROSEMIDE-80 TAB 80MG"
"19221","02179660","PMS-CLONAZEPAM","PMS-CLONAZEPAM- TAB 0.25MG"
"2851","00397792","PRO-FUROSEMIDE","FUROSEMIDE 40MG"
"3809","00496723","PRO-FUROSEMIDE","FUROSEMIDE 20 TAB"
"86436","02378574","ACH-MYCOPHENOLATE","MYCOPHENOLATE MOFETIL TABLETS, USP"
"87440","02388855","DOGSWELL REMEDY & RECOVERY MEDICATED SHAMPOO","REMEDY + RECOVERY MEDICATED SHAMPOO"
"97248","02481979","METHADONE HYDROCHLORIDE ORAL CONCENTRATE USP","SANDOZ METHADONE"
"97366","02483211","ZEP FLOOR DISINFECTANT","ZEP ALL-PURPOSE DISINFECTANT CLEANER"
"99230","02502755","BACOBAN HEALTHCARE","BACOBAN DLUS DISINFECTANT CLEANER"
"13233","01944037","NUGEN HWS-128","FORMULATION HWS-128"
"13294","01944045","NUGEN HWS-64","FORMULATION HWS-64"
"19057","02177153","APO-BROMAZEPAM","APO-BROMAZEPAM - TAB 1.5MG"
