drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"101344","8","DISINFECTANT (Food Premises)","ADDED","02524414"
"100682","94","DISINFECTANT (Institutional/Industrial)","ADDED","02517434"
"86562","2","DISINFECTANT (Barn)","ADDED","02379759"
"101325","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02524228"
"101322","56","ORAL","ADDED","02524171"
"100659","2","DISINFECTANT (Barn)","ADDED","02517264"
"101359","56","ORAL","ADDED","02524570"
"101370","22","INTRAMUSCULAR","ADDED","02524686"
"101209","56","ORAL","ADDED","02523019"
"101310","56","ORAL","ADDED","02524066"
"101333","93","DISINFECTANT (Domestic)","ADDED","02524295"
"101279","56","ORAL","ADDED","02523736"
"101280","56","ORAL","ADDED","02523744"
"101313","56","ORAL","ADDED","02524090"
"97832","22","INTRAMUSCULAR","ADDED","02488213"
"100869","49","INTRAVENOUS","ADDED","02519429"
"100682","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02517434"
"101350","56","ORAL","ADDED","02524481"
"101347","49","INTRAVENOUS","ADDED","02524449"
"101368","56","ORAL","ADDED","02524651"
"101354","56","ORAL","ADDED","02524511"
"101308","56","ORAL","ADDED","02524058"
"101332","56","ORAL","ADDED","02524287"
"101376","56","ORAL","ADDED","02524740"
"101344","93","DISINFECTANT (Domestic)","ADDED","02524414"
"101355","56","ORAL","ADDED","02524538"
"101325","8","DISINFECTANT (Food Premises)","ADDED","02524228"
"101358","56","ORAL","ADDED","02524562"
"101325","94","DISINFECTANT (Institutional/Industrial)","ADDED","02524228"
"101334","49","INTRAVENOUS","ADDED","02524309"
"101307","56","ORAL","ADDED","02524031"
"100682","93","DISINFECTANT (Domestic)","ADDED","02517434"
"100655","2","DISINFECTANT (Barn)","ADDED","02517221"
"101336","49","INTRAVENOUS","ADDED","02524325"
"100726","70","TOPICAL","ADDED","02517914"
"100659","93","DISINFECTANT (Domestic)","ADDED","02517264"
"101338","56","ORAL","ADDED","02524341"
"101301","65","SUBCUTANEOUS","ADDED","02523965"
"101371","65","SUBCUTANEOUS","ADDED","02524694"
"100655","94","DISINFECTANT (Institutional/Industrial)","ADDED","02517221"
"100659","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02517264"
"101365","56","ORAL","ADDED","02524627"
"101329","56","ORAL","ADDED","02524244"
"101264","56","ORAL","ADDED","02523566"
"101360","56","ORAL","ADDED","02524589"
"86562","93","DISINFECTANT (Domestic)","ADDED","02379759"
"101312","56","ORAL","ADDED","02524082"
"6105","70","TOPICAL","REMOVED","00622974"
"101328","65","SUBCUTANEOUS","ADDED","02524252"
"100655","8","DISINFECTANT (Food Premises)","ADDED","02517221"
"101370","65","SUBCUTANEOUS","ADDED","02524686"
"100733","93","DISINFECTANT (Domestic)","ADDED","02517981"
"16629","70","TOPICAL","REMOVED","02023652"
"101298","65","SUBCUTANEOUS","ADDED","02523930"
"100733","94","DISINFECTANT (Institutional/Industrial)","ADDED","02517981"
"101370","49","INTRAVENOUS","ADDED","02524686"
"101374","56","ORAL","ADDED","02524724"
"101344","2","DISINFECTANT (Barn)","ADDED","02524414"
"86562","8","DISINFECTANT (Food Premises)","ADDED","02379759"
"101375","56","ORAL","ADDED","02524732"
"100682","2","DISINFECTANT (Barn)","ADDED","02517434"
"86562","94","DISINFECTANT (Institutional/Industrial)","ADDED","02379759"
"100655","93","DISINFECTANT (Domestic)","ADDED","02517221"
"101372","56","ORAL","ADDED","02524708"
"101377","56","ORAL","ADDED","02524759"
"101366","56","ORAL","ADDED","02524635"
"101384","56","ORAL","ADDED","02524821"
"101335","49","INTRAVENOUS","ADDED","02524317"
"101371","49","INTRAVENOUS","ADDED","02524694"
"101300","65","SUBCUTANEOUS","ADDED","02523957"
"100655","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02517221"
"101265","56","ORAL","ADDED","02523574"
"101356","56","ORAL","ADDED","02524546"
"100659","94","DISINFECTANT (Institutional/Industrial)","ADDED","02517264"
"101369","56","ORAL","ADDED","02524678"
"101331","56","ORAL","ADDED","02524279"
"101325","93","DISINFECTANT (Domestic)","ADDED","02524228"
"101373","56","ORAL","ADDED","02524716"
"100682","8","DISINFECTANT (Food Premises)","ADDED","02517434"
"101344","94","DISINFECTANT (Institutional/Industrial)","ADDED","02524414"
"101379","65","SUBCUTANEOUS","ADDED","02524775"
"101371","22","INTRAMUSCULAR","ADDED","02524694"
"101320","56","ORAL","ADDED","02524163"
"101263","56","ORAL","ADDED","02523558"
"101299","65","SUBCUTANEOUS","ADDED","02523949"
"101345","93","DISINFECTANT (Domestic)","ADDED","02524422"
"101367","56","ORAL","ADDED","02524643"
"101317","93","DISINFECTANT (Domestic)","ADDED","02524139"
"101281","56","ORAL","ADDED","02523752"
"101278","56","ORAL","ADDED","02523728"
"101306","56","ORAL","ADDED","02524023"
"101311","56","ORAL","ADDED","02524074"
"101383","56","ORAL","ADDED","02524813"
"101344","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02524414"
"101385","56","ORAL","ADDED","02524848"
"101324","56","ORAL","ADDED","02524198"
"101337","56","ORAL","ADDED","02524333"
"101266","56","ORAL","ADDED","02523582"
"101323","56","ORAL","ADDED","02524201"
