rc_formal_name,formal_name,mp_code
"FLURBIPROFEN (flurbiprofen 100 mg oral tablet) AA PHARMA INC","APO-FLURBIPROFEN FC TABLETS 100MG (flurbiprofen 100 mg oral tablet) APOTEX INC","01912038"
"FLURBIPROFEN (flurbiprofen 50 mg oral tablet) AA PHARMA INC","APO-FLURBIPROFEN FC TABLETS 50MG (flurbiprofen 50 mg oral tablet) APOTEX INC","01912046"
"GLYBURIDE (glyburide 2.5 mg oral tablet) PRO DOC LIMITEE","GLYBURIDE-2.5 TAB 2.5MG (glyburide 2.5 mg oral tablet) PRO DOC LIMITEE","01959352"
"APO-ZOPICLONE (zopiclone 7.5 mg oral tablet) APOTEX INC","APO-ZOPICLONE - TAB 7.5MG (zopiclone 7.5 mg oral tablet) APOTEX INC","02218313"
"STREPSILS ANAESTHETIC FORMULA (hexylresorcinol 2.4 mg lozenge) RB HEALTH (CANADA) INC.","STREPSILS ANAESTHETIC FORMULA (hexylresorcinol 2.4 mg lozenge) RECKITT BENCKISER (CANADA) INC","02243888"
"ACT METFORMIN (metformin hydrochloride 500 mg oral tablet) TEVA CANADA LIMITED","ACT METFORMIN (metformin hydrochloride 500 mg oral tablet) ACTAVIS PHARMA COMPANY","02257726"
"ACT METFORMIN (metformin hydrochloride 850 mg oral tablet) TEVA CANADA LIMITED","ACT METFORMIN (metformin hydrochloride 850 mg oral tablet) ACTAVIS PHARMA COMPANY","02257734"
"TOTAL COLD & FLU (acetaminophen 1000 mg per 30 mL and dextromethorphan hydrobromide 30 mg per 30 mL and guaifenesin 200 mg per 30 mL and pseudoephedrine hydrochloride 60 mg per 30 mL syrup) CELLCHEM PHARMACEUTICALS INC.","TOTAL COLD & FLU (acetaminophen 1000 mg per 30 mL and dextromethorphan hydrobromide 30 mg per 30 mL and guaifenesin 200 mg per 30 mL and pseudoephedrine hydrochloride 60 mg per 30 mL syrup) PHARMETICS (2011) INC","02262592"
"CHEST CONGESTION SYRUP (guaifenesin 200 mg per 5 mL syrup) CELLCHEM PHARMACEUTICALS INC.","CHEST CONGESTION SYRUP (guaifenesin 200 mg per 5 mL syrup) PHARMETICS (2011) INC","02263475"
"STREPSILS EXTRA BLACK CHERRY (hexylresorcinol 2.4 mg and levomenthol 4 mg lozenge) RB HEALTH (CANADA) INC.","STREPSILS EXTRA BLACK CHERRY (hexylresorcinol 2.4 mg and levomenthol 4 mg lozenge) RECKITT BENCKISER (CANADA) INC","02263998"
