"extract","drug_code","route_of_administration_code","route_of_administration","status","drug_identification_number"
"active",97664,"70","TOPICAL","ADDED","02486431"
"approved",97899,"1","BLOCK/INFILTRATION","ADDED","02488922"
"approved",97898,"1","BLOCK/INFILTRATION","ADDED","02488914"
"approved",97886,"2","DISINFECTANT (Barn)","ADDED","02488795"
"approved",97867,"8","DISINFECTANT (Food Premises)","ADDED","02488582"
"approved",97864,"8","DISINFECTANT (Food Premises)","ADDED","02488558"
"approved",97900,"7","EPIDURAL","ADDED","02488930"
"approved",97899,"7","EPIDURAL","ADDED","02488922"
"approved",97898,"7","EPIDURAL","ADDED","02488914"
"approved",97886,"8","DISINFECTANT (Food Premises)","ADDED","02488795"
"approved",97905,"9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02488981"
"approved",97904,"9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02488973"
"approved",97895,"9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02488876"
"approved",97896,"9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02488884"
"approved",97888,"9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02488809"
"approved",97885,"9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02488760"
"approved",97867,"9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02488582"
"approved",97864,"9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02488558"
"approved",97893,"22","INTRAMUSCULAR","ADDED","02488868"
"approved",97874,"22","INTRAMUSCULAR","ADDED","02488647"
"approved",97872,"22","INTRAMUSCULAR","ADDED","02488639"
"approved",97871,"22","INTRAMUSCULAR","ADDED","02488620"
"approved",96454,"49","INTRAVENOUS","ADDED","02474433"
"approved",96453,"49","INTRAVENOUS","ADDED","02474425"
"approved",97893,"49","INTRAVENOUS","ADDED","02488868"
"approved",97887,"49","INTRAVENOUS","ADDED","02488787"
"approved",97874,"49","INTRAVENOUS","ADDED","02488647"
"approved",97872,"49","INTRAVENOUS","ADDED","02488639"
"approved",97871,"49","INTRAVENOUS","ADDED","02488620"
"approved",94530,"56","ORAL","ADDED","02458233"
"approved",95701,"56","ORAL","ADDED","02468581"
"approved",95700,"56","ORAL","ADDED","02468573"
"approved",95699,"56","ORAL","ADDED","02468565"
"approved",97915,"62","RECTAL","ADDED","02489090"
"approved",97912,"56","ORAL","ADDED","02489066"
"approved",97910,"56","ORAL","ADDED","02489058"
"approved",97909,"56","ORAL","ADDED","02489031"
"approved",97908,"56","ORAL","ADDED","02489023"
"approved",97907,"56","ORAL","ADDED","02489015"
"approved",97903,"56","ORAL","ADDED","02488965"
"approved",97901,"56","ORAL","ADDED","02488949"
"approved",97902,"56","ORAL","ADDED","02488957"
"approved",97884,"56","ORAL","ADDED","02488752"
"approved",97883,"56","ORAL","ADDED","02488744"
"approved",97882,"56","ORAL","ADDED","02488736"
"approved",97880,"56","ORAL","ADDED","02488728"
"approved",97879,"56","ORAL","ADDED","02488701"
"approved",97878,"56","ORAL","ADDED","02488698"
"approved",97877,"56","ORAL","ADDED","02488671"
"approved",97866,"56","ORAL","ADDED","02488574"
"approved",97862,"56","ORAL","ADDED","02488523"
"approved",97858,"56","ORAL","ADDED","02488493"
"approved",97854,"56","ORAL","ADDED","02488450"
"approved",97853,"56","ORAL","ADDED","02488442"
"approved",97852,"56","ORAL","ADDED","02488434"
"approved",97851,"56","ORAL","ADDED","02488426"
"approved",97850,"56","ORAL","ADDED","02488418"
"approved",97849,"56","ORAL","ADDED","02488396"
"approved",97846,"56","ORAL","ADDED","02488353"
"approved",97848,"56","ORAL","ADDED","02488388"
"approved",97843,"56","ORAL","ADDED","02488337"
"approved",97840,"56","ORAL","ADDED","02488302"
"approved",97838,"56","ORAL","ADDED","02488280"
"approved",97829,"56","ORAL","ADDED","02488183"
"approved",97828,"56","ORAL","ADDED","02488175"
"approved",97827,"56","ORAL","ADDED","02488167"
"approved",97826,"56","ORAL","ADDED","02488159"
"approved",97825,"56","ORAL","ADDED","02488140"
"approved",97816,"56","ORAL","ADDED","02488051"
"approved",97815,"56","ORAL","ADDED","02488043"
"approved",97814,"56","ORAL","ADDED","02488035"
"approved",97813,"56","ORAL","ADDED","02488027"
"approved",97812,"56","ORAL","ADDED","02488019"
"approved",97811,"56","ORAL","ADDED","02488000"
"approved",97716,"56","ORAL","ADDED","02487012"
"approved",97906,"70","TOPICAL","ADDED","02489007"
"approved",97837,"70","TOPICAL","ADDED","02488272"
"approved",97831,"70","TOPICAL","ADDED","02488205"
"approved",97830,"70","TOPICAL","ADDED","02488191"
"approved",97900,"60","RETROBULBAR","ADDED","02488930"
"approved",97874,"65","SUBCUTANEOUS","ADDED","02488647"
"approved",97872,"65","SUBCUTANEOUS","ADDED","02488639"
"approved",97871,"65","SUBCUTANEOUS","ADDED","02488620"
"approved",97905,"94","DISINFECTANT (Institutional/Industrial)","ADDED","02488981"
"approved",97904,"94","DISINFECTANT (Institutional/Industrial)","ADDED","02488973"
"approved",97896,"94","DISINFECTANT (Institutional/Industrial)","ADDED","02488884"
"approved",97895,"94","DISINFECTANT (Institutional/Industrial)","ADDED","02488876"
"approved",97888,"94","DISINFECTANT (Institutional/Industrial)","ADDED","02488809"
"approved",97886,"94","DISINFECTANT (Institutional/Industrial)","ADDED","02488795"
"approved",97885,"94","DISINFECTANT (Institutional/Industrial)","ADDED","02488760"
"approved",97867,"94","DISINFECTANT (Institutional/Industrial)","ADDED","02488582"
"approved",97864,"94","DISINFECTANT (Institutional/Industrial)","ADDED","02488558"
"approved",97913,"93","DISINFECTANT (Domestic)","ADDED","02489074"
"approved",97914,"93","DISINFECTANT (Domestic)","ADDED","02489082"
"approved",97892,"93","DISINFECTANT (Domestic)","ADDED","02488841"
"approved",97897,"93","DISINFECTANT (Domestic)","ADDED","02488906"
"approved",97886,"93","DISINFECTANT (Domestic)","ADDED","02488795"
"approved",97822,"93","DISINFECTANT (Domestic)","ADDED","02488108"
