"drug_code","extract_current","extract_previous","company_name_current","company_name_previous","drug_identification_number"
4941,"active","active","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","00548375"
9512,"active","active","VIVUS INC.","JANSSEN INC","00789429"
9513,"active","active","VIVUS INC.","JANSSEN INC","00789437"
14032,"active","active","AA PHARMA INC","APOTEX INC","00692697"
14334,"active","active","KNIGHT THERAPEUTICS INC.","LEO PHARMA INC","00728284"
44263,"active","active","APOTEX INC","PFIZER CANADA ULC","02182963"
73681,"active","active","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02251914"
9514,"active","active","VIVUS INC.","JANSSEN INC","00789445"
14031,"active","active","AA PHARMA INC","APOTEX INC","00692700"
14033,"active","active","AA PHARMA INC","APOTEX INC","00692689"
14322,"active","active","KNIGHT THERAPEUTICS INC.","LEO PHARMA INC","00728276"
19257,"active","active","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","02156091"
74143,"active","active","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","02256193"
79778,"active","active","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","02312263"
83209,"active","active","MEDEXUS PHARMACEUTICALS INC","PEDIAPHARM INC","02346672"
73187,"dormant","dormant","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02248817"
78074,"approved","approved","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY","02295431"
81221,"approved","approved","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02326884"
92720,"approved","approved","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02442787"
97753,"approved","approved","PHEBRA PTY LTD","10395579 CANADA INC (PHEBRA CANADA INC)","02487357"
