drug_code,din,brand.name,company.name,brand.name.dpd,company.name.dpd,descriptor
79517,02309556,TEVA-CYPROTERONE/ETHINYL ESTRADIOL,TEVA CANADA LIMITED,TEVA-CYPROTERONE / ETHINYL ESTRADIOL,TEVA CANADA LIMITED,NA
92104,02436736,CLÉO-35,ALTIUS HEALTHCARE INC,CLÉO -35,ALTIUS HEALTHCARE INC,NA
74376,02258560,TRI-CYCLEN LO (21 DAY),JANSSEN INC,TRI-CYCLEN LO        (-21 DAY),JANSSEN INC,NA
74378,02258587,TRI-CYCLEN LO (28 DAY),JANSSEN INC,TRI-CYCLEN LO        (28 DAY),JANSSEN INC,NA
62792,02239323,SANDOSTATIN LAR 10MG,NOVARTIS PHARMACEUTICALS CANADA INC,SANDOSTATIN LAR,NOVARTIS PHARMACEUTICALS CANADA INC,NA
62793,02239324,SANDOSTATIN LAR 20MG,NOVARTIS PHARMACEUTICALS CANADA INC,SANDOSTATIN LAR,NOVARTIS PHARMACEUTICALS CANADA INC,NA
62794,02239325,SANDOSTATIN LAR 30MG,NOVARTIS PHARMACEUTICALS CANADA INC,SANDOSTATIN LAR,NOVARTIS PHARMACEUTICALS CANADA INC,NA
76970,02284154,ADVATE,SHIRE PHARMA CANADA ULC,ADVATE,TAKEDA CANADA INC,BAXJ. II. 5 ML DILUENT. ANTIHEM. FACTOR (RECOMB.)PLASMA/ALBUMIN-FREE.
76971,02284162,ADVATE,SHIRE PHARMA CANADA ULC,ADVATE,TAKEDA CANADA INC,BAXJ. II. 5 ML DILUENT. ANTIHEM. FACTOR (RECOMB.)PLASMA/ALBUMIN-FREE.
79865,02313111,ADVATE,SHIRE PHARMA CANADA ULC,ADVATE,TAKEDA CANADA INC,BAXJ. II. 5 ML DILUENT. ANTIHEM. FACTOR (RECOMB.)PLASMA/ALBUMIN-FREE..
82280,02337193,ADVATE,SHIRE PHARMA CANADA ULC,ADVATE,TAKEDA CANADA INC,BAXJ. II. 5 ML DILUENT. ANTIHEM. FACTOR (RECOMB.)PLASMA/ALBUMIN-FREE.
85081,02365944,ADVATE,SHIRE PHARMA CANADA ULC,ADVATE,TAKEDA CANADA INC,BAXJ. II. 2 ML DILUENT. ANTIHEM. FACTOR (RECOMB.)PLASMA/ALBUMIN-FREE.
85082,02365952,ADVATE,SHIRE PHARMA CANADA ULC,ADVATE,TAKEDA CANADA INC,BAXJ. II. 2 ML DILUENT. ANTIHEM. FACTOR (RECOMB.)PLASMA/ALBUMIN-FREE.
