mp_code,mp_formal_name,mp_fr_description,ntp_code,ntp_formal_name,ntp_fr_description,tm_code,tm_formal_name,tm_fr_description
"02373807","H.E.L.P. ACETATE BUFFER PH 4.85 (acetic acid 6.82 g per l and sodium acetate 27.22 g per l solution for haemodialysis) B. BRAUN AVITUM AG","H.E.L.P. ACETATE BUFFER PH 4.85 (acide acétique 6,82 g par l et acétate de sodium 27,22 g par l solution pour hémodialyse) B. BRAUN AVITUM AG","9005000","acetic acid 6.82 g per l and sodium acetate 27.22 g per l solution for haemodialysis","acide acétique 6,82 g par l et acétate de sodium 27,22 g par l solution pour hémodialyse","8002088","acetic acid and sodium acetate","acide acétique et acétate de sodium"
"02248463","VIONEXUS NO-RINSE SPRAY (alcohol anhydrous 65.87 % and benzalkonium chloride 0.1 % cutaneous spray) METREX RESEARCH","VIONEXUS NO-RINSE SPRAY (alcool anhydre 65,87 % et chlorure de benzalkonium 0,1 % vaporisation cutanée) METREX RESEARCH","9003977","alcohol anhydrous 65.87 % and benzalkonium chloride 0.1 % cutaneous spray","alcool anhydre 65,87 % et chlorure de benzalkonium 0,1 % vaporisation cutanée","8000946","alcohol anhydrous and benzalkonium","alcool anhydre et benzalkonium"
"02248224","MANORAPID SYNERGY (alcohol anhydrous 54.1 % and butanediol 5.7 % and propyl alcohol 10 % and propylene glycol 5.9 % cutaneous solution) REMINGTON MEDICAL EQUIPMENT LTD.","MANORAPID SYNERGY (alcool anhydre 54,1 % et butanédiol 5,7 % et alcool propylique 10 % et propylène glycol 5,9 % solution pour application cutanée) REMINGTON MEDICAL EQUIPMENT LTD.","9003863","alcohol anhydrous 54.1 % and butanediol 5.7 % and propyl alcohol 10 % and propylene glycol 5.9 % cutaneous solution","alcool anhydre 54,1 % et butanédiol 5,7 % et alcool propylique 10 % et propylène glycol 5,9 % solution pour application cutanée","8000940","alcohol anhydrous and butanediol and propyl alcohol and propylene glycol","alcool anhydre et butanédiol et alcool propylique et propylène glycol"
"02246888","AVAGARD CHG (alcohol anhydrous 61 % and chlorhexidine gluconate 1 % lotion) 3M CANADA COMPANY","AVAGARD CHG (alcool anhydre 61 % et gluconate de chlorhexidine 1 % lotion) 3M CANADA COMPANY","9003810","alcohol anhydrous 61 % and chlorhexidine gluconate 1 % lotion","alcool anhydre 61 % et gluconate de chlorhexidine 1 % lotion","8000912","alcohol anhydrous and chlorhexidine","alcool anhydre et chlorhexidine"
"02240800","STERIGEL PLUS (alcohol anhydrous 70 % and chlorhexidine gluconate 0.5 % cutaneous solution) 3M CANADA COMPANY","STERIGEL PLUS (alcool anhydre 70 % et gluconate de chlorhexidine 0,5 % solution pour application cutanée) 3M CANADA COMPANY","9012599","alcohol anhydrous 70 % and chlorhexidine gluconate 0.5 % cutaneous solution","alcool anhydre 70 % et gluconate de chlorhexidine 0,5 % solution pour application cutanée","8000912","alcohol anhydrous and chlorhexidine","alcool anhydre et chlorhexidine"
"02231590","ABELCET (amphotericin B 100 mg per 20 mL suspension for injection vial) LEADIANT BIOSCIENCES, INC","ABELCET (amphotéricine B 100 mg par 20 mL suspension injectable fiole) LEADIANT BIOSCIENCES, INC","9013759","amphotericin B 100 mg per 20 mL suspension for injection vial","amphotéricine B 100 mg par 20 mL suspension injectable fiole","8002215","amphotericin B","amphotéricine B"
"00029149","FUNGIZONE (amphotericin B 50 mg per vial powder for solution for injection) CHEPLAPHARM ARZNEIMITTEL GMBH","FUNGIZONE (amphotéricine B 50 mg par fiole poudre pour solution injectable) CHEPLAPHARM ARZNEIMITTEL GMBH","9013760","amphotericin B 50 mg per vial powder for solution for injection","amphotéricine B 50 mg par fiole poudre pour solution injectable","8002215","amphotericin B","amphotéricine B"
"02241630","AMBISOME (amphotericin B 50 mg per vial powder for solution for injection) ASTELLAS PHARMA CANADA INC","AMBISOME (amphotéricine B 50 mg par fiole poudre pour solution injectable) ASTELLAS PHARMA CANADA INC","9013760","amphotericin B 50 mg per vial powder for solution for injection","amphotéricine B 50 mg par fiole poudre pour solution injectable","8002215","amphotericin B","amphotéricine B"
"02202581","FEIBA NF (anti-inhibitor coagulant complex 1300 unit per vial NA) SHIRE PHARMA CANADA ULC","FEIBA NF (complexe coagulant anti-inhibiteur 1300 unité par fiole NA) SHIRE PHARMA CANADA ULC","9013643","anti-inhibitor coagulant complex 1300 unit per vial NA","complexe coagulant anti-inhibiteur 1300 unité par fiole NA","8002169","anti-inhibitor coagulant complex","complexe coagulant anti-inhibiteur"
"02353903","FEIBA NF (anti-inhibitor coagulant complex 3250 unit per vial NA) SHIRE PHARMA CANADA ULC","FEIBA NF (complexe coagulant anti-inhibiteur 3250 unité par fiole NA) SHIRE PHARMA CANADA ULC","9013644","anti-inhibitor coagulant complex 3250 unit per vial NA","complexe coagulant anti-inhibiteur 3250 unité par fiole NA","8002169","anti-inhibitor coagulant complex","complexe coagulant anti-inhibiteur"
