drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"100453","94","DISINFECTANT (Institutional/Industrial)","ADDED","02515148"
"100513","8","DISINFECTANT (Food Premises)","ADDED","02515768"
"100495","56","ORAL","ADDED","02515547"
"100536","56","ORAL","ADDED","02516004"
"100284","70","TOPICAL","ADDED","02513668"
"99803","2","DISINFECTANT (Barn)","ADDED","02508680"
"100509","8","DISINFECTANT (Food Premises)","ADDED","02515709"
"99697","94","DISINFECTANT (Institutional/Industrial)","ADDED","02507609"
"100512","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02515733"
"100059","94","DISINFECTANT (Institutional/Industrial)","ADDED","02511371"
"100556","94","DISINFECTANT (Institutional/Industrial)","ADDED","02516195"
"100550","49","INTRAVENOUS","ADDED","02516160"
"100547","56","ORAL","ADDED","02516136"
"100500","56","ORAL","ADDED","02515601"
"99700","94","DISINFECTANT (Institutional/Industrial)","ADDED","02507633"
"100545","56","ORAL","ADDED","02516101"
"100516","56","ORAL","ADDED","02515873"
"99704","93","DISINFECTANT (Domestic)","ADDED","02507684"
"98750","56","ORAL","ADDED","02497700"
"99833","8","DISINFECTANT (Food Premises)","ADDED","02509016"
"100526","104","TOPICAL (HOUSEHOLD)","ADDED","02515865"
"99821","94","DISINFECTANT (Institutional/Industrial)","ADDED","02508885"
"100505","93","DISINFECTANT (Domestic)","ADDED","02515660"
"98598","56","ORAL","ADDED","02496100"
"100533","56","ORAL","ADDED","02515970"
"100518","56","ORAL","ADDED","02515784"
"99740","93","DISINFECTANT (Domestic)","ADDED","02508044"
"100556","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02516195"
"100512","94","DISINFECTANT (Institutional/Industrial)","ADDED","02515733"
"100059","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02511371"
"100507","56","ORAL","ADDED","02515687"
"100515","29","INHALATION","ADDED","02515776"
"100505","94","DISINFECTANT (Institutional/Industrial)","ADDED","02515660"
"99821","93","DISINFECTANT (Domestic)","ADDED","02508885"
"100513","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02515768"
"99697","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02507609"
"99704","94","DISINFECTANT (Institutional/Industrial)","ADDED","02507684"
"100512","8","DISINFECTANT (Food Premises)","ADDED","02515733"
"99833","93","DISINFECTANT (Domestic)","ADDED","02509016"
"99703","93","DISINFECTANT (Domestic)","ADDED","02507676"
"100494","56","ORAL","ADDED","02515539"
"100453","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02515148"
"100227","49","INTRAVENOUS","ADDED","02513161"
"99700","93","DISINFECTANT (Domestic)","ADDED","02507633"
"100549","56","ORAL","ADDED","02516152"
"100530","94","DISINFECTANT (Institutional/Industrial)","ADDED","02515946"
"99919","56","ORAL","ADDED","02509938"
"100519","56","ORAL","ADDED","02515792"
"100411","56","ORAL","ADDED","02514710"
"100513","93","DISINFECTANT (Domestic)","ADDED","02515768"
"99821","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02508885"
"99697","93","DISINFECTANT (Domestic)","ADDED","02507609"
"100556","93","DISINFECTANT (Domestic)","ADDED","02516195"
"100059","93","DISINFECTANT (Domestic)","ADDED","02511371"
"100490","65","SUBCUTANEOUS","ADDED","02515504"
"100501","56","ORAL","ADDED","02515628"
"99698","94","DISINFECTANT (Institutional/Industrial)","ADDED","02507617"
"100509","93","DISINFECTANT (Domestic)","ADDED","02515709"
"99698","8","DISINFECTANT (Food Premises)","ADDED","02507617"
"100511","105","TOPICAL (COMMERCIAL)","ADDED","02515725"
"100493","56","ORAL","ADDED","02515520"
"99833","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02509016"
"100453","93","DISINFECTANT (Domestic)","ADDED","02515148"
"100538","49","INTRAVENOUS","ADDED","02516020"
"100168","93","DISINFECTANT (Domestic)","ADDED","02512394"
"98324","56","ORAL","ADDED","02493268"
"99803","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02508680"
"99832","93","DISINFECTANT (Domestic)","ADDED","02509008"
"99706","93","DISINFECTANT (Domestic)","ADDED","02507706"
"100506","104","TOPICAL (HOUSEHOLD)","ADDED","02515679"
"97860","56","ORAL","ADDED","02488507"
"100538","22","INTRAMUSCULAR","ADDED","02516020"
"100525","49","INTRAVENOUS","ADDED","02515857"
"99706","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02507706"
"100548","56","ORAL","ADDED","02516144"
"20013","8","DISINFECTANT (Food Premises)","ADDED","02161656"
"100514","56","ORAL","ADDED","02515741"
"100552","56","ORAL","ADDED","02516187"
"100499","56","ORAL","ADDED","02515598"
"100510","94","DISINFECTANT (Institutional/Industrial)","ADDED","02515717"
"99803","93","DISINFECTANT (Domestic)","ADDED","02508680"
"100510","8","DISINFECTANT (Food Premises)","ADDED","02515717"
"99743","93","DISINFECTANT (Domestic)","ADDED","02508079"
"100531","94","DISINFECTANT (Institutional/Industrial)","ADDED","02515954"
"20013","94","DISINFECTANT (Institutional/Industrial)","ADDED","02161656"
"100513","2","DISINFECTANT (Barn)","ADDED","02515768"
"99697","2","DISINFECTANT (Barn)","ADDED","02507609"
"100556","2","DISINFECTANT (Barn)","ADDED","02516195"
"100560","49","INTRAVENOUS","ADDED","02516225"
"20013","93","DISINFECTANT (Domestic)","ADDED","02161656"
"99743","94","DISINFECTANT (Institutional/Industrial)","ADDED","02508079"
"99696","70","TOPICAL","ADDED","02507595"
"99803","8","DISINFECTANT (Food Premises)","ADDED","02508680"
"100509","2","DISINFECTANT (Barn)","ADDED","02515709"
"100510","93","DISINFECTANT (Domestic)","ADDED","02515717"
"99803","94","DISINFECTANT (Institutional/Industrial)","ADDED","02508680"
"97861","56","ORAL","ADDED","02488515"
"99835","93","DISINFECTANT (Domestic)","ADDED","02509032"
"99757","70","TOPICAL","ADDED","02508184"
"100537","104","TOPICAL (HOUSEHOLD)","ADDED","02516012"
"100539","70","TOPICAL","ADDED","02516039"
"100524","56","ORAL","ADDED","02515849"
"100531","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02515954"
"99706","8","DISINFECTANT (Food Premises)","ADDED","02507706"
"100517","56","ORAL","ADDED","02515881"
"99706","94","DISINFECTANT (Institutional/Industrial)","ADDED","02507706"
"100558","56","ORAL","ADDED","02516209"
"95399","56","ORAL","ADDED","02465752"
"100534","56","ORAL","ADDED","02515989"
"100510","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02515717"
"100535","56","ORAL","ADDED","02515997"
"100496","56","ORAL","ADDED","02515555"
"100546","56","ORAL","ADDED","02516128"
"99697","8","DISINFECTANT (Food Premises)","ADDED","02507609"
"100556","8","DISINFECTANT (Food Premises)","ADDED","02516195"
"100508","56","ORAL","ADDED","02515695"
"100538","65","SUBCUTANEOUS","ADDED","02516020"
"100059","8","DISINFECTANT (Food Premises)","ADDED","02511371"
"98748","56","ORAL","ADDED","02497689"
"99698","93","DISINFECTANT (Domestic)","ADDED","02507617"
"100509","94","DISINFECTANT (Institutional/Industrial)","ADDED","02515709"
"43348","56","ORAL","ADDED","02223155"
"100505","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02515660"
"100453","8","DISINFECTANT (Food Premises)","ADDED","02515148"
"100513","94","DISINFECTANT (Institutional/Industrial)","ADDED","02515768"
"97891","56","ORAL","ADDED","02488833"
"100410","56","ORAL","ADDED","02514702"
"100530","93","DISINFECTANT (Domestic)","ADDED","02515946"
"99821","8","DISINFECTANT (Food Premises)","ADDED","02508885"
"100523","56","ORAL","ADDED","02515830"
"99703","94","DISINFECTANT (Institutional/Industrial)","ADDED","02507676"
"99833","94","DISINFECTANT (Institutional/Industrial)","ADDED","02509016"
"99700","8","DISINFECTANT (Food Premises)","ADDED","02507633"
"100509","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02515709"
"100559","56","ORAL","ADDED","02516217"
"100530","8","DISINFECTANT (Food Premises)","ADDED","02515946"
