drug_code,drug_identification_number,current_brand_name,previous_brand_name
"43349","02223163","BUSPIRONE-10","BUSPIRONE-10 - TAB 10MG"
"7292","00474517","ONE-ALPHA","ONE ALPHA CAPS 0.25MCG"
"7293","00474525","ONE-ALPHA","ONE ALPHA CAPS 1MCG"
"76058","02275074","ODAN BUPROPION SR","SANDOZ BUPROPION SR"
"76059","02275082","ODAN BUPROPION SR","SANDOZ BUPROPION SR"
"98599","02496119","M-PILOCARPINE","ACCEL-PILOCARPINE"
"62993","02239517","DIVALPROEX","NU-DIVALPROEX 125MG"
"62994","02239518","DIVALPROEX","NU-DIVALPROEX 250MG"
"62995","02239519","DIVALPROEX","NU-DIVALPROEX 500MG"
"99985","02510650","GERMS BE GONE ANTIBACTERIAL HAND SOAP","GERMS BE GONE ANTIBACTERIAL SOAP"
