"drug_code","din","brand.name","company.name","brand.name.dpd","company.name.dpd","descriptor","extract"
79517,2309556,"TEVA-CYPROTERONE/ETHINYL ESTRADIOL","TEVA CANADA LIMITED","TEVA-CYPROTERONE / ETHINYL ESTRADIOL","TEVA CANADA LIMITED","","active"
92104,2436736,"CLÉO-35","ALTIUS HEALTHCARE INC","CLÉO -35","ALTIUS HEALTHCARE INC","","active"
74376,2258560,"TRI-CYCLEN LO (21 DAY)","JANSSEN INC","TRI-CYCLEN LO        (-21 DAY)","JANSSEN INC","","active"
74378,2258587,"TRI-CYCLEN LO (28 DAY)","JANSSEN INC","TRI-CYCLEN LO        (28 DAY)","JANSSEN INC","","active"
74925,2263866,"ACT ETIDROCAL","ACTAVIS PHARMA COMPANY","ACT ETIDROCAL","TEVA CANADA LIMITED","","active"
91864,2434318,"OTEZLA","CELGENE INC","OTEZLA","AMGEN CANADA INC","27-COUNT STARTER PACK","active"
43151,2215136,"SAIZEN","EMD SERONO A DIVISION OF EMD INC CANADA","SAIZEN 10IU  -  KIT","EMD SERONO A DIVISION OF EMD INC CANADA","","inactive"
14332,890960,"OLESTYR LIGHT POWDER SUGAR FREE","PHARMASCIENCE INC","OLESTYR","PHARMASCIENCE INC","LIGHT POWDER, SUGAR FREE","active"
19757,2210320,"OLESTYR REGULAR POWDER","PHARMASCIENCE INC","OLESTYR","PHARMASCIENCE INC","REGULAR POWDER","active"
83190,2346451,"BUCKLEY'S COUGH, MUCOUS & PHLEGM","THE BUCKLEY'S COMPANY","BUCKLEY'S MUCUS & PHLEGM","THE BUCKLEY'S COMPANY","","active"
84236,2357232,"BUCKLEY'S COMPLETE PLUS MUCOUS RELIEF EXTRA STRENGTH","THE BUCKLEY'S COMPANY","BUCKLEY'S COMPLETE PLUS EXTRA STRENGTH MUCUS RELIEF","THE BUCKLEY'S COMPANY","","active"
46885,1914022,"UROCIT-K","MISSION PHARMACAL COMPANY","UROCIT K","MISSION PHARMACAL COMPANY","","active"
