tm_code,tm_formal_name,tm_fr_description,changes
"8001539","trifluridine","trifluridine","tm_status: ""INACTIVE"" -> ""ACTIVE""
tm_status_effective_time: ""20190801"" -> ""19871231"""
"8002347","eszopiclone","eszopiclone","ADDED"
"8001659","glycopyrrolate","glycopyrrolate","DELETED"
"8002169","anti-inhibitor coagulant complex","complexe coagulant anti-inhibiteur","ADDED"
"8002343","caplacizumab","caplacizumab","ADDED"
"8002346","satralizumab","satralizumab","ADDED"
"8001939","sodium fluoride and triclosan","fluorure de sodium et triclosan","tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""19931231"" -> ""20190801"""
"8002308","mineral oil heavy and urea","huile minérale lourde et urée","tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""19831231"" -> ""20200814"""
"8001352","chloroquine","chloroquine","tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""19681231"" -> ""20201013"""
"8001459","ertugliflozin","ertugliflozine","tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""20180528"" -> ""20201001"""
