drug_code,pharm_form_code,pharmaceutical_form,status,drug_identification_number
"102399","75","TABLET (EXTENDED-RELEASE)","ADDED","02535114"
"102425","85","TABLET","ADDED","02535394"
"102449","134","SOLUTION","ADDED","02535645"
"100639","5","CAPSULE","ADDED","02517051"
"99576","5","CAPSULE","ADDED","02506394"
"11342","134","SOLUTION","ADDED","01902644"
"99353","5","CAPSULE","ADDED","02504073"
"102412","5","CAPSULE","ADDED","02535254"
"102360","85","TABLET","ADDED","02534703"
"102380","85","TABLET","ADDED","02534916"
"102417","132","TABLET (ORALLY DISINTEGRATING)","ADDED","02535319"
"102418","132","TABLET (ORALLY DISINTEGRATING)","ADDED","02535327"
"99579","5","CAPSULE","ADDED","02506424"
"102456","134","SOLUTION","ADDED","02535734"
"102413","5","CAPSULE","ADDED","02535262"
"100965","5","CAPSULE","ADDED","02520451"
"102411","5","CAPSULE","ADDED","02535246"
"101305","5","CAPSULE","ADDED","02524015"
"102458","134","SOLUTION","ADDED","02535750"
"102382","85","TABLET","ADDED","02534932"
"99355","5","CAPSULE","ADDED","02504103"
"101302","5","CAPSULE","ADDED","02523973"
"102359","85","TABLET","ADDED","02534681"
"101304","5","CAPSULE","ADDED","02524007"
"102434","151","TABLET (CHEWABLE)","ADDED","02535491"
"102396","134","SOLUTION","ADDED","02535084"
"11342","34","LIQUID","REMOVED","01902644"
"100962","5","CAPSULE","ADDED","02520427"
"102451","85","TABLET","ADDED","02535661"
"102455","134","SOLUTION","ADDED","02535726"
"102381","85","TABLET","ADDED","02534924"
"102463","85","TABLET","ADDED","02535807"
"102452","85","TABLET","ADDED","02535688"
"102397","134","SOLUTION","ADDED","02535092"
"102385","134","SOLUTION","ADDED","02534967"
"102414","134","SOLUTION","ADDED","02535289"
"102454","85","TABLET","ADDED","02535718"
"102421","134","SOLUTION","ADDED","02535351"
"99578","5","CAPSULE","ADDED","02506416"
"101946","98","SPRAY","ADDED","02530279"
"102395","134","SOLUTION","ADDED","02535076"
"102398","75","TABLET (EXTENDED-RELEASE)","ADDED","02535106"
"102379","134","SOLUTION","ADDED","02534908"
"102384","134","SOLUTION","ADDED","02534959"
"102431","85","TABLET","ADDED","02535467"
"102435","151","TABLET (CHEWABLE)","ADDED","02535505"
"100641","5","CAPSULE","ADDED","02517078"
"101946","134","SOLUTION","ADDED","02530279"
"102419","109","TABLET (DELAYED-RELEASE)","ADDED","02535335"
"102388","85","TABLET","ADDED","02534991"
"102373","134","SOLUTION","ADDED","02534835"
"102457","134","SOLUTION","ADDED","02535742"
"102389","85","TABLET","ADDED","02535009"
"101904","59","SHAMPOO","ADDED","02529807"
"100963","5","CAPSULE","ADDED","02520435"
"102432","85","TABLET","ADDED","02535475"
"100643","5","CAPSULE","ADDED","02517094"
"102433","56","POWDER FOR SOLUTION","ADDED","02535483"
"102427","79","SUSPENSION","ADDED","02535416"
"101926","59","SHAMPOO","ADDED","02530058"
"102450","85","TABLET","ADDED","02535653"
"100964","5","CAPSULE","ADDED","02520443"
"99354","5","CAPSULE","ADDED","02504081"
"102424","85","TABLET","ADDED","02535386"
"99577","5","CAPSULE","ADDED","02506408"
"99356","5","CAPSULE","ADDED","02504111"
"102377","85","TABLET","ADDED","02534886"
"100642","5","CAPSULE","ADDED","02517086"
"102447","85","TABLET","ADDED","02535637"
"102374","75","TABLET (EXTENDED-RELEASE)","ADDED","02534843"
"102386","134","SOLUTION","ADDED","02534975"
"101303","5","CAPSULE","ADDED","02523981"
"102387","85","TABLET","ADDED","02534983"
"101522","134","SOLUTION","ADDED","02526107"
"102378","85","TABLET","ADDED","02534894"
"102383","85","TABLET","ADDED","02534940"
