drug_code,active_ingredient_code,status,extract,ingredient,strength,strength_unit,drug_identification_number
"12492","309","Changed","inactive","IRON (FERROUS SUCCINATE)","2.5","MG","00879851"
"104386","23356","ADDED","approved","TALAZOPARIB (TALAZOPARIB TOSYLATE)","0.35","MG","02555069"
"104375","13585","ADDED","approved","ESCITALOPRAM (ESCITALOPRAM OXALATE)","20","MG","02554933"
"104321","13107","ADDED","approved","LEVETIRACETAM","750","MG","02554356"
"104345","9358","ADDED","approved","CAFFEINE","40","MG","02554615"
"104335","1253","ADDED","approved","LISINOPRIL (LISINOPRIL DIHYDRATE)","20","MG","02554518"
"104373","13585","ADDED","approved","ESCITALOPRAM (ESCITALOPRAM OXALATE)","10","MG","02554909"
"104320","13107","ADDED","approved","LEVETIRACETAM","500","MG","02554348"
"104345","150","ADDED","approved","ACETYLSALICYLIC ACID","330","MG","02554615"
"104333","1253","ADDED","approved","LISINOPRIL (LISINOPRIL DIHYDRATE)","5","MG","02554488"
"104211","22754","ADDED","active","RUPATADINE (RUPATADINE FUMARATE)","10","MG","02553155"
"104377","20430","ADDED","approved","DESVENLAFAXINE","50","MG","02554968"
"104329","20822","ADDED","approved","DELAFLOXACIN (DELAFLOXACIN MEGLUMINE)","300","MG","02554437"
"104374","13585","ADDED","approved","ESCITALOPRAM (ESCITALOPRAM OXALATE)","15","MG","02554917"
"104380","197","ADDED","approved","BENZALKONIUM CHLORIDE","1.9","%","02554992"
"102894","9615","Changed","approved","GUAIFENESIN","200","MG","02540231"
"104344","10247","ADDED","approved","DEXTROMETHORPHAN HYDROBROMIDE","30","MG","02554607"
"104351","1196","ADDED","approved","CLOZAPINE","200","MG","02554682"
"12298","309","Changed","inactive","IRON (IRON GLUTARATE)",".5","MG","01901117"
"104326","6731","ADDED","approved","DIGOXIN","0.125","MG","02554402"
"104314","1395","ADDED","approved","FAMOTIDINE","20","MG","02554275"
"104340","20435","ADDED","approved","ARIPIPRAZOLE","720","MG","02554569"
"104380","3229","ADDED","approved","SODIUM PERCARBONATE","12.1","%","02554992"
"104353","9358","ADDED","approved","CAFFEINE","40","MG","02554690"
"104378","20430","ADDED","approved","DESVENLAFAXINE","100","MG","02554976"
"104387","23356","ADDED","approved","TALAZOPARIB (TALAZOPARIB TOSYLATE)","0.5","MG","02555077"
"104353","150","ADDED","approved","ACETYLSALICYLIC ACID","330","MG","02554690"
"104345","9131","ADDED","approved","CODEINE PHOSPHATE","15","MG","02554615"
"102894","10247","Changed","approved","DEXTROMETHORPHAN HYDROBROMIDE","30","MG","02540231"
"102894","270","Changed","approved","ACETAMINOPHEN","1000","MG","02540231"
"104370","15568","ADDED","approved","PREGABALIN","300","MG","02554887"
"104343","270","ADDED","approved","ACETAMINOPHEN","1000","MG","02554593"
"104376","7289","ADDED","approved","ZINC OXIDE","19.4","%","02554941"
"104383","270","ADDED","approved","ACETAMINOPHEN","80","MG","02555034"
"104388","15568","ADDED","approved","PREGABALIN","225","MG","02555085"
"104368","15568","ADDED","approved","PREGABALIN","150","MG","02554860"
"103966","20378","ADDED","approved","NILOTINIB (NILOTINIB HYDROCHLORIDE MONOHYDRATE)","150","MG","02550881"
"104343","10247","ADDED","approved","DEXTROMETHORPHAN HYDROBROMIDE","30","MG","02554593"
"104376","2280","ADDED","approved","OCTOCRYLENE","3","%","02554941"
"104346","8231","ADDED","approved","BUTALBITAL","50","MG","02554623"
"104322","3812","ADDED","approved","ARSENIC TRIOXIDE","1","MG","02554364"
"104318","24049","ADDED","approved","IPTACOPAN (IPTACOPAN HYDROCHLORIDE)","200","MG","02554313"
"104362","22163","ADDED","approved","AFLIBERCEPT","8","MG","02554798"
"104350","1196","ADDED","approved","CLOZAPINE","100","MG","02554674"
"104364","196","ADDED","approved","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","0.14","%","02554828"
"103967","20378","ADDED","approved","NILOTINIB (NILOTINIB HYDROCHLORIDE MONOHYDRATE)","200","MG","02550903"
"104344","270","ADDED","approved","ACETAMINOPHEN","1000","MG","02554607"
"104348","1196","ADDED","approved","CLOZAPINE","25","MG","02554658"
"104384","4808","ADDED","approved","CALCIUM GLUCONATE","100","MG","02555042"
"104316","20422","ADDED","approved","USTEKINUMAB","90","MG","02554291"
"104336","10247","ADDED","approved","DEXTROMETHORPHAN HYDROBROMIDE","20","MG","02554526"
"104369","15568","ADDED","approved","PREGABALIN","225","MG","02554879"
"104336","270","ADDED","approved","ACETAMINOPHEN","500","MG","02554526"
"88413","12538","Changed","dormant","BOSENTAN (BOSENTAN MONOHYDRATE)","125","MG","02399210"
"104317","20422","ADDED","approved","USTEKINUMAB","5","MG","02554305"
"104323","8642","ADDED","approved","DOXYCYCLINE (DOXYCYCLINE HYCLATE)","100","MG","02554372"
"104382","270","ADDED","approved","ACETAMINOPHEN","160","MG","02555026"
"104315","20422","ADDED","approved","USTEKINUMAB","45","MG","02554283"
"104367","15568","ADDED","approved","PREGABALIN","75","MG","02554852"
"104345","8231","ADDED","approved","BUTALBITAL","50","MG","02554615"
"104324","270","ADDED","approved","ACETAMINOPHEN","650","MG","02554380"
"22943","4803","Changed","inactive","CALCIUM (CALCIUM CITRATE)","20","MG","01959840"
"102894","10259","Changed","approved","CHLORPHENIRAMINE MALEATE","4","MG","02540231"
"104346","9358","ADDED","approved","CAFFEINE","40","MG","02554623"
"104330","20097","ADDED","approved","VARENICLINE (VARENICLINE TARTRATE)","0.5","MG","02554445"
"104372","13585","ADDED","approved","ESCITALOPRAM (ESCITALOPRAM OXALATE)","5","MG","02554895"
"104325","6731","ADDED","approved","DIGOXIN","0.0625","MG","02554399"
"104343","10259","ADDED","approved","CHLORPHENIRAMINE MALEATE","4","MG","02554593"
"104376","12048","ADDED","approved","OCTISALATE","3","%","02554941"
"104331","20097","ADDED","approved","VARENICLINE (VARENICLINE TARTRATE)","1","MG","02554453"
"104334","1253","ADDED","approved","LISINOPRIL (LISINOPRIL DIHYDRATE)","10","MG","02554496"
"104156","22754","ADDED","active","RUPATADINE (RUPATADINE FUMARATE)","10","MG","02552604"
"104346","150","ADDED","approved","ACETYLSALICYLIC ACID","330","MG","02554623"
"104319","13107","ADDED","approved","LEVETIRACETAM","250","MG","02554321"
"104339","20435","ADDED","approved","ARIPIPRAZOLE","1","MG","02554550"
"12313","331","Changed","inactive","ZINC (ZINC SUCCINATE)",".5","MG","00849871"
"12305","331","Changed","inactive","ZINC (ZINC GLUTARATE)",".5","MG","01900625"
"104365","15568","ADDED","approved","PREGABALIN","25","MG","02554836"
"104366","15568","ADDED","approved","PREGABALIN","50","MG","02554844"
"104349","1196","ADDED","approved","CLOZAPINE","50","MG","02554666"
"104353","8231","ADDED","approved","BUTALBITAL","50","MG","02554690"
"104324","182","ADDED","approved","DIPHENHYDRAMINE HYDROCHLORIDE","25","MG","02554380"
"104347","1196","ADDED","approved","CLOZAPINE","12.5","MG","02554631"
"102894","6492","Changed","approved","PSEUDOEPHEDRINE HYDROCHLORIDE","60","MG","02540231"
"104364","197","ADDED","approved","BENZALKONIUM CHLORIDE","0.14","%","02554828"
"104341","20435","ADDED","approved","ARIPIPRAZOLE","960","MG","02554577"
"104385","23356","ADDED","approved","TALAZOPARIB (TALAZOPARIB TOSYLATE)","0.1","MG","02555050"
"104328","20822","ADDED","approved","DELAFLOXACIN (DELAFLOXACIN MEGLUMINE)","450","MG","02554429"
"104346","9131","ADDED","approved","CODEINE PHOSPHATE","30","MG","02554623"
