"ntp_formal_name","n_mp","greater_than_5_AIs","ntp_status_effective_time","ntp_code","en_display","fr_display"
"meperidine hydrochloride 50 mg oral tablet",1,FALSE,1944-12-31,9000001,NA,NA
"levothyroxine sodium 50 mcg oral tablet",2,FALSE,1951-12-30,9000002,NA,NA
"epinephrine (epinephrine hydrochloride) 1 mg per 1 mL solution for injection ampoule",1,FALSE,1951-12-31,9000003,NA,NA
"epinephrine (epinephrine hydrochloride) 1 mg per mL nasal spray",1,FALSE,1951-12-31,9000004,NA,NA
"epinephrine (epinephrine hydrochloride) 30 mg per 30 mL solution for injection ampoule",1,FALSE,1951-12-31,9000005,NA,NA
"phenytoin sodium 100 mg oral capsule",2,FALSE,1951-12-31,9000006,NA,NA
"phenytoin sodium 30 mg oral capsule",1,FALSE,1951-12-31,9000007,NA,NA
"phenytoin 50 mg oral tablet",1,FALSE,1952-12-31,9000008,NA,NA
"phenytoin 125 mg per 5 mL oral suspension",2,FALSE,1953-12-31,9000009,NA,NA
"testosterone cypionate 1000 mg per 10 mL solution for injection vial",2,FALSE,1953-12-31,9000010,NA,NA
"hydrocortisone 10 mg oral tablet",1,FALSE,1954-12-31,9000011,NA,NA
"hydrocortisone 20 mg oral tablet",1,FALSE,1954-12-31,9000012,NA,NA
"testosterone enanthate 1000 mg per 5 mL solution for injection ampoule",1,FALSE,1955-12-31,9000013,NA,NA
"hydroxyzine hydrochloride 10 mg per 5 mL syrup",2,FALSE,1956-12-31,9000014,NA,NA
"methylphenidate hydrochloride 10 mg oral tablet",6,FALSE,1956-12-31,9000015,NA,NA
"hydrocodone 5 mg and phenyltoloxamine 10 mg prolonged-release oral tablet",1,FALSE,1957-12-31,9000016,NA,NA
"hydrocodone 5 mg per 5 mL and phenyltoloxamine 10 mg per 5 mL oral suspension",1,FALSE,1957-12-31,9000017,NA,NA
"hydroxychloroquine sulfate 200 mg oral tablet",5,FALSE,1957-12-31,9000018,NA,NA
"warfarin sodium 10 mg oral tablet",3,FALSE,1957-12-31,9000019,NA,NA
"warfarin sodium 1 mg oral tablet",3,FALSE,1957-12-31,9000020,NA,NA
"warfarin sodium 5 mg oral tablet",3,FALSE,1957-12-31,9000021,NA,NA
"hydrocortisone (hydrocortisone sodium succinate) 100 mg per vial powder for solution for injection",2,FALSE,1958-12-31,9000022,NA,NA
"methylphenidate hydrochloride 20 mg oral tablet",6,FALSE,1958-12-31,9000023,NA,NA
"belladonna 0.2 mg and ergotamine tartrate 0.6 mg and phenobarbital 40 mg prolonged-release oral tablet",1,FALSE,1959-01-01,9001568,NA,NA
"prednisone 5 mg oral tablet",4,FALSE,1959-12-31,9000024,NA,NA
"spironolactone 25 mg oral tablet",2,FALSE,1959-12-31,9000025,NA,NA
"medroxyprogesterone acetate 250 mg per 5 mL suspension for injection vial",1,FALSE,1960-12-31,9000026,NA,NA
"medroxyprogesterone acetate 5 mg oral tablet",4,FALSE,1961-12-31,9000027,NA,NA
"norethindrone acetate 5 mg oral tablet",1,FALSE,1961-12-31,9000028,NA,NA
"hydrocortisone (hydrocortisone sodium succinate) 250 mg per vial powder for solution for injection",2,FALSE,1962-12-31,9000029,NA,NA
"conjugated estrogens 0.625 mg oral tablet",4,FALSE,1963-12-31,9000030,NA,NA
"acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 15 mg oral tablet",2,FALSE,1964-12-31,9000031,NA,NA
"acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 30 mg oral tablet",2,FALSE,1964-12-31,9000032,NA,NA
"amitriptyline hydrochloride 10 mg oral tablet",11,FALSE,1965-12-31,9000033,NA,NA
"betamethasone acetate 3 mg per mL and betamethasone (betamethasone sodium phosphate) 3 mg per mL suspension for injection",1,FALSE,1965-12-31,9001611,NA,NA
"nortriptyline (nortriptyline hydrochloride) 10 mg oral capsule",4,FALSE,1965-12-31,9000034,NA,NA
"nortriptyline (nortriptyline hydrochloride) 25 mg oral capsule",4,FALSE,1965-12-31,9000035,NA,NA
"azathioprine 50 mg oral tablet",6,FALSE,1966-12-31,9000036,NA,NA
"dexamethasone 0.1 % ophthalmic ointment",1,FALSE,1966-12-31,9000037,NA,NA
"hydrocortisone (hydrocortisone sodium succinate) 500 mg per vial powder for solution for injection",2,FALSE,1966-12-31,9000038,NA,NA
"quinine sulfate 200 mg oral capsule",5,FALSE,1966-12-31,9000039,NA,NA
"quinine sulfate 300 mg oral capsule",5,FALSE,1966-12-31,9000040,NA,NA
"triamcinolone acetonide 50 mg per 5 mL suspension for injection vial",2,FALSE,1966-12-31,9000041,NA,NA
"hydrocortisone (hydrocortisone sodium succinate) 1 g per vial powder for solution for injection",2,FALSE,1967-12-31,9000042,NA,NA
"hydrochlorothiazide 25 mg oral tablet",8,FALSE,1968-12-31,9000043,NA,NA
"hydrochlorothiazide 50 mg oral tablet",7,FALSE,1968-12-31,9000044,NA,NA
"phenytoin 30 mg per 5 mL oral suspension",1,FALSE,1968-12-31,9000045,NA,NA
"amitriptyline hydrochloride 50 mg oral tablet",11,FALSE,1969-12-31,9000046,NA,NA
"carbamazepine 200 mg oral tablet",6,FALSE,1969-12-31,9000047,NA,NA
"clindamycin (clindamycin hydrochloride) 150 mg oral capsule",6,FALSE,1970-12-31,9000048,NA,NA
"erythromycin (erythromycin estolate) 125 mg per 5 mL oral suspension",1,FALSE,1970-12-31,9000049,NA,NA
"metronidazole 10 % vaginal cream",1,FALSE,1970-12-31,9000050,NA,NA
"pentazocine (pentazocine hydrochloride) 50 mg oral tablet",1,FALSE,1970-12-31,9000051,NA,NA
"cephalexin 125 mg per 5 mL oral suspension",4,FALSE,1971-12-31,9000559,NA,NA
"cephalexin 250 mg per 5 mL oral suspension",4,FALSE,1971-12-31,9000560,NA,NA
"lithium carbonate 300 mg oral capsule",4,FALSE,1971-12-31,9000054,NA,NA
