"pharmaceutical_form","route_of_administration"
"TABLET","ORAL"
"LIQUID","INTRAMUSCULAR"
"TABLET (ENTERIC-COATED)","ORAL"
"CREAM","TOPICAL"
"PATCH (EXTENDED RELEASE)","TRANSDERMAL"
"CAPSULE","ORAL"
"DROPS","OPHTHALMIC"
"LIQUID","ORAL"
"LIQUID","TOPICAL"
"POWDER","ORAL"
"LOTION","TOPICAL"
"LIQUID","SUBCUTANEOUS"
"LIQUID","INTRAVENOUS"
"SOLUTION","INHALATION"
"SUSPENSION","ORAL"
"SOLUTION","ORAL"
"DROPS","ORAL"
"SOLUTION","0-UNASSIGNED"
"METERED-DOSE AEROSOL","INHALATION"
"POWDER","INHALATION"
"CAPSULE (ENTERIC-COATED)","ORAL"
"SUPPOSITORY","RECTAL"
"SOLUTION","INTRAVENOUS"
"OINTMENT","TOPICAL"
"OINTMENT","OPHTHALMIC"
"SYRUP","ORAL"
"SUSPENSION","OPHTHALMIC"
"SOLUTION","TOPICAL"
"ELIXIR","ORAL"
"TABLET (EXTENDED-RELEASE)","ORAL"
"GEL","TOPICAL"
"POWDER FOR SUSPENSION","ORAL"
"SOLUTION","INTRAMUSCULAR"
"SOLUTION","OPHTHALMIC"
"LIQUID","INTRASYNOVIAL"
"POWDER FOR SOLUTION","ORAL"
"TABLET","SUBLINGUAL"
"SUSPENSION","SUBCUTANEOUS"
"DROPS","OTIC"
"SOLUTION","BLOCK/INFILTRATION"
"SUPPOSITORY","VAGINAL"
"SOLUTION","EPIDURAL"
"SOLUTION","SUBCUTANEOUS"
"CREAM","VAGINAL"
"SUSPENSION","INHALATION"
"LIQUID","INTRA-ARTICULAR"
"PASTE","DENTAL"
"SUSPENSION","OTIC"
"OINTMENT","OTIC"
"SUSPENSION","INTRAMUSCULAR"
"SUSPENSION","INTRA-ARTICULAR"
"TABLET (IMMEDIATE RELEASE)","ORAL"
"TABLET (CHEWABLE)","ORAL"
"CAPSULE (EXTENDED RELEASE)","ORAL"
"POWDER","NASAL"
"TABLET (DELAYED-RELEASE)","ORAL"
"SOLUTION","NASAL"
"SOLUTION","INTRAOCULAR"
"CAPSULE (SUSTAINED-RELEASE)","ORAL"
"SUSPENSION","INTRASYNOVIAL"
"SUSPENSION","INTRADERMAL"
"SUSPENSION","INTRABURSAL"
"POWDER FOR SOLUTION","INTRAVENOUS"
"POWDER FOR SOLUTION","INTRAMUSCULAR"
"SOLUTION","DENTAL"
"KIT","DENTAL"
"SOLUTION","OTIC"
"ENEMA","RECTAL"
"KIT","RECTAL"
"TABLET","RECTAL"
"WIPE","TOPICAL (HOSPITAL/HC FACILITIES)"
"LIQUID","BLOCK/INFILTRATION"
"GEL","VAGINAL"
"DRESSING","TOPICAL"
"GRANULES FOR SUSPENSION","ORAL"
"SOLUTION","INTRATHECAL"
"LIQUID","OPHTHALMIC"
"OINTMENT","RECTAL"
"LIQUID","RECTAL"
"LIQUID","EPIDURAL"
"SUSPENSION","RECTAL"
"CAPSULE (DELAYED RELEASE)","ORAL"
"RING (SLOW-RELEASE)","VAGINAL"
"DROPS","TOPICAL"
"SOLUTION (LONG-ACTING)","OPHTHALMIC"
"METERED-DOSE AEROSOL","NASAL"
"SUSPENSION","NASAL"
"PATCH","TRANSDERMAL"
"SPRAY","TOPICAL"
"SPRAY","NASAL"
"SOLUTION","TOPICAL (HOSPITAL/HC FACILITIES)"
"SPONGE","TOPICAL (HOSPITAL/HC FACILITIES)"
"SOLUTION","INTRA-ARTERIAL"
"SPRAY, METERED DOSE","NASAL"
"LIQUID","BUCCAL"
"PACKAGE","ORAL"
"LIQUID","DENTAL"
"SWAB","TOPICAL (HOSPITAL/HC FACILITIES)"
"AEROSOL","RECTAL"
"LIQUID","SOFT TISSUE INJECTION"
"LIQUID","INTRALESIONAL"
"GEL","RECTAL"
"SHAMPOO","TOPICAL"
"TABLET (EFFERVESCENT)","ORAL"
"METERED-DOSE PUMP","NASAL"
"SOLUTION","INTRAVENTRICULAR"
"PAD","TOPICAL"
"CAPSULE (CONTROLLED-DELIVERY)","ORAL"
"CAPSULE","INHALATION"
"METERED-DOSE PUMP","SUBLINGUAL"
"MOUTHWASH/GARGLE","BUCCAL"
"SUSPENSION","INTRALESIONAL"
"KIT","ORAL"
"GEL","TRANSDERMAL"
"LIQUID","INHALATION"
"LIQUID","NASAL"
"TABLET (ORALLY DISINTEGRATING)","ORAL"
