"drug_code","status_current","history_date_current","status_previous","history_date_previous","drug_identification_number"
12411,"MARKETED",2019-09-03,"MARKETED",2019-01-24,"01944738"
12449,"MARKETED",2019-09-03,"MARKETED",2019-07-15,"01944762"
13167,"MARKETED",2019-10-25,"MARKETED",2017-05-26,"01943308"
13440,"MARKETED",2019-09-03,"MARKETED",2019-05-22,"02003317"
13909,"MARKETED",2019-10-15,"MARKETED",2011-01-04,"01962728"
13917,"MARKETED",2019-10-15,"MARKETED",2011-01-04,"01962701"
14031,"MARKETED",2019-08-13,"MARKETED",2019-04-30,"00692700"
15925,"MARKETED",2019-09-27,"MARKETED",1994-12-31,"02084104"
15927,"MARKETED",2019-09-27,"MARKETED",1994-12-31,"02084090"
16623,"MARKETED",2019-10-04,"DORMANT",2017-07-18,"02023830"
1738,"MARKETED",2019-10-23,"MARKETED",2017-11-10,"00039500"
2481,"MARKETED",2019-03-14,"MARKETED",2017-04-26,"00363812"
37150,"MARKETED",2019-09-03,"MARKETED",2018-10-10,"02218186"
3743,"MARKETED",2019-10-17,"MARKETED",2017-05-17,"00481408"
50599,"MARKETED",2019-10-23,"MARKETED",2017-06-13,"02231289"
62054,"MARKETED",2019-10-18,"MARKETED",2002-10-15,"02238626"
63352,"MARKETED",2019-10-11,"MARKETED",1999-03-29,"02239864"
6511,"MARKETED",2019-10-24,"MARKETED",1985-12-31,"00644331"
66076,"MARKETED",2019-10-18,"MARKETED",2000-09-15,"02242365"
67060,"MARKETED",2019-10-11,"MARKETED",2001-02-21,"02243180"
69814,"MARKETED",2019-09-03,"MARKETED",2018-10-10,"02245710"
70567,"MARKETED",2019-10-17,"MARKETED",2017-05-26,"02246397"
7084,"MARKETED",2019-10-07,"MARKETED",2016-03-03,"00708925"
72943,"MARKETED",2019-09-09,"MARKETED",2019-09-05,"02248588"
73592,"MARKETED",2019-10-08,"MARKETED",2007-01-13,"02250993"
73724,"MARKETED",2019-09-03,"MARKETED",2018-10-10,"02252376"
74314,"MARKETED",2019-10-11,"MARKETED",2012-06-12,"02257912"
75088,"MARKETED",2019-09-03,"MARKETED",2019-07-15,"02265419"
75089,"MARKETED",2019-09-03,"MARKETED",2019-05-07,"02265427"
76819,"MARKETED",2019-10-15,"MARKETED",2010-09-15,"02282550"
77369,"MARKETED",2019-10-15,"MARKETED",2011-02-23,"02288249"
77893,"MARKETED",2019-10-15,"MARKETED",2007-04-17,"02293579"
793,"MARKETED",2019-10-17,"MARKETED",2017-06-02,"00000809"
794,"MARKETED",2019-10-17,"MARKETED",2017-06-02,"00000817"
80286,"MARKETED",2019-10-17,"MARKETED",2009-01-28,"02317338"
81253,"MARKETED",2019-08-26,"MARKETED",2018-04-13,"02327236"
81489,"MARKETED",2019-10-15,"MARKETED",2010-01-12,"02329204"
83780,"MARKETED",2019-09-19,"DORMANT",2017-07-24,"02352540"
84468,"MARKETED",2019-10-18,"MARKETED",2011-05-16,"02359685"
