"extract","drug_code","active_ingredient_code","ingredient","strength","strength_unit","status","drug_identification_number"
"active",287,10302,"PENICILLAMINE","250","MG","ADDED","00016055"
"active",287,10302,"D-PENICILLAMINE","250","MG","DELETED","00016055"
"active",287,10302,"PENICILLAMINE","250","MG","NEW","00016055"
"active",1181,9547,"MANNITOL","25","%","ADDED","00038024"
"active",1181,9547,"MANNITOL","12.5","G","DELETED","00038024"
"active",1740,9547,"MANNITOL","20","%","ADDED","00038016"
"active",1740,9547,"MANNITOL","200","MG","DELETED","00038016"
"inactive",3859,10302,"PENICILLAMINE","125","MG","ADDED","00497894"
"inactive",3859,10302,"D-PENICILLAMINE","125","MG","DELETED","00497894"
"inactive",3859,10302,"PENICILLAMINE","125","MG","NEW","00497894"
"inactive",4111,10302,"PENICILLAMINE","250","MG","ADDED","00511641"
"inactive",4111,10302,"D-PENICILLAMINE","250","MG","DELETED","00511641"
"inactive",4111,10302,"PENICILLAMINE","250","MG","NEW","00511641"
"active",8187,7364,"SOMATROPIN","5","MG","ADDED","00745626"
"active",8187,7364,"SOMATROPIN","1","MG","DELETED","00745626"
"active",31283,8910,"SODIUM THIOSULFATE","250","MG","ADDED","02137186"
"active",31283,8910,"SODIUM THIOSULFATE","25","%","DELETED","02137186"
"dormant",61602,2023,"SUCRALFATE","1","G","ADDED","02238209"
"dormant",61602,2023,"SUCRALFATE","1000","MG","DELETED","02238209"
"inactive",61824,662,"PYRITHIONE ZINC","0.25","%","ADDED","02238407"
"inactive",61824,662,"PYRITHIONE ZINC","2.5","MG","DELETED","02238407"
"inactive",62602,11819,"RISEDRONATE SODIUM (RISEDRONATE SODIUM HEMIPENTAHYDRATE)","30","MG","ADDED","02239146"
"inactive",62602,11819,"RISEDRONATE SODIUM (RISEDRONATE SODIUM HEMI-PENTAHYDRATE)","30","MG","DELETED","02239146"
"inactive",62602,11819,"RISEDRONATE SODIUM (RISEDRONATE SODIUM HEMIPENTAHYDRATE)","30","MG","NEW","02239146"
"inactive",66266,11819,"RISEDRONATE SODIUM (RISEDRONATE SODIUM HEMIPENTAHYDRATE)","5","MG","ADDED","02242518"
"inactive",66266,11819,"RISEDRONATE SODIUM (RISEDRONATE SODIUM HEMI-PENTAHYDRATE)","5","MG","DELETED","02242518"
"inactive",66266,11819,"RISEDRONATE SODIUM (RISEDRONATE SODIUM HEMIPENTAHYDRATE)","5","MG","NEW","02242518"
"active",67055,9547,"MANNITOL","25","%","ADDED","02243176"
