"extract","drug_code","pharm_form_code","pharmaceutical_form","status","drug_identification_number"
"active",12947,134,"SOLUTION","ADDED","01939068"
"active",68253,59,"SHAMPOO","ADDED","02244286"
"active",70059,134,"SOLUTION","ADDED","02245935"
"active",70469,134,"SOLUTION","ADDED","02246307"
"active",70469,98,"SPRAY","ADDED","02246307"
"active",71050,56,"POWDER FOR SOLUTION","ADDED","02246848"
"active",793,134,"SOLUTION","ADDED","00000809"
"active",794,134,"SOLUTION","ADDED","00000817"
"active",83004,56,"POWDER FOR SOLUTION","ADDED","02344548"
"active",83579,59,"SHAMPOO","ADDED","02350599"
"active",89529,134,"SOLUTION","ADDED","02410613"
"dormant",90487,134,"SOLUTION","ADDED","02420287"
"approved",85320,56,"POWDER FOR SOLUTION","ADDED","02368234"
"approved",91375,75,"TABLET (EXTENDED-RELEASE)","ADDED","02429322"
"approved",91376,75,"TABLET (EXTENDED-RELEASE)","ADDED","02429330"
"approved",91377,75,"TABLET (EXTENDED-RELEASE)","ADDED","02429349"
"approved",91378,75,"TABLET (EXTENDED-RELEASE)","ADDED","02429357"
"approved",97824,59,"SHAMPOO","ADDED","02488132"
"approved",98074,85,"TABLET","ADDED","02490684"
"approved",98270,85,"TABLET","ADDED","02492717"
"approved",98271,85,"TABLET","ADDED","02492725"
"approved",98272,85,"TABLET","ADDED","02492733"
"approved",98273,85,"TABLET","ADDED","02492741"
"approved",98274,134,"SOLUTION","ADDED","02492768"
"approved",98285,134,"SOLUTION","ADDED","02492857"
"approved",98286,134,"SOLUTION","ADDED","02492865"
"approved",98290,85,"TABLET","ADDED","02492911"
"approved",98291,85,"TABLET","ADDED","02492938"
"approved",98292,85,"TABLET","ADDED","02492946"
"approved",98296,134,"SOLUTION","ADDED","02492989"
"approved",98297,134,"SOLUTION","ADDED","02492997"
"approved",98298,5,"CAPSULE","ADDED","02493004"
"approved",98300,79,"SUSPENSION","ADDED","02493020"
"approved",98302,85,"TABLET","ADDED","02493039"
"approved",98303,85,"TABLET","ADDED","02493047"
"approved",98311,134,"SOLUTION","ADDED","02493144"
"approved",98312,134,"SOLUTION","ADDED","02493152"
"approved",98313,182,"MOUTHWASH","ADDED","02493160"
"approved",98317,134,"SOLUTION","ADDED","02493187"
"approved",98318,134,"SOLUTION","ADDED","02493195"
"approved",98325,43,"OINTMENT","ADDED","02493276"
"approved",98334,5,"CAPSULE","ADDED","02493322"
"approved",98335,56,"POWDER FOR SOLUTION","ADDED","02493330"
"approved",98336,56,"POWDER FOR SOLUTION","ADDED","02493349"
"approved",98337,85,"TABLET","ADDED","02493357"
"approved",98338,5,"CAPSULE","ADDED","02493365"
"approved",98339,134,"SOLUTION","ADDED","02493373"
"approved",98340,126,"POWDER FOR SUSPENSION","ADDED","02493381"
"approved",98345,55,"POWDER","ADDED","02493446"
"approved",98346,59,"SHAMPOO","ADDED","02493454"
"approved",98353,56,"POWDER FOR SOLUTION","ADDED","02493527"
"approved",97593,134,"SOLUTION","ADDED","02485702"
"approved",97688,9,"CREAM","ADDED","02486709"
"approved",97703,36,"LOTION","ADDED","02486865"
"approved",97707,59,"SHAMPOO","ADDED","02486911"
"active",12947,34,"LIQUID","DELETED","01939068"
"active",68253,36,"LOTION","DELETED","02244286"
"active",70059,34,"LIQUID","DELETED","02245935"
"active",70469,34,"LIQUID","DELETED","02246307"
"active",71050,55,"POWDER","DELETED","02246848"
"active",793,12,"DROPS","DELETED","00000809"
"active",794,12,"DROPS","DELETED","00000817"
"active",83004,55,"POWDER","DELETED","02344548"
"active",83579,36,"LOTION","DELETED","02350599"
"active",89529,34,"LIQUID","DELETED","02410613"
"dormant",26396,48,"PACKAGE","DELETED","02023105"
"dormant",26397,48,"PACKAGE","DELETED","02023113"
"dormant",90487,34,"LIQUID","DELETED","02420287"
"approved",85320,55,"POWDER","DELETED","02368234"
