drug_code,mp_code,mp_fr_description,ntp_fr_description,tm_fr_description,changes
432,00030910,CORTEF (hydrocortisone 10 mg comprimé oral) PFIZER CANADA ULC,hydrocortisone 10 mg comprimé oral,hydrocortisone,"mp_fr_description: ""CORTEF ̲T̲A̲B̲L̲E̲T̲S̲ ̲1̲0̲M̲G̲ (hydrocortisone 10 mg comprimé oral) PFIZER CANADA ULC"" -> ""CORTEF (hydrocortisone 10 mg comprimé oral) PFIZER CANADA ULC"""
433,00030929,CORTEF (hydrocortisone 20 mg comprimé oral) PFIZER CANADA ULC,hydrocortisone 20 mg comprimé oral,hydrocortisone,"mp_fr_description: ""CORTEF ̲T̲A̲B̲L̲E̲T̲S̲ ̲2̲0̲ ̲M̲G̲ (hydrocortisone 20 mg comprimé oral) PFIZER CANADA ULC"" -> ""CORTEF (hydrocortisone 20 mg comprimé oral) PFIZER CANADA ULC"""
4544,00507415,"DAN-GARD (pyrithione zincique 2 % shampoing) BAUSCH HEALTH, CANADA INC.",pyrithione zincique 2 % shampoing,pyrithione zincique,"mp_fr_description: ""DAN-GARD (pyrithione zincique 2 % shampoing) V̲A̲L̲E̲O̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲"" -> ""DAN-GARD (pyrithione zincique 2 % shampoing) B̲A̲U̲S̲C̲H̲ ̲H̲E̲A̲L̲T̲H̲,̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C̲.̲"""
8275,00511234,TROMBOJECT 1% (tétradécyl sulfate de sodium 20 mg par 2 mL solution injectable fiole) OMEGA LABORATORIES LIMITED,tétradécyl sulfate de sodium 20 mg par 2 mL solution injectable fiole,tétradécyl sulfate de sodium,"mp_fr_description: ""TROMBOJECT 1% ̲I̲N̲J̲ ̲1̲0̲M̲G̲/̲M̲L̲ (tétradécyl sulfate de sodium 20 mg par 2 mL solution injectable fiole) OMEGA LABORATORIES LIMITED"" -> ""TROMBOJECT 1% (tétradécyl sulfate de sodium 20 mg par 2 mL solution injectable fiole) OMEGA LABORATORIES LIMITED"""
13360,01964054,"ORACORT (acétonide de triamcinolone 0,1 % pâte buccale) TARO PHARMACEUTICALS INC","acétonide de triamcinolone 0,1 % pâte buccale",acétonide de triamcinolone,"mp_fr_description: ""ORACORT ̲D̲E̲N̲T̲A̲L̲ ̲P̲A̲S̲T̲E̲ ̲0̲.̲1̲%̲ (acétonide de triamcinolone 0,1 % pâte buccale) TARO PHARMACEUTICALS INC"" -> ""ORACORT (acétonide de triamcinolone 0,1 % pâte buccale) TARO PHARMACEUTICALS INC"""
43018,02207621,APO-ACYCLOVIR (acyclovir 200 mg comprimé oral) APOTEX INC,acyclovir 200 mg comprimé oral,acyclovir,"mp_fr_description: ""APO-ACYCLOVIR ̲-̲ ̲T̲A̲B̲ ̲2̲0̲0̲M̲G̲ (acyclovir 200 mg comprimé oral) APOTEX INC"" -> ""APO-ACYCLOVIR (acyclovir 200 mg comprimé oral) APOTEX INC"""
43019,02207648,APO-ACYCLOVIR (acyclovir 400 mg comprimé oral) APOTEX INC,acyclovir 400 mg comprimé oral,acyclovir,"mp_fr_description: ""APO-ACYCLOVIR ̲-̲ ̲T̲A̲B̲ ̲4̲0̲0̲M̲G̲ (acyclovir 400 mg comprimé oral) APOTEX INC"" -> ""APO-ACYCLOVIR (acyclovir 400 mg comprimé oral) APOTEX INC"""
67055,02243176,"MANNITOL INJECTION, USP (mannitol 25 % solution injectable 50 mL fiole) FRESENIUS KABI CANADA LTD",mannitol 25 % solution injectable 50 mL fiole,mannitol,"mp_fr_description: ""MANNITOL INJECTION (mannitol 25 % solution injectable 50 mL fiole) FRESENIUS KABI CANADA LTD"" -> ""MANNITOL INJECTION,̲ ̲U̲S̲P̲ (mannitol 25 % solution injectable 50 mL fiole) FRESENIUS KABI CANADA LTD"""
75715,02271605,"TEVA-DILTIAZEM HCL ER (chlorhydrate de diltiazem 120 mg capsule orale à libération prolongée) BAUSCH HEALTH, CANADA INC.",chlorhydrate de diltiazem 120 mg capsule orale à libération prolongée,diltiazem,"mp_fr_description: ""TEVA-DILTIAZEM HCL ER ̲C̲A̲P̲S̲U̲L̲E̲S̲ (chlorhydrate de diltiazem 120 mg capsule orale à libération prolongée) V̲A̲L̲E̲A̲N̲T̲ ̲C̲A̲N̲A̲D̲A̲ ̲L̲P̲ ̲/̲ ̲V̲A̲L̲E̲A̲N̲T̲ ̲C̲A̲N̲A̲D̲A̲ ̲S̲.̲E̲.̲C."" -> ""TEVA-DILTIAZEM HCL ER (chlorhydrate de diltiazem 120 mg capsule orale à libération prolongée) B̲A̲U̲S̲C̲H̲ ̲H̲E̲A̲L̲T̲H̲,̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C."""
75716,02271613,"TEVA-DILTIAZEM HCL ER (chlorhydrate de diltiazem 180 mg capsule orale à libération prolongée) BAUSCH HEALTH, CANADA INC.",chlorhydrate de diltiazem 180 mg capsule orale à libération prolongée,diltiazem,"mp_fr_description: ""TEVA-DILTIAZEM HCL ER ̲C̲A̲P̲S̲U̲L̲E̲S̲ (chlorhydrate de diltiazem 180 mg capsule orale à libération prolongée) V̲A̲L̲E̲A̲N̲T̲ ̲C̲A̲N̲A̲D̲A̲ ̲L̲P̲ ̲/̲ ̲V̲A̲L̲E̲A̲N̲T̲ ̲C̲A̲N̲A̲D̲A̲ ̲S̲.̲E̲.̲C."" -> ""TEVA-DILTIAZEM HCL ER (chlorhydrate de diltiazem 180 mg capsule orale à libération prolongée) B̲A̲U̲S̲C̲H̲ ̲H̲E̲A̲L̲T̲H̲,̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C."""
75717,02271621,"TEVA-DILTIAZEM HCL ER (chlorhydrate de diltiazem 240 mg capsule orale à libération prolongée) BAUSCH HEALTH, CANADA INC.",chlorhydrate de diltiazem 240 mg capsule orale à libération prolongée,diltiazem,"mp_fr_description: ""TEVA-DILTIAZEM HCL ER ̲C̲A̲P̲S̲U̲L̲E̲S̲ (chlorhydrate de diltiazem 240 mg capsule orale à libération prolongée) V̲A̲L̲E̲A̲N̲T̲ ̲C̲A̲N̲A̲D̲A̲ ̲L̲P̲ ̲/̲ ̲V̲A̲L̲E̲A̲N̲T̲ ̲C̲A̲N̲A̲D̲A̲ ̲S̲.̲E̲.̲C."" -> ""TEVA-DILTIAZEM HCL ER (chlorhydrate de diltiazem 240 mg capsule orale à libération prolongée) B̲A̲U̲S̲C̲H̲ ̲H̲E̲A̲L̲T̲H̲,̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C."""
75718,02271648,"TEVA-DILTIAZEM HCL ER (chlorhydrate de diltiazem 300 mg capsule orale à libération prolongée) BAUSCH HEALTH, CANADA INC.",chlorhydrate de diltiazem 300 mg capsule orale à libération prolongée,diltiazem,"mp_fr_description: ""TEVA-DILTIAZEM HCL ER ̲C̲A̲P̲S̲U̲L̲E̲S̲ (chlorhydrate de diltiazem 300 mg capsule orale à libération prolongée) V̲A̲L̲E̲A̲N̲T̲ ̲C̲A̲N̲A̲D̲A̲ ̲L̲P̲ ̲/̲ ̲V̲A̲L̲E̲A̲N̲T̲ ̲C̲A̲N̲A̲D̲A̲ ̲S̲.̲E̲.̲C."" -> ""TEVA-DILTIAZEM HCL ER (chlorhydrate de diltiazem 300 mg capsule orale à libération prolongée) B̲A̲U̲S̲C̲H̲ ̲H̲E̲A̲L̲T̲H̲,̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C."""
75719,02271656,"TEVA-DILTIAZEM HCL ER (chlorhydrate de diltiazem 360 mg capsule orale à libération prolongée) BAUSCH HEALTH, CANADA INC.",chlorhydrate de diltiazem 360 mg capsule orale à libération prolongée,diltiazem,"mp_fr_description: ""TEVA-DILTIAZEM HCL ER ̲C̲A̲P̲S̲U̲L̲E̲S̲ (chlorhydrate de diltiazem 360 mg capsule orale à libération prolongée) V̲A̲L̲E̲A̲N̲T̲ ̲C̲A̲N̲A̲D̲A̲ ̲L̲P̲ ̲/̲ ̲V̲A̲L̲E̲A̲N̲T̲ ̲C̲A̲N̲A̲D̲A̲ ̲S̲.̲E̲.̲C."" -> ""TEVA-DILTIAZEM HCL ER (chlorhydrate de diltiazem 360 mg capsule orale à libération prolongée) B̲A̲U̲S̲C̲H̲ ̲H̲E̲A̲L̲T̲H̲,̲ ̲C̲A̲N̲A̲D̲A̲ ̲I̲N̲C."""
76380,02278219,ARESTIN MICROSPHERES (minocycline (chlorhydrate de minocycline) 1 mg par 4 mg poudre périodontale à libération prolongée) ORA PHARMA INC.,minocycline (chlorhydrate de minocycline) 1 mg par 4 mg poudre périodontale à libération prolongée,minocycline,"mp_fr_description: ""ARESTIN MICROSPHERES (minocycline (chlorhydrate de minocycline) 1 mg par 4 mg poudre périodontale à libération prolongée) ORAPHARMA INC"" -> ""ARESTIN MICROSPHERES (minocycline (chlorhydrate de minocycline) 1 mg par 4 mg poudre périodontale à libération prolongée) ORA ̲PHARMA INC.̲"""
86832,02382482,"NALOXONE HYDROCHLORIDE INJECTION USP (chlorhydrate de naloxone (chlorhydrate dihydraté de naloxone) 0,4 mg par 1 mL solution injectable ampoule) TELIP, LLC, A SUBSIDIARY OF TELIGENT, INC.","chlorhydrate de naloxone 0,4 mg par 1 mL solution injectable ampoule",naloxone,"mp_fr_description: ""NALOXONE HYDROCHLORIDE INJECTION USP (chlorhydrate de naloxone (chlorhydrate dihydraté de naloxone) 0,4 mg par 1 mL solution injectable ampoule) TELIG̲E̲N̲T̲ ̲O̲U̲"" -> ""NALOXONE HYDROCHLORIDE INJECTION USP (chlorhydrate de naloxone (chlorhydrate dihydraté de naloxone) 0,4 mg par 1 mL solution injectable ampoule) TELIP̲,̲ ̲L̲L̲C̲,̲ ̲A̲ ̲S̲U̲B̲S̲I̲D̲I̲A̲R̲Y̲ ̲O̲F̲ ̲T̲E̲L̲I̲G̲E̲N̲T̲,̲ ̲I̲N̲C̲.̲"""
86984,02384094,"FUROSEMIDE INJECTION USP (furosémide 20 mg par 2 mL solution injectable ampoule) TELIP, LLC, A SUBSIDIARY OF TELIGENT, INC.",furosémide 20 mg par 2 mL solution injectable ampoule,furosémide,"mp_fr_description: ""FUROSEMIDE INJECTION USP (furosémide 20 mg par 2 mL solution injectable ampoule) TELIG̲E̲N̲T̲ ̲O̲U̲"" -> ""FUROSEMIDE INJECTION USP (furosémide 20 mg par 2 mL solution injectable ampoule) TELIP̲,̲ ̲L̲L̲C̲,̲ ̲A̲ ̲S̲U̲B̲S̲I̲D̲I̲A̲R̲Y̲ ̲O̲F̲ ̲T̲E̲L̲I̲G̲E̲N̲T̲,̲ ̲I̲N̲C̲.̲"""
88462,02399776,ACH-LEVETIRACETAM (lévétiracétam 250 mg comprimé oral) ACCORD HEALTHCARE INC,lévétiracétam 250 mg comprimé oral,lévétiracétam,"mp_fr_description: ""LEVETIRACETAM ̲T̲A̲B̲L̲E̲T̲S̲ (lévétiracétam 250 mg comprimé oral) ACCORD HEALTHCARE INC"" -> ""A̲C̲H̲-̲LEVETIRACETAM (lévétiracétam 250 mg comprimé oral) ACCORD HEALTHCARE INC"""
88463,02399784,ACH-LEVETIRACETAM (lévétiracétam 500 mg comprimé oral) ACCORD HEALTHCARE INC,lévétiracétam 500 mg comprimé oral,lévétiracétam,"mp_fr_description: ""LEVETIRACETAM ̲T̲A̲B̲L̲E̲T̲S̲ (lévétiracétam 500 mg comprimé oral) ACCORD HEALTHCARE INC"" -> ""A̲C̲H̲-̲LEVETIRACETAM (lévétiracétam 500 mg comprimé oral) ACCORD HEALTHCARE INC"""
88464,02399792,ACH-LEVETIRACETAM (lévétiracétam 750 mg comprimé oral) ACCORD HEALTHCARE INC,lévétiracétam 750 mg comprimé oral,lévétiracétam,"mp_fr_description: ""LEVETIRACETAM ̲T̲A̲B̲L̲E̲T̲S̲ (lévétiracétam 750 mg comprimé oral) ACCORD HEALTHCARE INC"" -> ""A̲C̲H̲-̲LEVETIRACETAM (lévétiracétam 750 mg comprimé oral) ACCORD HEALTHCARE INC"""
91093,02426331,ESCITALOPRAM TABLETS (escitalopram (oxalate d'escitalopram) 10 mg comprimé oral) STRIDES PHARMA CANADA INC,escitalopram (oxalate d'escitalopram) 10 mg comprimé oral,escitalopram,"mp_fr_description: ""P̲R̲I̲V̲A̲-̲ESCITALOPRAM (escitalopram (oxalate d'escitalopram) 10 mg comprimé oral) P̲H̲A̲R̲M̲A̲P̲A̲R̲ INC"" -> ""ESCITALOPRAM ̲T̲A̲B̲L̲E̲T̲S̲ (escitalopram (oxalate d'escitalopram) 10 mg comprimé oral) S̲T̲R̲I̲D̲E̲S̲ ̲P̲H̲A̲R̲M̲A̲ ̲C̲A̲N̲A̲D̲A̲ INC"""
