ccdd	top250name	dpd_ingredient	ing_stem	hydrate	ntp_ing
		17-Jul-17	"42,933"	FALSE	17-Jul-17
		ABACAVIR (ABACAVIR SULFATE)	ABACAVIR	FALSE	ABACAVIR (ABACAVIR SULFATE)
		ABATACEPT	ABATACEPT	FALSE	ABATACEPT
		ABCIXIMAB	ABCIXIMAB	FALSE	ABCIXIMAB
		Abiraterone acetate	Abiraterone acetate	FALSE	Abiraterone acetate
		AbobotulinumtoxinA	AbobotulinumtoxinA	FALSE	AbobotulinumtoxinA
		ACAMPROSATE CALCIUM	ACAMPROSATE CALCIUM	FALSE	ACAMPROSATE CALCIUM
		ACARBOSE	ACARBOSE	FALSE	ACARBOSE
Y	ACEBUTOLOL	ACEBUTOLOL (ACEBUTOLOL HYDROCHLORIDE)	ACEBUTOLOL	FALSE	ACEBUTOLOL (ACEBUTOLOL HYDROCHLORIDE)
		ACENOCOUMAROL	ACENOCOUMAROL	FALSE	ACENOCOUMAROL
Y	ACETAMINOPHEN	ACETAMINOPHEN	ACETAMINOPHEN	FALSE	ACETAMINOPHEN
		ACETAZOLAMIDE	ACETAZOLAMIDE	FALSE	ACETAZOLAMIDE
		ACETAZOLAMIDE (ACETAZOLAMIDE SODIUM)	ACETAZOLAMIDE	FALSE	ACETAZOLAMIDE (ACETAZOLAMIDE SODIUM)
		ACETIC ACID	ACETIC ACID	FALSE	ACETIC ACID
		ACETYLCHOLINE CHLORIDE	ACETYLCHOLINE CHLORIDE	FALSE	ACETYLCHOLINE CHLORIDE
		ACETYLCYSTEINE	ACETYLCYSTEINE	FALSE	ACETYLCYSTEINE
		ACETYLSALICYLIC ACID	ACETYLSALICYLIC ACID	FALSE	ACETYLSALICYLIC ACID
		Aclidinium bromide	Aclidinium bromide	FALSE	Aclidinium bromide
Y	ACYCLOVIR	ACYCLOVIR	ACYCLOVIR	FALSE	ACYCLOVIR
Y	ACYCLOVIR	ACYCLOVIR (ACYCLOVIR SODIUM)	ACYCLOVIR	FALSE	ACYCLOVIR (ACYCLOVIR SODIUM)
		ADALIMUMAB	ADALIMUMAB	FALSE	ADALIMUMAB
		ADAPALENE	ADAPALENE	FALSE	ADAPALENE
		ADEFOVIR DIPIVOXIL	ADEFOVIR DIPIVOXIL	FALSE	ADEFOVIR DIPIVOXIL
		ADENINE	ADENINE	FALSE	ADENINE
		ADENOSINE	ADENOSINE	FALSE	ADENOSINE
		Afatinib (Afatinib Dimaleate)	Afatinib (Afatinib Dimaleate)	FALSE	Afatinib (Afatinib Dimaleate)
		Aflibercept	Aflibercept	FALSE	Aflibercept
		AGALSIDASE ALFA	AGALSIDASE ALFA	FALSE	AGALSIDASE ALFA
		AGALSIDASE BETA	AGALSIDASE BETA	FALSE	AGALSIDASE BETA
		AIR	AIR	FALSE	AIR
		ALANINE	ALANINE	FALSE	ALANINE
		ALBUMIN	ALBUMIN	FALSE	ALBUMIN
		ALBUMIN (HUMAN)	ALBUMIN (HUMAN)	FALSE	ALBUMIN (HUMAN)
		ALCOHOL ANHYDROUS	ALCOHOL ANHYDROUS	FALSE	ALCOHOL ANHYDROUS
		ALDESLEUKIN	ALDESLEUKIN	FALSE	ALDESLEUKIN
		ALECTINIB (ALECTINIB HYDROCHLORIDE)	ALECTINIB (ALECTINIB HYDROCHLORIDE)	FALSE	ALECTINIB (ALECTINIB HYDROCHLORIDE)
		ALEMTUZUMAB	ALEMTUZUMAB	FALSE	ALEMTUZUMAB
Y	ALENDRONATE	ALENDRONIC ACID (ALENDRONATE SODIUM TRIHYDRATE)	ALENDRONIC ACID	TRUE	ALENDRONIC ACID (ALENDRONATE SODIUM)
Y	ALENDRONATE	ALENDRONIC ACID (ALENDRONATE SODIUM)	ALENDRONIC ACID	FALSE	ALENDRONIC ACID (ALENDRONATE SODIUM)
		ALFACALCIDOL	ALFACALCIDOL	FALSE	ALFACALCIDOL
		ALFENTANIL (ALFENTANIL HYDROCHLORIDE)	ALFENTANIL (ALFENTANIL HYDROCHLORIDE)	FALSE	ALFENTANIL (ALFENTANIL HYDROCHLORIDE)
Y	ALFUZOSIN	ALFUZOSIN HYDROCHLORIDE	ALFUZOSIN	FALSE	ALFUZOSIN HYDROCHLORIDE
		ALGLUCOSIDASE ALFA	ALGLUCOSIDASE ALFA	FALSE	ALGLUCOSIDASE ALFA
		ALIROCUMAB	ALIROCUMAB	FALSE	ALIROCUMAB
		ALISKIREN (ALISKIREN FUMARATE)	ALISKIREN (ALISKIREN FUMARATE)	FALSE	ALISKIREN (ALISKIREN FUMARATE)
		ALITRETINOIN	ALITRETINOIN	FALSE	ALITRETINOIN
		ALLANTOIN	ALLANTOIN	FALSE	ALLANTOIN
		ALLERGEN EXTRACT - ALUM PRECIPITATED	ALLERGEN EXTRACT - ALUM PRECIPITATED	FALSE	ALLERGEN EXTRACT - ALUM PRECIPITATED
		ALLERGEN EXTRACT - DIAGNOSTIC	ALLERGEN EXTRACT - DIAGNOSTIC	FALSE	ALLERGEN EXTRACT - DIAGNOSTIC
		ALLERGENIC EXTRACT NON-POLLEN	ALLERGENIC EXTRACT NON-POLLEN	FALSE	ALLERGENIC EXTRACT NON-POLLEN
		ALLERGENIC EXTRACTS	ALLERGENIC EXTRACTS	FALSE	ALLERGENIC EXTRACTS
		ALLERGENIC EXTRACTS POLLENS	ALLERGENIC EXTRACTS POLLENS	FALSE	ALLERGENIC EXTRACTS POLLENS
Y	ALLOPURINOL	ALLOPURINOL	ALLOPURINOL	FALSE	ALLOPURINOL
		ALMOTRIPTAN (ALMOTRIPTAN MALATE)	ALMOTRIPTAN (ALMOTRIPTAN MALATE)	FALSE	ALMOTRIPTAN (ALMOTRIPTAN MALATE)
		ALOE	ALOE	FALSE	ALOE
		Alogliptin (Alogliptin benzoate)	Alogliptin (Alogliptin benzoate)	FALSE	Alogliptin (Alogliptin benzoate)
		ALPHA 1-PROTEINASE INHIBITOR (HUMAN)	ALPHA 1-PROTEINASE INHIBITOR (HUMAN)	FALSE	ALPHA 1-PROTEINASE INHIBITOR (HUMAN)
Y	ALPRAZOLAM	ALPRAZOLAM	ALPRAZOLAM	FALSE	ALPRAZOLAM
		ALPROSTADIL	ALPROSTADIL	FALSE	ALPROSTADIL
		ALTEPLASE	ALTEPLASE	FALSE	ALTEPLASE
		ALUMINUM CHLORIDE	ALUMINUM CHLORIDE	FALSE	ALUMINUM CHLORIDE
		ALUMINUM CHLOROHYDRATE	ALUMINUM CHLOROHYDRATE	TRUE	ALUMINUM CHLOROHYDRATE
		ALUMINUM HYDROXIDE	ALUMINUM HYDROXIDE	FALSE	ALUMINUM HYDROXIDE
