CCDD Flag,Top 250 Ingred - no multiples,DPD Medicinal Ingredient (E),Ingredient Stem,Ref / Comments
,,ABACAVIR (ABACAVIR SULFATE),ABACAVIR,
,,ABATACEPT,ABATACEPT,
,,ABCIXIMAB,ABCIXIMAB,
,,ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,
,,ACARBOSE,ACARBOSE,
Y,ACEBUTOLOL,ACEBUTOLOL (ACEBUTOLOL HYDROCHLORIDE),ACEBUTOLOL,
,,ACENOCOUMAROL,ACENOCOUMAROL,
Y,ACETAMINOPHEN,ACETAMINOPHEN,ACETAMINOPHEN,
,,ACETAZOLAMIDE,ACETAZOLAMIDE,
,,ACETAZOLAMIDE (ACETAZOLAMIDE SODIUM),ACETAZOLAMIDE,
,,ACETIC ACID,ACETIC ACID,
,,ACETYLCHOLINE CHLORIDE,ACETYLCHOLINE CHLORIDE,
,,ACETYLCYSTEINE,ACETYLCYSTEINE,
,,ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,
Y,ACYCLOVIR,ACYCLOVIR,ACYCLOVIR,
Y,ACYCLOVIR,ACYCLOVIR (ACYCLOVIR SODIUM),ACYCLOVIR,
,,ADALIMUMAB,ADALIMUMAB,
,,ADAPALENE,ADAPALENE,
,,ADEFOVIR DIPIVOXIL,ADEFOVIR DIPIVOXIL,
,,ADENINE,ADENINE,
,,ADENOSINE,ADENOSINE,
,,AGALSIDASE ALFA,AGALSIDASE ALFA,
,,AGALSIDASE BETA,AGALSIDASE BETA,
,,AIR,AIR,
,,ALANINE,ALANINE,
,,ALBUMIN,ALBUMIN,
,,ALBUMIN (HUMAN),ALBUMIN (HUMAN),
,,ALCOHOL ANHYDROUS,ALCOHOL ANHYDROUS,
,,ALDESLEUKIN,ALDESLEUKIN,
,,ALECTINIB (ALECTINIB HYDROCHLORIDE),ALECTINIB (ALECTINIB HYDROCHLORIDE),
,,ALEMTUZUMAB,ALEMTUZUMAB,
Y,ALENDRONATE,ALENDRONIC ACID (ALENDRONATE SODIUM TRIHYDRATE),ALENDRONIC ACID,why is alendronic acid is the preferred name?? It is INN Name
Y,ALENDRONATE,ALENDRONIC ACID (ALENDRONATE SODIUM),ALENDRONIC ACID ,
,,ALFACALCIDOL,ALFACALCIDOL,
,,ALFENTANIL (ALFENTANIL HYDROCHLORIDE),ALFENTANIL (ALFENTANIL HYDROCHLORIDE),
Y,ALFUZOSIN,ALFUZOSIN HYDROCHLORIDE,ALFUZOSIN ,
,,ALGLUCOSIDASE ALFA,ALGLUCOSIDASE ALFA,
,,ALIROCUMAB,ALIROCUMAB,
,,ALISKIREN (ALISKIREN FUMARATE),ALISKIREN (ALISKIREN FUMARATE),
,,ALITRETINOIN,ALITRETINOIN,
,,ALLANTOIN,ALLANTOIN,
,,ALLERGEN EXTRACT - ALUM PRECIPITATED,ALLERGEN EXTRACT - ALUM PRECIPITATED,
,,ALLERGEN EXTRACT - DIAGNOSTIC,ALLERGEN EXTRACT - DIAGNOSTIC,
,,ALLERGENIC EXTRACT NON-POLLEN,ALLERGENIC EXTRACT NON-POLLEN,
,,ALLERGENIC EXTRACTS,ALLERGENIC EXTRACTS,
,,ALLERGENIC EXTRACTS POLLENS,ALLERGENIC EXTRACTS POLLENS,
Y,ALLOPURINOL,ALLOPURINOL,ALLOPURINOL,
,,ALMOTRIPTAN (ALMOTRIPTAN MALATE),ALMOTRIPTAN (ALMOTRIPTAN MALATE),
,,ALOE,ALOE,
,,ALPHA 1-PROTEINASE INHIBITOR (HUMAN),ALPHA 1-PROTEINASE INHIBITOR (HUMAN),
Y,ALPRAZOLAM,ALPRAZOLAM,ALPRAZOLAM,
,,ALPROSTADIL,ALPROSTADIL,
,,ALTEPLASE,ALTEPLASE,
,,ALUMINUM CHLORIDE,ALUMINUM CHLORIDE,
,,ALUMINUM CHLOROHYDRATE,ALUMINUM CHLOROHYDRATE,
,,ALUMINUM HYDROXIDE,ALUMINUM HYDROXIDE,
,,ALUMINUM HYDROXIDE (DRIED ALUMINUM HYDROXIDE GEL),ALUMINUM HYDROXIDE (DRIED ALUMINUM HYDROXIDE GEL),
,,ALUMINUM HYDROXIDE-MAGNESIUM CARBONATE-CO DRIED GEL,ALUMINUM HYDROXIDE-MAGNESIUM CARBONATE-CO DRIED GEL,
,,AMANTADINE HYDROCHLORIDE,AMANTADINE HYDROCHLORIDE,
,,AMBRISENTAN,AMBRISENTAN,
,,AMCINONIDE,AMCINONIDE,
,,AMIKACIN (AMIKACIN SULFATE),AMIKACIN (AMIKACIN SULFATE),
,,AMILORIDE HYDROCHLORIDE,AMILORIDE HYDROCHLORIDE,
,,AMINOLEVULINIC ACID HYDROCHLORIDE,AMINOLEVULINIC ACID HYDROCHLORIDE,
,,AMINOPHYLLINE,AMINOPHYLLINE,
Y,AMIODARONE,AMIODARONE HYDROCHLORIDE,AMIODARONE,
Y,AMITRIPTYLINE,AMITRIPTYLINE HYDROCHLORIDE,AMITRIPTYLINE ,
Y,AMLODIPINE,AMLODIPINE (AMLODIPINE BESYLATE),AMLODIPINE ,
Y,AMPHETAMINE,AMPHETAMINE ASPARTATE MONOHYDRATE,AMPHETAMINE,SRS
Y,AMPHETAMINE,AMPHETAMINE SULFATE,AMPHETAMINE,
,,AMMONIUM CHLORIDE,AMMONIUM CHLORIDE,
Y,AMOXICILLIN,AMOXICILLIN,AMOXICILLIN,
Y,AMOXICILLIN,AMOXICILLIN (AMOXICILLIN TRIHYDRATE),AMOXICILLIN (AMOXICILLIN TRIHYDRATE),
,,AMPHOTERICIN B,AMPHOTERICIN B,
,,AMPICILLIN,AMPICILLIN,
,,AMPICILLIN (AMPICILLIN SODIUM),AMPICILLIN (AMPICILLIN SODIUM),
,,AMSACRINE,AMSACRINE,
,,AMYLASE,AMYLASE,
,,AMYLMETACRESOL,AMYLMETACRESOL,
,,ANAGRELIDE (ANAGRELIDE HYDROCHLORIDE MONOHYDRATE),ANAGRELIDE (ANAGRELIDE HYDROCHLORIDE MONOHYDRATE),
,,ANAGRELIDE (ANAGRELIDE HYDROCHLORIDE),ANAGRELIDE (ANAGRELIDE HYDROCHLORIDE),
,,ANAKINRA,ANAKINRA,
,,ANASTROZOLE,ANASTROZOLE,
,,ANETHOLE TRITHIONE,ANETHOLE TRITHIONE,
,,ANIDULAFUNGIN,ANIDULAFUNGIN,
,,ANTAZOLINE PHOSPHATE,ANTAZOLINE PHOSPHATE,
,,ANTI-INHIBITOR COAGULANT COMPLEX,ANTI-INHIBITOR COAGULANT COMPLEX,
,,ANTI-THYMOCYTE GLOBULIN (RABBIT),ANTI-THYMOCYTE GLOBULIN (RABBIT),
,,ANTIHEMOPHILIC FACTOR (HUMAN),ANTIHEMOPHILIC FACTOR (HUMAN),
,,ANTIHEMOPHILIC FACTOR (RECOMBINANT),ANTIHEMOPHILIC FACTOR (RECOMBINANT),
,,ANTIHEMOPHILIC FACTOR (RECOMBINANT) PORCINE SEQUENCE,ANTIHEMOPHILIC FACTOR (RECOMBINANT) PORCINE SEQUENCE,
,,ANTIPYRINE,ANTIPYRINE,
,,ANTITHROMBIN III (HUMAN),ANTITHROMBIN III (HUMAN),
,,APIS MELLIFERA VENOM PROTEIN EXTRACT,APIS MELLIFERA VENOM PROTEIN EXTRACT,
,,APRACLONIDINE (APRACLONIDINE HYDROCHLORIDE),APRACLONIDINE (APRACLONIDINE HYDROCHLORIDE),
,,APREMILAST,APREMILAST,
,,APREPITANT,APREPITANT,
,,APROTININ (BOVINE),APROTININ (BOVINE),
,,ARGININE,ARGININE,
,,ARGININE HYDROCHLORIDE,ARGININE HYDROCHLORIDE,
Y,ARIPIPRAZOLE,ARIPIPRAZOLE,ARIPIPRAZOLE,
,,ARSENIC TRIOXIDE,ARSENIC TRIOXIDE,
,,ARTICAINE HYDROCHLORIDE,ARTICAINE HYDROCHLORIDE,
,,ASFOTASE ALFA,ASFOTASE ALFA,
,,ASUNAPREVIR,ASUNAPREVIR,
,,ATAZANAVIR (ATAZANAVIR SULFATE),ATAZANAVIR (ATAZANAVIR SULFATE),
Y,ATENOLOL,ATENOLOL,ATENOLOL,
,,ATEZOLIZUMAB,ATEZOLIZUMAB,
Y,ATOMOXETINE,ATOMOXETINE (ATOMOXETINE HYDROCHLORIDE),ATOMOXETINE,
Y,ATORVASTATIN,ATORVASTATIN (ATORVASTATIN CALCIUM PROPYLENE GLYCOL SOLVATE),ATORVASTATIN ,
Y,ATORVASTATIN,ATORVASTATIN (ATORVASTATIN CALCIUM),ATORVASTATIN ,
,,ATOVAQUONE,ATOVAQUONE,
,,ATRACURIUM BESYLATE,ATRACURIUM BESYLATE,
,,ATROPINE SULFATE,ATROPINE SULFATE,
,,AURANOFIN,AURANOFIN,
,,AVOBENZONE,AVOBENZONE,
,,AZACITIDINE,AZACITIDINE,
Y,AZATHIOPRINE,AZATHIOPRINE,AZATHIOPRINE,
,,AZELAIC ACID,AZELAIC ACID,
Y,AZITHROMYCIN,AZITHROMYCIN,AZITHROMYCIN,
Y,AZITHROMYCIN,AZITHROMYCIN (AZITHROMYCIN DIHYDRATE),AZITHROMYCIN,SRS
Y,AZITHROMYCIN,AZITHROMYCIN (AZITHROMYCIN HYDROGEN CITRATE),AZITHROMYCIN,SRS
Y,AZITHROMYCIN,AZITHROMYCIN (AZITHROMYCIN ISOPROPANOLATE MONOHYDRATE),AZITHROMYCIN,SRS
Y,AZITHROMYCIN,AZITHROMYCIN (AZITHROMYCIN MONOHYDRATE HEMIETHANOLATE),AZITHROMYCIN,SRS
Y,AZITHROMYCIN,AZITHROMYCIN (AZITHROMYCIN MONOHYDRATE),AZITHROMYCIN,SRS
,,AZTREONAM,AZTREONAM,
,,Abiraterone acetate,Abiraterone acetate,
,,AbobotulinumtoxinA,AbobotulinumtoxinA,
,,Aclidinium bromide,Aclidinium bromide,
,,Afatinib (Afatinib Dimaleate),Afatinib (Afatinib Dimaleate),
,,Aflibercept,Aflibercept,
,,Alogliptin (Alogliptin benzoate),Alogliptin (Alogliptin benzoate),
,,Apixaban,Apixaban,
,,Asenapine (Asenapine maleate),Asenapine (Asenapine maleate),
,,Axitinib,Axitinib,
,,Azilsartan Medoxomil (Azilsartan Medoxomil Potassium),Azilsartan Medoxomil (Azilsartan Medoxomil Potassium),
,,BACILLUS CALMETTE-GUERIN (BCG) STRAIN TICE,BACILLUS CALMETTE-GUERIN (BCG) STRAIN TICE,
,,BACILLUS CALMETTE-GUERIN (BCG) SUBSTRAIN CONNAUGHT,BACILLUS CALMETTE-GUERIN (BCG) SUBSTRAIN CONNAUGHT,
,,BACITRACIN,BACITRACIN,
,,BACITRACIN (BACITRACIN ZINC),BACITRACIN (BACITRACIN ZINC),
,,BACITRACIN ZINC,BACITRACIN ZINC,
Y,BACLOFEN,BACLOFEN,BACLOFEN,
,,BASILIXIMAB,BASILIXIMAB,
,,BAZEDOXIFENE (BAZEDOXIFENE ACETATE),BAZEDOXIFENE (BAZEDOXIFENE ACETATE),
Y,BECLOMETHASONE,BECLOMETHASONE DIPROPIONATE,BECLOMETHASONE,
,,BELIMUMAB,BELIMUMAB,
,,BELLADONNA,BELLADONNA,
,,BEMOTRIZINOL,BEMOTRIZINOL,
,,BENAZEPRIL HYDROCHLORIDE,BENAZEPRIL HYDROCHLORIDE,
,,BENDAMUSTINE HYDROCHLORIDE,BENDAMUSTINE HYDROCHLORIDE,
,,BENOXINATE HYDROCHLORIDE,BENOXINATE HYDROCHLORIDE,
,,BENSERAZIDE (BENSERAZIDE HYDROCHLORIDE),BENSERAZIDE (BENSERAZIDE HYDROCHLORIDE),
Y,BENZALKONIUM,BENZALKONIUM CHLORIDE,BENZALKONIUM,
,,BENZETHONIUM CHLORIDE,BENZETHONIUM CHLORIDE,
,,BENZOCAINE,BENZOCAINE,
,,BENZOIN,BENZOIN,
Y,BENZOYL PEROXIDE,BENZOYL PEROXIDE,BENZOYL PEROXIDE,
Y,BENZTROPINE,BENZTROPINE MESYLATE,BENZTROPINE,
,,BENZYDAMINE HYDROCHLORIDE,BENZYDAMINE HYDROCHLORIDE,
,,BENZYLPENICILLOYL-POLYLYSINE,BENZYLPENICILLOYL-POLYLYSINE,
,,BEPOTASTINE BESILATE,BEPOTASTINE BESILATE,
,,BERACTANT,BERACTANT,
,,BESIFLOXACIN,BESIFLOXACIN,
,,BETA-CAROTENE,BETA-CAROTENE,
Y,BETAHISTINE,BETAHISTINE HYDROCHLORIDE,BETAHISTINE,
,,BETAINE,BETAINE,
Y,BETAMETHASONE,BETAMETHASONE (BETAMETHASONE 21-DISODIUM PHOSPHATE),BETAMETHASONE ,SRS
Y,BETAMETHASONE,BETAMETHASONE (BETAMETHASONE DIPROPIONATE),BETAMETHASONE ,SRS
Y,BETAMETHASONE,BETAMETHASONE (BETAMETHASONE SODIUM PHOSPHATE),BETAMETHASONE ,SRS
Y,BETAMETHASONE,BETAMETHASONE (BETAMETHASONE VALERATE),BETAMETHASONE ,SRS
Y,BETAMETHASONE,BETAMETHASONE ACETATE,BETAMETHASONE ,SRS
Y,BETAMETHASONE,BETAMETHASONE DIPROPIONATE,BETAMETHASONE ,SRS
Y,BETAMETHASONE,BETAMETHASONE VALERATE,BETAMETHASONE ,SRS
