drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"104254","65","SUBCUTANEOUS","ADDED","02553627"
"104302","56","ORAL","ADDED","02554143"
"104282","56","ORAL","ADDED","02553929"
"104290","93","DISINFECTANT (Domestic)","ADDED","02554046"
"104234","56","ORAL","ADDED","02553406"
"104300","56","ORAL","ADDED","02554127"
"104287","56","ORAL","ADDED","02553988"
"104310","56","ORAL","ADDED","02554232"
"104274","55","OPHTHALMIC","ADDED","02553848"
"104301","56","ORAL","ADDED","02554135"
"104267","56","ORAL","ADDED","02553767"
"104289","80","INTRAVITREAL","ADDED","02554003"
"104290","94","DISINFECTANT (Institutional/Industrial)","ADDED","02554046"
"104290","8","DISINFECTANT (Food Premises)","ADDED","02554046"
"104265","56","ORAL","ADDED","02553740"
"104278","56","ORAL","ADDED","02553880"
"104303","49","INTRAVENOUS","ADDED","02554151"
"104266","56","ORAL","ADDED","02553759"
"104304","49","INTRAVENOUS","ADDED","02554186"
"104281","56","ORAL","ADDED","02553910"
"104295","74","VAGINAL","ADDED","02554070"
"104297","56","ORAL","ADDED","02554097"
"104291","56","ORAL","ADDED","02554011"
"104283","56","ORAL","ADDED","02553937"
"104290","2","DISINFECTANT (Barn)","ADDED","02554046"
"104269","49","INTRAVENOUS","ADDED","02553783"
"104275","22","INTRAMUSCULAR","ADDED","02553856"
"104264","56","ORAL","ADDED","02553724"
"104296","56","ORAL","ADDED","02554089"
"104312","56","ORAL","ADDED","02554259"
"104290","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02554046"
"104272","65","SUBCUTANEOUS","ADDED","02553813"
"104268","56","ORAL","ADDED","02553775"
"104271","65","SUBCUTANEOUS","ADDED","02553805"
"104311","56","ORAL","ADDED","02554240"
"104253","65","SUBCUTANEOUS","ADDED","02553619"
"104299","56","ORAL","ADDED","02554119"
"104284","65","SUBCUTANEOUS","ADDED","02553945"
"104270","49","INTRAVENOUS","ADDED","02553791"
"104313","56","ORAL","ADDED","02554267"
"104273","56","ORAL","ADDED","02553821"
"104277","56","ORAL","ADDED","02553872"
