drug_code,active_ingredient_code,status,extract,ingredient,strength,strength_unit,drug_identification_number
"12492","309","Changed","inactive","IRON (FERROUS SUCCINATE)","2.5","MG","00879851"
"104269","20792","ADDED","approved","CABAZITAXEL","45","MG","02553783"
"104270","20792","ADDED","approved","CABAZITAXEL","60","MG","02553791"
"104295","24046","ADDED","approved","SEGESTERONE ACETATE","103","MG","02554070"
"104274","11163","ADDED","approved","TIMOLOL (TIMOLOL MALEATE)","5","MG","02553848"
"104290","7128","ADDED","approved","HYDROGEN PEROXIDE","7.9","%","02554046"
"104312","1218","ADDED","approved","BISOPROLOL FUMARATE","2.5","MG","02554259"
"104289","23736","ADDED","approved","FARICIMAB","6","MG","02554003"
"104273","270","ADDED","approved","ACETAMINOPHEN","1000","MG","02553821"
"104301","1960","ADDED","approved","INDAPAMIDE","2.5","MG","02554135"
"104254","23699","ADDED","approved","BIMEKIZUMAB","320","MG","02553627"
"104287","22274","ADDED","approved","TOFACITINIB (TOFACITINIB CITRATE)","11","MG","02553988"
"104271","13365","ADDED","approved","OMALIZUMAB","75","MG","02553805"
"104301","232","ADDED","approved","PERINDOPRIL ERBUMINE","8","MG","02554135"
"104273","10247","ADDED","approved","DEXTROMETHORPHAN HYDROBROMIDE","30","MG","02553821"
"104299","1960","ADDED","approved","INDAPAMIDE","0.625","MG","02554119"
"104299","232","ADDED","approved","PERINDOPRIL ERBUMINE","2","MG","02554119"
"12298","309","Changed","inactive","IRON (IRON GLUTARATE)",".5","MG","01901117"
"176","5325","Changed","inactive","LEVOTHYROXINE SODIUM","0.05","MG","00012289"
"104302","10259","ADDED","approved","CHLORPHENIRAMINE MALEATE","2","MG","02554143"
"104295","7426","ADDED","approved","ETHINYL ESTRADIOL","17.4","MG","02554070"
"104266","11784","ADDED","approved","MONTELUKAST (MONTELUKAST SODIUM)","4","MG","02553759"
"104291","10259","ADDED","approved","CHLORPHENIRAMINE MALEATE","2","MG","02554011"
"104268","10247","ADDED","approved","DEXTROMETHORPHAN HYDROBROMIDE","20","MG","02553775"
"104275","11320","ADDED","approved","CARBOPROST (CARBOPROST TROMETHAMINE)","250","MCG","02553856"
"104283","20179","ADDED","approved","SITAGLIPTIN (SITAGLIPTIN PHOSPHATE)","100","MG","02553937"
"104272","13365","ADDED","approved","OMALIZUMAB","150","MG","02553813"
"104310","10247","ADDED","approved","DEXTROMETHORPHAN HYDROBROMIDE","20","MG","02554232"
"104277","270","ADDED","approved","ACETAMINOPHEN","1000","MG","02553872"
"104281","20179","ADDED","approved","SITAGLIPTIN (SITAGLIPTIN PHOSPHATE)","25","MG","02553910"
"104277","10247","ADDED","approved","DEXTROMETHORPHAN HYDROBROMIDE","30","MG","02553872"
"104310","270","ADDED","approved","ACETAMINOPHEN","650","MG","02554232"
"104268","270","ADDED","approved","ACETAMINOPHEN","650","MG","02553775"
"104291","270","ADDED","approved","ACETAMINOPHEN","500","MG","02554011"
"104302","270","ADDED","approved","ACETAMINOPHEN","500","MG","02554143"
"104291","265","ADDED","approved","MENTHOL","20","MG","02554011"
"104291","10247","ADDED","approved","DEXTROMETHORPHAN HYDROBROMIDE","10","MG","02554011"
"104234","1204","ADDED","approved","FLUCONAZOLE","150","MG","02553406"
"104274","11458","ADDED","approved","LATANOPROST","50","MCG","02553848"
"104302","10247","ADDED","approved","DEXTROMETHORPHAN HYDROBROMIDE","10","MG","02554143"
"104264","2609","ADDED","approved","IBUPROFEN","100","MG","02553724"
"104303","41","ADDED","approved","MEROPENEM (MEROPENEM TRIHYDRATE)","1","G","02554151"
"104302","265","ADDED","approved","MENTHOL","20","MG","02554143"
"73420","7419","Changed","active","ESTRADIOL","1","MG","02249405"
"22943","4803","Changed","inactive","CALCIUM (CALCIUM CITRATE)","20","MG","01959840"
"104277","10224","ADDED","approved","DOXYLAMINE SUCCINATE","12.5","MG","02553872"
"104304","8493","ADDED","approved","AMPHOTERICIN B","50","MG","02554186"
"104268","10224","ADDED","approved","DOXYLAMINE SUCCINATE","12.5","MG","02553775"
"104296","13310","ADDED","approved","AMBRISENTAN","5","MG","02554089"
"104278","11384","ADDED","approved","TOPIRAMATE","200","MG","02553880"
"104265","5900","ADDED","approved","METHOTREXATE","10","MG","02553740"
"104267","11784","ADDED","approved","MONTELUKAST (MONTELUKAST SODIUM)","5","MG","02553767"
"12313","331","Changed","inactive","ZINC (ZINC SUCCINATE)",".5","MG","00849871"
"12305","331","Changed","inactive","ZINC (ZINC GLUTARATE)",".5","MG","01900625"
"104303","24047","ADDED","approved","VABORBACTAM","1","G","02554151"
"104311","1218","ADDED","approved","BISOPROLOL FUMARATE","1.25","MG","02554240"
"104300","1960","ADDED","approved","INDAPAMIDE","1.25","MG","02554127"
"104253","23699","ADDED","approved","BIMEKIZUMAB","320","MG","02553619"
"104300","232","ADDED","approved","PERINDOPRIL ERBUMINE","4","MG","02554127"
"104291","9615","ADDED","approved","GUAIFENESIN","100","MG","02554011"
"104282","20179","ADDED","approved","SITAGLIPTIN (SITAGLIPTIN PHOSPHATE)","50","MG","02553929"
"104284","12313","ADDED","approved","PEGFILGRASTIM","10","MG","02553945"
"104297","13310","ADDED","approved","AMBRISENTAN","10","MG","02554097"
"104290","197","ADDED","approved","BENZALKONIUM CHLORIDE","3.2","%","02554046"
"104313","23569","ADDED","approved","ZANUBRUTINIB","160","MG","02554267"
