mp_code,mp_fr_description,ntp_fr_description,tm_fr_description,changes
"00013609","GRAVOL SUPPOSITORIES (dimenhydrinate 100 mg suppositoire) CHURCH & DWIGHT CANADA CORP","dimenhydrinate 100 mg suppositoire","dimenhydrinate","mp_fr_description: ""GRAVOL COMFORT SHAPED SUPPOSITORIES (dimenhydrinate 100 mg suppositoire) CHURCH & DWIGHT CANADA CORP"" -> ""GRAVOL SUPPOSITORIES (dimenhydrinate 100 mg suppositoire) CHURCH & DWIGHT CANADA CORP"""
"00783595","KIDS GRAVOL SUPPOSITORIES (dimenhydrinate 25 mg suppositoire) CHURCH & DWIGHT CANADA CORP","dimenhydrinate 25 mg suppositoire","dimenhydrinate","mp_fr_description: ""GRAVOL KIDS COMFORT SHAPED SUPPOSITORIES (dimenhydrinate 25 mg suppositoire) CHURCH & DWIGHT CANADA CORP"" -> ""KIDS GRAVOL SUPPOSITORIES (dimenhydrinate 25 mg suppositoire) CHURCH & DWIGHT CANADA CORP"""
"01929313","DRISTAN NASAL MIST (maléate de phéniramine 0,2 % et chlorhydrate de phényléphrine 0,5 % vaporisation nasale) GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.","maléate de phéniramine 0,2 % et chlorhydrate de phényléphrine 0,5 % vaporisation nasale","phéniramine et phényléphrine","mp_fr_description: ""DRISTAN NASAL MIST (maléate de phéniramine 0,2 % et chlorhydrate de phényléphrine 0,5 % vaporisation nasale) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC"" -> ""DRISTAN NASAL MIST (maléate de phéniramine 0,2 % et chlorhydrate de phényléphrine 0,5 % vaporisation nasale) GLAXOSMITHKLINE CONSUMER HEALTHCARE INC."""
"01929372","LONG LASTING DRISTAN NASAL MIST (chlorhydrate d'oxymétazoline 0,05 % vaporisation nasale) GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.","chlorhydrate d'oxymétazoline 0,05 % vaporisation nasale","oxymétazoline","mp_fr_description: ""LONG LASTING DRISTAN NASAL MIST (chlorhydrate d'oxymétazoline 0,05 % vaporisation nasale) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC"" -> ""LONG LASTING DRISTAN NASAL MIST (chlorhydrate d'oxymétazoline 0,05 % vaporisation nasale) GLAXOSMITHKLINE CONSUMER HEALTHCARE INC."""
"01929380","LONG LASTING DRISTAN MENTHOLATED NASAL SPRAY (chlorhydrate d'oxymétazoline 0,05 % vaporisation nasale) GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.","chlorhydrate d'oxymétazoline 0,05 % vaporisation nasale","oxymétazoline","mp_fr_description: ""LONG LASTING DRISTAN MENTHOLATED NASAL SPRAY (chlorhydrate d'oxymétazoline 0,05 % vaporisation nasale) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC"" -> ""LONG LASTING DRISTAN MENTHOLATED NASAL SPRAY (chlorhydrate d'oxymétazoline 0,05 % vaporisation nasale) GLAXOSMITHKLINE CONSUMER HEALTHCARE INC."""
"01930990","ROBAXIN (méthocarbamol 500 mg comprimé oral) GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.","méthocarbamol 500 mg comprimé oral","méthocarbamol","mp_fr_description: ""ROBAXIN (méthocarbamol 500 mg comprimé oral) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC"" -> ""ROBAXIN (méthocarbamol 500 mg comprimé oral) GLAXOSMITHKLINE CONSUMER HEALTHCARE INC."""
"01931024","ROBITUSSIN COUGH CONTROL (bromhydrate de dextrométhorphane 15 mg par 5 mL et guaïfénésine 100 mg par 5 mL sirop) GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.","bromhydrate de dextrométhorphane 15 mg par 5 mL et guaïfénésine 100 mg par 5 mL sirop","dextrométhorphane et guaïfénésine","mp_fr_description: ""ROBITUSSIN COUGH CONTROL (bromhydrate de dextrométhorphane 15 mg par 5 mL et guaïfénésine 100 mg par 5 mL sirop) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC"" -> ""ROBITUSSIN COUGH CONTROL (bromhydrate de dextrométhorphane 15 mg par 5 mL et guaïfénésine 100 mg par 5 mL sirop) GLAXOSMITHKLINE CONSUMER HEALTHCARE INC."""
"01931032","ROBITUSSIN MUCUS & PHLEGM (guaïfénésine 100 mg par 5 mL sirop) GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.","guaïfénésine 100 mg par 5 mL sirop","guaïfénésine","mp_fr_description: ""ROBITUSSIN MUCUS & PHLEGM (guaïfénésine 100 mg par 5 mL sirop) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC"" -> ""ROBITUSSIN MUCUS & PHLEGM (guaïfénésine 100 mg par 5 mL sirop) GLAXOSMITHKLINE CONSUMER HEALTHCARE INC."""
"01932187","ROBAXIN 750 (méthocarbamol 750 mg comprimé oral) GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.","méthocarbamol 750 mg comprimé oral","méthocarbamol","mp_fr_description: ""ROBAXIN 750 (méthocarbamol 750 mg comprimé oral) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC"" -> ""ROBAXIN 750 (méthocarbamol 750 mg comprimé oral) GLAXOSMITHKLINE CONSUMER HEALTHCARE INC."""
"01934767","ROBAXACET-8 (acétaminophène 325 mg et phosphate de codéine 8 mg et méthocarbamol 400 mg comprimé oral) GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.","acétaminophène 325 mg et phosphate de codéine 8 mg et méthocarbamol 400 mg comprimé oral","acétaminophène et codéine et méthocarbamol","mp_fr_description: ""ROBAXACET-8 (acétaminophène 325 mg et phosphate de codéine 8 mg et méthocarbamol 400 mg comprimé oral) PFIZER CONSUMER HEALTHCARE A DIVISION OF PFIZER CANADA ULC"" -> ""ROBAXACET-8 (acétaminophène 325 mg et phosphate de codéine 8 mg et méthocarbamol 400 mg comprimé oral) GLAXOSMITHKLINE CONSUMER HEALTHCARE INC."""
