"mp_code","mp_formal_name","changes","drug_code"
"00001694","XYLOCAINE JELLY 2% SINGLE USE TUBE (lidocaine hydrochloride 2 % mucosal gel) ASPEN PHARMACARE CANADA INC.","ADDED",212
"00001791","XYLOCAINE 1% W EPINEPHRINE 1:100000 (epinephrine (epinephrine bitartrate) 0.2 mg per 20 mL and lidocaine hydrochloride 200 mg per 20 mL solution for injection vial) ASPEN PHARMACARE CANADA INC.","ADDED",589
"00001805","XYLOCAINE 1% W EPINEPHRINE 1:200000 (epinephrine (epinephrine bitartrate) 5 mcg per mL and lidocaine hydrochloride 10 mg per mL solution for injection) ASPEN PHARMACARE CANADA INC.","ADDED",590
"00001937","XYLOCARD (lidocaine hydrochloride 100 mg per 5 mL solution for injection ampoule) ASPEN PHARMACARE CANADA INC.","ADDED",4478
"00001961","XYLOCAINE OINTMENT 5% (lidocaine 5 % cutaneous ointment) ASPEN PHARMACARE CANADA INC.","ADDED",211
"00015741","TAPAZOLE 5MG TABLET (thiamazole 5 mg oral tablet) PALADIN LABS INC","ADDED",9
"00022381","CORTROSYN INJ 0.25MG (tetracosactide 0.25 mg per vial powder for solution for injection) AMPHASTAR PHARMACEUTICALS, INC.","ADDED",1954
"00029149","FUNGIZONE (amphotericin B 50 mg per vial powder for solution for injection) BRISTOL-MYERS SQUIBB CANADA","ADDED",933
"00035076","ALCAINE (proxymetacaine hydrochloride 0.5 % ophthalmic drops) ALCON CANADA INC","ADDED",1172
"00037869","POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE USP (potassium chloride 149 mg per mL solution for injection) PFIZER CANADA ULC","ADDED",2527
"00038016","MANNITOL INJECTION USP (mannitol 20 % solution for injection 500 mL bag) ICU MEDICAL CANADA INC","ADDED",1740
"00038024","MANNITOL INJECTION USP (mannitol 25 % solution for injection 50 mL vial) PFIZER CANADA ULC","ADDED",1181
"00038083","SODIUM BICARBONATE INJECTION USP (sodium bicarbonate 45 mmol per 50 mL solution for injection syringe) PFIZER CANADA ULC","ADDED",3837
"00038202","BACTERIOSTATIC WATER FOR INJECTION USP (water 30 mL per 30 mL solution for injection) PFIZER CANADA ULC","ADDED",117
"00038229","STERILE WATER FOR IRRIGATION USP (water 100 % irrigation solution) ICU MEDICAL CANADA INC","ADDED",229
"00038245","STERILE WATER FOR INJECTION USP (water 100 % solution for injection) ICU MEDICAL CANADA INC","ADDED",1734
"00050520","MINERALE LEGERE HUILE (mineral oil light 100 % liquid) LABORATOIRE ATLAS INC","ADDED",57
"00060410","OSMITROL 10% INJ USP (mannitol 10 % solution for injection 1000 mL bag) BAXTER CORPORATION","ADDED",10517
"00060437","OSMITROL 20% INJ USP (mannitol 20 % solution for injection 500 mL bag) BAXTER CORPORATION","ADDED",10516
"00107875","FLEET ENEMA MINERAL OIL (mineral oil heavy 100 % rectal liquid) C B FLEET COMPANY INC","ADDED",721
"00116815","DIOVOL PLUS SUSPENSION (aluminum hydroxide (dried aluminum hydroxide gel) 165 mg per 5 mL and magnesium hydroxide 200 mg per 5 mL and simethicone 25 mg per 5 mL oral suspension) CHURCH & DWIGHT CANADA CORP","ADDED",187
"00116882","DIOVOL PLUS TABLETS (aluminum hydroxide-magnesium carbonate-co dried gel 300 mg and magnesium hydroxide 100 mg and simethicone 25 mg oral tablet) CHURCH & DWIGHT CANADA CORP","ADDED",188
"00151866","OCTOCAINE HCL 2% EPINEPHRINE 1:100000 (epinephrine (epinephrine bitartrate) 0.01 mg per mL and lidocaine hydrochloride 20 mg per mL solution for injection 1.8 mL cartridge) NOVOCOL PHARMACEUTICAL OF CANADA INC","ADDED",636
"00151874","OCTOCAINE HCL 2% EPINEPHRINE 1:50000 (epinephrine (epinephrine bitartrate) 0.02 mg per mL and lidocaine hydrochloride 20 mg per mL solution for injection 1.8 mL cartridge) NOVOCOL PHARMACEUTICAL OF CANADA INC","ADDED",635
"00236683","CARBOLITH CAP 300MG (lithium carbonate 300 mg oral capsule) VALEANT CANADA LP/VALEANT CANADA S.E.C.","Health_Canada_product_name: ""CARBOLITH CAP 300MG"" -> ""CARBOLITH""
mp_formal_name: ""CARBOLITH CAP 300MG (lithium carbonate 300 mg oral capsule) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""CARBOLITH (lithium carbonate 300 mg oral capsule) VALEANT CANADA LP/VALEANT CANADA S.E.C.""",1327
"00253952","SYNACTHEN DEPOT (tetracosactide (tetracosactide zinc hydroxide) 1 mg per 1 mL suspension for injection ampoule) MALLINCKRODT SPECIALTY PHARMACEUTICALS IRELAND LTD.","ADDED",3725
"00261971","SODIUM BICARBONATE INJECTION USP (sodium bicarbonate 5 mmol per 10 mL solution for injection syringe) PFIZER CANADA ULC","ADDED",8350
"00261998","SODIUM BICARBONATE INJECTION USP (sodium bicarbonate 84 mg per mL solution for injection) PFIZER CANADA ULC","ADDED",1905
"00266507","ADASEPT LIQ 0.5% (triclosan 0.5 % cutaneous liquid) ODAN LABORATORIES LTD","ADDED",1668
"00284106","XYLOCAINE 2% W EPINEPHRINE 1:200000 (epinephrine (epinephrine bitartrate) 5 mcg per mL and lidocaine hydrochloride 20 mg per mL solution for injection) ASPEN PHARMACARE CANADA INC.","ADDED",1830
"00294748","CALCIUM CHLORIDE INJECTION USP (calcium chloride 100 mg per mL solution for injection) PFIZER CANADA ULC","ADDED",4230
"00307246","BLEPHAMIDE OPH ONT (prednisolone acetate 0.2 % and sulfacetamide sodium 10 % ophthalmic ointment) ALLERGAN INC","Health_Canada_product_name: ""BLEPHAMIDE OPH ONT"" -> ""BLEPHAMIDE S.O.P.""
mp_formal_name: ""BLEPHAMIDE OPH ONT (prednisolone acetate 0.2 % and sulfacetamide sodium 10 % ophthalmic ointment) ALLERGAN INC"" -> ""BLEPHAMIDE S.O.P. (prednisolone acetate 0.2 % and sulfacetamide sodium 10 % ophthalmic ointment) ALLERGAN INC""",1971
"00319589","STING STOP 0.1% (benzalkonium chloride 0.1 % cutaneous liquid) CANADIAN CUSTOM PACKAGING COMPANY","ADDED",2171
