tm_code,tm_formal_name,tm_fr_description,changes
"8002357","mRNA-1273 SARS-CoV-2","ARNm-1273 SRAS-CoV-2","ADDED"
"8001857","methylnaltrexone","méthylnaltrexone","tm_status: ""INACTIVE"" -> ""ACTIVE""
tm_status_effective_time: ""20200730"" -> ""20080507"""
"8002359","ripretinib","riprétinib","ADDED"
"8002354","acetaminophen and ibuprofen","acétaminophène et ibuprofène","ADDED"
"8002356","etomidate","étomidate","ADDED"
"8002360","sonidegib","sonidégib","ADDED"
"8001035","acetaminophen and guaifenesin and phenylephrine","acétaminophène et guaïfénésine et phényléphrine","tm_status: ""INACTIVE"" -> ""ACTIVE""
tm_status_effective_time: ""20180727"" -> ""20060831"""
"8000778","hydrocodone and phenyltoloxamine","hydrocodone et phényltoloxamine","tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""19571231"" -> ""20200129"""
"8001659","glycopyrrolate","glycopyrrolate","DELETED"
"8002358","polatuzumab vedotin","polatuzumab védotine","ADDED"
"8002361","tucatinib","tucatinib","ADDED"
"8002355","amifampridine","amifampridine","ADDED"
