"mp_code","mp_formal_name","Health_Canada_identifier","Health_Canada_product_name","Health_Canada_description"
"02171228","SYNTHROID (levothyroxine sodium 112 mcg oral tablet) BGP PHARMA ULC","02171228","SYNTHROID","TAB 112MCG"
"02172070","SYNTHROID (levothyroxine sodium 50 mcg oral tablet) BGP PHARMA ULC","02172070","SYNTHROID","TAB 50MCG"
"02172062","SYNTHROID (levothyroxine sodium 25 mcg oral tablet) BGP PHARMA ULC","02172062","SYNTHROID","TAB 25MCG"
"02172119","SYNTHROID (levothyroxine sodium 125 mcg oral tablet) BGP PHARMA ULC","02172119","SYNTHROID","TAB 125MCG"
"02172089","SYNTHROID (levothyroxine sodium 75 mcg oral tablet) BGP PHARMA ULC","02172089","SYNTHROID","TAB 75MCG"
"02172151","SYNTHROID (levothyroxine sodium 300 mcg oral tablet) BGP PHARMA ULC","02172151","SYNTHROID",""
"02172143","SYNTHROID (levothyroxine sodium 200 mcg oral tablet) BGP PHARMA ULC","02172143","SYNTHROID","TAB 200MCG"
"02172127","SYNTHROID (levothyroxine sodium 150 mcg oral tablet) BGP PHARMA ULC","02172127","SYNTHROID","TAB 150MCG"
"02172097","SYNTHROID (levothyroxine sodium 88 mcg oral tablet) BGP PHARMA ULC","02172097","SYNTHROID","TAB 88MCG"
"02172135","SYNTHROID (levothyroxine sodium 175 mcg oral tablet) BGP PHARMA ULC","02172135","SYNTHROID","TAB 175MCG"
"02172100","SYNTHROID (levothyroxine sodium 100 mcg oral tablet) BGP PHARMA ULC","02172100","SYNTHROID","TAB 100MCG"
"02213192","ELTROXIN (levothyroxine sodium 50 mcg oral tablet) ASPEN PHARMACARE CANADA INC.","02213192","ELTROXIN",""
"02213206","ELTROXIN (levothyroxine sodium 100 mcg oral tablet) ASPEN PHARMACARE CANADA INC.","02213206","ELTROXIN",""
"02213214","ELTROXIN (levothyroxine sodium 150 mcg oral tablet) ASPEN PHARMACARE CANADA INC.","02213214","ELTROXIN",""
"02213222","ELTROXIN (levothyroxine sodium 200 mcg oral tablet) ASPEN PHARMACARE CANADA INC.","02213222","ELTROXIN",""
"02213230","ELTROXIN (levothyroxine sodium 300 mcg oral tablet) ASPEN PHARMACARE CANADA INC.","02213230","ELTROXIN",""
"02233852","SYNTHROID (levothyroxine sodium 137 mcg oral tablet) BGP PHARMA ULC","02233852","SYNTHROID","TAB 137MCG"
"02245948","LEVOTHYROXINE SODIUM FOR INJECTION (levothyroxine sodium 500 mcg per vial powder for solution for injection) FRESENIUS KABI CANADA LTD","02245948","LEVOTHYROXINE SODIUM FOR INJECTION",""
"00022772","DILANTIN (phenytoin sodium 30 mg oral capsule) PFIZER CANADA INC","00022772","DILANTIN",""
"00022780","DILANTIN (phenytoin sodium 100 mg oral capsule) PFIZER CANADA INC","00022780","DILANTIN",""
"700013","PHENYTOIN SODIUM INJECTION USP (phenytoin sodium 100 mg per 2 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED","00780626","PHENYTOIN SODIUM INJECTION USP",""
"700014","PHENYTOIN SODIUM INJECTION USP (phenytoin sodium 250 mg per 5 mL solution for injection ampoule) SANDOZ CANADA INCORPORATED","00780626","PHENYTOIN SODIUM INJECTION USP",""
