tm_code,tm_formal_name,tm_fr_description,changes
8002154,potassium phosphate dibasic and potassium phosphate monobasic,phosphate de potassium dibasique et phosphate de potassium monobasique,ADDED
8002161,sodium bicarbonate,bicarbonate de sodium,ADDED
8001844,magnesium chloride,chlorure de magnésium,ADDED
8001311,cholestyramine,cholestyramine,"tm_status_effective_time: ""19931231"" -> ""19960315"""
8002582,brexucabtagene autoleucel,bréxucabtagène autoleucel,ADDED
8001640,dyclonine,dyclonine,"tm_status_effective_time: ""20190703"" -> ""20260811"""
8002452,cytarabine and daunorubicin,cytarabine et daunorubicine,ADDED
8001668,moclobemide,moclobémide,"tm_status_effective_time: ""19921231"" -> ""19951231"""
8002601,donanemab,donanémab,DELETED
8001757,doxorubicin,doxorubicine,ADDED
8002584,lisocabtagene maraleucel,lisocabtagène maraleucel,ADDED
8001004,benzoyl peroxide and salicylic acid,peroxyde de benzoyle et acide salicylique,ADDED
8001382,fluconazole and miconazole,fluconazole et miconazole,DELETED
8002160,sodium acetate,acétate de sodium,ADDED
8002050,pamabrom,pamabrom,DELETED
8002215,amphotericin B,amphotéricine B,ADDED
8001541,trimeprazine,triméprazine,"tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""19591231"" -> ""20260731"""
8001476,follitropin beta,follitropine bêta,ADDED
8001635,dinoprostone,dinoprostone,"tm_status_effective_time: ""19771231"" -> ""19901231"""
8002069,piperonyl butoxide and pyrethrins,butoxyde de pipéronyle et pyréthrines,"tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""19951231"" -> ""20201016"""
aa4d891cf42af9ed2ef4b0c1b525a604,glycerin,glycérine,ADDED
8002271,methimazole,méthimazole,"tm_status_effective_time: ""19511231"" -> ""20181019"""
8002282,fibrinogen human and thrombin human,fibrinogène humaine et thrombine humaine,ADDED
8001615,chloroxylenol,chloroxylénol,ADDED
8000041,lithium carbonate,carbonate de lithium,"tm_status_effective_time: ""19711231"" -> ""19791231"""
8002278,coagulation factor ii (human) and coagulation factor IX human and coagulation factor vii (human) and coagulation factor x (human) and protein c and protein s,facteur II de coagulation humain et facteur IX de coagulation humain et facteur VII de coagulation humain et facteur X de coagulation humain et protéine c et protéine s,ADDED
8001579,benzethonium,benzéthonium,ADDED
8002581,axicabtagene ciloleucel,axicabtagène ciloleucel,ADDED
33cef27b98c7404d7e7562f44db7916c,acetaminophen and guaifenesin,acétaminophène et guaïfénésine,ADDED
8001976,triclosan,triclosan,ADDED
8002047,paclitaxel,paclitaxel,ADDED
8001870,potassium chloride,chlorure de potassium,ADDED
8001752,dimethicone and zinc oxide,diméthicone et oxyde de zinc,"tm_status: ""INACTIVE"" -> ""ACTIVE""
tm_status_effective_time: ""20260729"" -> ""20090520"""
8000796,benzalkonium,benzalkonium,ADDED
8002600,depemokimab,dépémokimab,DELETED
8001878,sodium iodide,iodure de sodium,ADDED
8002587,tisagenlecleucel,tisagenlecleucel,ADDED
8000912,alcohol anhydrous and chlorhexidine,alcool anhydre et chlorhexidine,ADDED
