"drug_code","drug_identification_number","brand_name_current","brand_name_previous"
36404,"02203375","STERILE LIGHT MINERAL OIL 100%","MINERAL OIL, LIGHT STERILE, OMEGA STD.- 100%"
68609,"02244622","MILRINONE LACTATE INJECTION, USP","MILRINONE LACTATE INJECTION"
74647,"02261057","BALANCE 1.5% GLUCOSE, 1.25 MMOL/L CALCIUM","BALANCE 1.5% GLUCOSE, 1.25MMOL/L CALCIUM"
74648,"02261065","BALANCE 4.25% GLUCOSE, 1.25 MMOL/L CALCIUM","BALANCE 4.25% GLUCOSE, 1.25MMOL/L CALCIUM"
74649,"02261073","BALANCE 2.3% GLUCOSE, 1.25 MMOL/L CALCIUM","BALANCE 2.3% GLUCOSE, 1.25MMOL/L CALCIUM"
77675,"02291371","ROBITUSSIN TOTAL COUGH, COLD & FLU NIGHTTIME EXTRA STRENGTH","ROBITUSSIN TOTAL COUGH, COLD & FLU EXTRA STRENGTH"
79921,"02313707","TARO-ATORVASTATIN","RAN-ATORVASTATIN"
79922,"02313715","TARO-ATORVASTATIN","RAN-ATORVASTATIN"
79923,"02313723","TARO-ATORVASTATIN","RAN-ATORVASTATIN"
79925,"02313758","TARO-ATORVASTATIN","RAN-ATORVASTATIN"
90015,"02415569","GLISTEN DISHWASHER CLEANER","GLISTEN DISHWASHER MAGIC MACHINE CLEANER & DISINFECTANT"
91170,"02427176","SNS-ASA EC","ASA EC"
92234,"02437988","TARO-SOLIFENACIN","RAN-SOLIFENACIN"
92235,"02437996","TARO-SOLIFENACIN","RAN-SOLIFENACIN"
95589,"02467534","PERIOGARD","CHLORHEXIDINE GLUCONATE ORAL RINSE"
96647,"02475804","TARO-BUPROPION XL","RAN-BUPROPION XL"
96648,"02475812","TARO-BUPROPION XL","RAN-BUPROPION XL"
97248,"02481979","SANDOZ METHADONE","METHADONE HYDROCHLORIDE ORAL CONCENTRATE USP"
10519,"00828602","0.4% LIDOCAINE HYDROCHLORIDE AND 5% DEXTROSE INJECTION","LIDOCAINE HCL 0.4% AND 5% DEXTROSE INJ"
74641,"02261022","BALANCE 1.5% GLUCOSE, 1.75 MMOL/L CALCIUM","BALANCE 1.5% GLUCOSE, 1.75MMOL/L CALCIUM"
74645,"02261030","BALANCE 4.25% GLUCOSE, 1.75 MMOL/L CALCIUM","BALANCE 4.25% GLUCOSE, 1.75MMOL/L CALCIUM"
74646,"02261049","BALANCE 2.3% GLUCOSE, 1.75 MMOL/L CALCIUM","BALANCE 2.3% GLUCOSE, 1.75MMOL/L CALCIUM"
