"extract","drug_code","route_of_administration_code","route_of_administration","status","drug_identification_number"
"active",81992,"2","DISINFECTANT (Barn)","ADDED","02334240"
"active",95113,"56","ORAL","ADDED","02463229"
"active",95114,"56","ORAL","ADDED","02463237"
"active",95116,"56","ORAL","ADDED","02463253"
"approved",71599,"93","DISINFECTANT (Domestic)","ADDED","02247354"
"approved",98158,"56","ORAL","ADDED","02491591"
"approved",98159,"56","ORAL","ADDED","02491605"
"approved",98443,"56","ORAL","ADDED","02494418"
"approved",98445,"56","ORAL","ADDED","02494442"
"approved",98451,"29","INHALATION","ADDED","02494507"
"approved",98452,"29","INHALATION","ADDED","02494515"
"approved",98453,"29","INHALATION","ADDED","02494523"
"approved",98455,"49","INTRAVENOUS","ADDED","02494558"
"approved",98456,"70","TOPICAL","ADDED","02494566"
"approved",98457,"49","INTRAVENOUS","ADDED","02494574"
"approved",98458,"49","INTRAVENOUS","ADDED","02494582"
"approved",98458,"65","SUBCUTANEOUS","ADDED","02494582"
"approved",98462,"56","ORAL","ADDED","02494620"
"approved",98463,"56","ORAL","ADDED","02494639"
"approved",98464,"9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02494647"
"approved",98467,"93","DISINFECTANT (Domestic)","ADDED","02494671"
"approved",98468,"56","ORAL","ADDED","02494698"
"approved",98469,"56","ORAL","ADDED","02494701"
"approved",98473,"56","ORAL","ADDED","02494752"
"approved",98474,"49","INTRAVENOUS","ADDED","02494760"
"approved",98475,"49","INTRAVENOUS","ADDED","02494779"
"approved",98482,"56","ORAL","ADDED","02494841"
"approved",98483,"56","ORAL","ADDED","02494868"
"approved",98484,"56","ORAL","ADDED","02494876"
"approved",98485,"56","ORAL","ADDED","02494884"
"approved",98486,"56","ORAL","ADDED","02494892"
"approved",98487,"56","ORAL","ADDED","02494906"
"approved",98489,"93","DISINFECTANT (Domestic)","ADDED","02494914"
"approved",98490,"49","INTRAVENOUS","ADDED","02494922"
"approved",98491,"49","INTRAVENOUS","ADDED","02494930"
"approved",98491,"65","SUBCUTANEOUS","ADDED","02494930"
"approved",98498,"70","TOPICAL","ADDED","02495023"
"approved",98501,"56","ORAL","ADDED","02495066"
"approved",98502,"56","ORAL","ADDED","02495074"
"approved",98503,"56","ORAL","ADDED","02495082"
"approved",98504,"56","ORAL","ADDED","02495090"
"approved",98505,"93","DISINFECTANT (Domestic)","ADDED","02495104"
"approved",98507,"3","BUCCAL","ADDED","02495112"
"approved",98508,"3","BUCCAL","ADDED","02495120"
"approved",98513,"3","BUCCAL","ADDED","02495198"
"approved",98516,"62","RECTAL","ADDED","02495236"
"approved",95115,"56","ORAL","ADDED","02463245"
"approved",97955,"70","TOPICAL","ADDED","02489465"
"approved",97765,"49","INTRAVENOUS","ADDED","02487497"
"approved",97766,"49","INTRAVENOUS","ADDED","02487500"
"approved",98328,"49","INTRAVENOUS","ADDED","02493306"
"approved",98328,"65","SUBCUTANEOUS","ADDED","02493306"
"approved",98349,"56","ORAL","ADDED","02493489"
"approved",98350,"56","ORAL","ADDED","02493497"
"approved",94583,"55","OPHTHALMIC","ADDED","02458691"
