"extract","drug_code","active_ingredient_code","ingredient","strength","strength_unit","status","drug_identification_number"
"active",1667,9766,"SALICYLIC ACID","2","%","ADDED","00266493"
"active",1667,6849,"COAL TAR","5","%","ADDED","00266493"
"active",1667,9766,"SALICYLIC ACID","2.0","%","DELETED","00266493"
"active",1667,6849,"COAL TAR","5.0","%","DELETED","00266493"
"active",74537,197,"BENZALKONIUM CHLORIDE","5","%","ADDED","02260131"
"active",74537,197,"BENZALKONIUM CHLORIDE","5.00","%","DELETED","02260131"
"approved",74641,55,"SODIUM CHLORIDE","5.64","G","ADDED","02261022"
"approved",74641,55,"SODIUM CHLORIDE","5.640","G","DELETED","02261022"
"approved",74645,55,"SODIUM CHLORIDE","5.64","G","ADDED","02261030"
"approved",74645,55,"SODIUM CHLORIDE","5.640","G","DELETED","02261030"
"approved",74646,42,"DEXTROSE","25","G","ADDED","02261049"
"approved",74646,55,"SODIUM CHLORIDE","5.64","G","ADDED","02261049"
"approved",74646,42,"DEXTROSE","25.0","G","DELETED","02261049"
"approved",74646,55,"SODIUM CHLORIDE","5.640","G","DELETED","02261049"
"active",74647,55,"SODIUM CHLORIDE","5.64","G","ADDED","02261057"
"active",74647,55,"SODIUM CHLORIDE","5.640","G","DELETED","02261057"
"active",74648,55,"SODIUM CHLORIDE","5.64","G","ADDED","02261065"
"active",74648,55,"SODIUM CHLORIDE","5.640","G","DELETED","02261065"
"active",74649,55,"SODIUM CHLORIDE","5.64","G","ADDED","02261073"
"active",74649,42,"DEXTROSE","25","G","ADDED","02261073"
"active",74649,55,"SODIUM CHLORIDE","5.640","G","DELETED","02261073"
"active",74649,42,"DEXTROSE","25.0","G","DELETED","02261073"
"inactive",77440,12634,"ENSULIZOLE","2","%","ADDED","02289016"
"inactive",77440,12634,"ENSULIZOLE","2.0","%","DELETED","02289016"
"dormant",89050,144,"LOSARTAN POTASSIUM","25","MG","ADDED","02405733"
"active",89050,144,"LOSARTAN POTASSIUM","25.0","MG","DELETED","02405733"
"approved",89852,42,"DEXTROSE","49.5","G","ADDED","02413876"
"approved",89852,42,"DEXTROSE","49.50","G","DELETED","02413876"
