"drug_code","extract_current","extract_previous","company_name_current","company_name_previous","drug_identification_number"
287,"active","active","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","00016055"
1553,"active","active","SANOFI CONSUMER HEALTH INC SANOFI SANTE GRAND PUBLIC INC","SANOFI-AVENTIS CANADA INC","00254142"
11152,"active","active","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","00443794"
11153,"active","active","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","00443816"
73703,"active","active","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02252147"
74649,"active","active","FRESENIUS MEDICAL CARE CANADA INC","FRESENIUS MEDICAL CARE DEUTCHLAND GMBH","02261073"
79505,"active","approved","JAMP PHARMA CORPORATION","1466406 ONTARIO LTD","02309459"
79922,"active","active","SUN PHARMA CANADA INC","RANBAXY PHARMACEUTICALS CANADA INC.","02313715"
79923,"active","active","SUN PHARMA CANADA INC","RANBAXY PHARMACEUTICALS CANADA INC.","02313723"
80161,"active","active","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY","02316080"
80165,"active","active","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY","02316129"
80236,"active","active","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY","02316862"
80237,"active","active","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY","02316870"
81224,"active","active","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02326914"
81225,"active","active","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02326922"
81238,"active","active","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02327066"
81265,"active","active","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02327333"
81282,"active","active","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02327503"
81283,"active","active","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02327511"
81574,"active","active","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02329980"
81577,"active","active","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02330016"
81592,"active","active","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02330164"
81593,"active","active","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02330172"
81596,"active","active","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02330202"
81598,"active","active","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02330229"
92234,"active","active","SUN PHARMA CANADA INC","RANBAXY PHARMACEUTICALS CANADA INC.","02437988"
93401,"active","active","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY","02448319"
93402,"active","active","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY","02448327"
93965,"active","active","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02453134"
94044,"active","active","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY","02453916"
11151,"dormant","dormant","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","00870021"
11154,"dormant","dormant","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","00870013"
11843,"dormant","dormant","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","00897329"
11844,"dormant","dormant","BAUSCH HEALTH, CANADA INC.","VALEANT CANADA LP/VALEANT CANADA S.E.C.","00897310"
81226,"dormant","dormant","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02326930"
81237,"dormant","dormant","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02327058"
81241,"dormant","dormant","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02327090"
81271,"dormant","dormant","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02327392"
81594,"dormant","dormant","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02330180"
71599,"approved","approved","PROFESSIONAL DISPOSABLES INTERNATIONAL INC.","NICE-PAK PRODUCTS INC","02247354"
74641,"approved","approved","FRESENIUS MEDICAL CARE CANADA INC","FRESENIUS MEDICAL CARE DEUTCHLAND GMBH","02261022"
77993,"approved","approved","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02294567"
78008,"approved","approved","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02294737"
78064,"approved","approved","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02295342"
79682,"approved","approved","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02311232"
79683,"approved","approved","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02311240"
79785,"approved","approved","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02312352"
80769,"approved","approved","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02322226"
80823,"approved","approved","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02322757"
84630,"approved","approved","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02361256"
933,"active","active","CHEPLAPHARM ARZNEIMITTEL GMBH","BRISTOL-MYERS SQUIBB CANADA","00029149"
1555,"active","active","SANOFI CONSUMER HEALTH INC SANOFI SANTE GRAND PUBLIC INC","SANOFI-AVENTIS CANADA INC","00003875"
5963,"active","active","CHEPLAPHARM ARZNEIMITTEL GMBH","BRISTOL-MYERS SQUIBB CANADA","00616192"
74647,"active","active","FRESENIUS MEDICAL CARE CANADA INC","FRESENIUS MEDICAL CARE DEUTCHLAND GMBH","02261057"
74648,"active","active","FRESENIUS MEDICAL CARE CANADA INC","FRESENIUS MEDICAL CARE DEUTCHLAND GMBH","02261065"
79786,"active","active","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02312360"
79921,"active","active","SUN PHARMA CANADA INC","RANBAXY PHARMACEUTICALS CANADA INC.","02313707"
79925,"active","active","SUN PHARMA CANADA INC","RANBAXY PHARMACEUTICALS CANADA INC.","02313758"
80162,"active","active","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY","02316099"
80164,"active","active","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY","02316110"
80234,"active","active","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY","02316846"
80235,"active","active","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY","02316854"
81227,"active","active","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02326949"
81240,"active","active","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02327082"
81262,"active","active","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02327309"
81270,"active","active","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02327384"
81272,"active","active","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02327406"
81275,"active","active","FRESENIUS MEDICAL CARE RENAL THERAPIES GROUP, LLC","FRESENIUS MEDICAL CARE CANADA INC","02327422"
