tm_code,tm_formal_name,tm_fr_description,changes
"1204d809e44e58c5ba21da8566708a96","phenazopyridine","phénazopyridine","ADDED"
"226b96664ab89c8f5818ca0dd1b13f34","phenazopyridine hydrochloride","phénazopyridine","DELETED"
"5efd78f8ee683bd639f6b153835dd456","erdafitinib","erdafitinib","ADDED"
"8000291","moxifloxacin","moxifloxacine","tm_status_effective_time: ""20030624"" -> ""20001020"""
"8000931","trandolapril and verapamil","trandolapril et vérapamil","ADDED"
"8002304","sulfacetamide","sulfacétamide","DELETED"
"8002305","edaravone","édavarone","CHANGED"
"ceaf55e81d1e7681075de9402b1abfe5","neratinib","nératinib","ADDED"
"f3cd8b644db2347538c93994e1613082","mineral oil heavy and urea","huile minérale lourde et urée","ADDED"
"f3eb5febe7a7e71b65107abcad18a52f","edaravone","édavarone","CHANGED"
"f45178103e0c1aafce5857c61e5e43fa","patiromer","patiromer","ADDED"
