drug_code,mp_code,mp_formal_name,changes
441,00030848,DEPO-PROVERA (medroxyprogesterone acetate 250 mg per 5 mL suspension for injection vial) PFIZER CANADA ULC,DELETED
1508,00155365,ADRENALIN TOPICAL SOLUTION (epinephrine (epinephrine hydrochloride) 1 mg per mL cutaneous solution) ERFA CANADA 2012 INC,"ntp_code: ""371204eba5cf458e4901155d916b7662"" -> ""9014635"""
2727,00382752,ACETAMINOPHENE 325TAB (acetaminophen 325 mg oral tablet) PRO DOC LIMITEE,DELETED
2728,00386626,ACETAMINOPHENE 500TAB (acetaminophen 500 mg oral tablet) PRO DOC LIMITEE,DELETED
2851,00397792,PRO-FUROSEMIDE (furosemide 40 mg oral tablet) PRO DOC LIMITEE,"mp_formal_name: ""FUROSEMIDE ̲4̲0̲M̲G̲ (furosemide 40 mg oral tablet) PRO DOC LIMITEE"" -> ""P̲R̲O̲-̲FUROSEMIDE (furosemide 40 mg oral tablet) PRO DOC LIMITEE"""
3809,00496723,PRO-FUROSEMIDE (furosemide 20 mg oral tablet) PRO DOC LIMITEE,"mp_formal_name: ""FUROSEMIDE ̲2̲0̲ ̲T̲A̲B̲ (furosemide 20 mg oral tablet) PRO DOC LIMITEE"" -> ""P̲R̲O̲-̲FUROSEMIDE (furosemide 20 mg oral tablet) PRO DOC LIMITEE"""
7292,00474517,ONE-ALPHA (alfacalcidol 0.25 mcg oral capsule) CHEPLAPHARM ARZNEIMITTEL GMBH,"mp_formal_name: ""ONE-ALPHA (alfacalcidol 0.25 mcg oral capsule) L̲E̲O̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲"" -> ""ONE-ALPHA (alfacalcidol 0.25 mcg oral capsule) C̲H̲E̲P̲L̲A̲P̲H̲A̲R̲M̲ ̲A̲R̲Z̲N̲E̲I̲M̲I̲T̲T̲E̲L̲ ̲G̲M̲B̲H̲"""
7293,00474525,ONE-ALPHA (alfacalcidol 1 mcg oral capsule) CHEPLAPHARM ARZNEIMITTEL GMBH,"mp_formal_name: ""ONE-ALPHA (alfacalcidol 1 mcg oral capsule) L̲E̲O̲ ̲P̲H̲A̲R̲M̲A̲ ̲I̲N̲C̲"" -> ""ONE-ALPHA (alfacalcidol 1 mcg oral capsule) C̲H̲E̲P̲L̲A̲P̲H̲A̲R̲M̲ ̲A̲R̲Z̲N̲E̲I̲M̲I̲T̲T̲E̲L̲ ̲G̲M̲B̲H̲"""
7442,00738824,NOVO-HYDROXYZIN (hydroxyzine hydrochloride 10 mg oral capsule) TEVA CANADA LIMITED,DELETED
7443,00738832,NOVO-HYDROXYZIN (hydroxyzine hydrochloride 25 mg oral capsule) TEVA CANADA LIMITED,DELETED
7444,00738840,NOVO-HYDROXYZIN (hydroxyzine hydrochloride 50 mg oral capsule) TEVA CANADA LIMITED,DELETED
9861,00836362,DDAVP SPRAY (desmopressin acetate 10 mcg per actuation nasal spray) FERRING INC,ADDED
12745,01947931,DUVOID (bethanechol chloride 25 mg oral tablet) PALADIN LABS INC.,"mp_formal_name: ""DUVOID ̲T̲A̲B̲L̲E̲T̲S̲ ̲2̲5̲ ̲M̲G̲ (bethanechol chloride 25 mg oral tablet) PALADIN LABS INC."" -> ""DUVOID (bethanechol chloride 25 mg oral tablet) PALADIN LABS INC."""
