drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"100794","94","DISINFECTANT (Institutional/Industrial)","ADDED","02518635"
"100704","22","INTRAMUSCULAR","ADDED","02517663"
"100021","8","DISINFECTANT (Food Premises)","ADDED","02510960"
"100776","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02518430"
"100039","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02511169"
"100740","65","SUBCUTANEOUS","ADDED","02518074"
"99975","2","DISINFECTANT (Barn)","ADDED","02510529"
"100741","94","DISINFECTANT (Institutional/Industrial)","ADDED","02518082"
"100760","56","ORAL","ADDED","02518287"
"100721","70","TOPICAL","ADDED","02517868"
"100709","104","TOPICAL (HOUSEHOLD)","ADDED","02517736"
"100742","8","DISINFECTANT (Food Premises)","ADDED","02518090"
"99986","94","DISINFECTANT (Institutional/Industrial)","ADDED","02510669"
"100780","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02518481"
"100039","94","DISINFECTANT (Institutional/Industrial)","ADDED","02511169"
"100776","94","DISINFECTANT (Institutional/Industrial)","ADDED","02518430"
"100746","10","INTRA-ARTICULAR","ADDED","02518139"
"100776","8","DISINFECTANT (Food Premises)","ADDED","02518430"
"100702","49","INTRAVENOUS","ADDED","02517647"
"100794","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02518635"
"100746","21","INTRALESIONAL","ADDED","02518139"
"100742","93","DISINFECTANT (Domestic)","ADDED","02518090"
"85263","56","ORAL","ADDED","02367793"
"100731","93","DISINFECTANT (Domestic)","ADDED","02517965"
"100743","2","DISINFECTANT (Barn)","ADDED","02518104"
"100727","8","DISINFECTANT (Food Premises)","ADDED","02517922"
"100685","56","ORAL","ADDED","02517469"
"100740","49","INTRAVENOUS","ADDED","02518074"
"100715","56","ORAL","ADDED","02517795"
"100021","93","DISINFECTANT (Domestic)","ADDED","02510960"
"100732","2","DISINFECTANT (Barn)","ADDED","02517973"
"100752","55","OPHTHALMIC","ADDED","02518201"
"99798","94","DISINFECTANT (Institutional/Industrial)","ADDED","02508621"
"100780","94","DISINFECTANT (Institutional/Industrial)","ADDED","02518481"
"83037","2","DISINFECTANT (Barn)","ADDED","02344904"
"99986","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02510669"
"100745","22","INTRAMUSCULAR","ADDED","02518120"
"100696","49","INTRAVENOUS","ADDED","02517582"
"100742","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02518090"
"100739","65","SUBCUTANEOUS","ADDED","02518066"
"100780","8","DISINFECTANT (Food Premises)","ADDED","02518481"
"100724","2","DISINFECTANT (Barn)","ADDED","02517892"
"100794","93","DISINFECTANT (Domestic)","ADDED","02518635"
"100741","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02518082"
"100727","94","DISINFECTANT (Institutional/Industrial)","ADDED","02517922"
"100246","8","DISINFECTANT (Food Premises)","ADDED","02513242"
"85264","56","ORAL","ADDED","02367807"
"100714","56","ORAL","ADDED","02517787"
"100708","56","ORAL","ADDED","02517728"
"100776","2","DISINFECTANT (Barn)","ADDED","02518430"
"100758","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02518260"
"100740","22","INTRAMUSCULAR","ADDED","02518074"
"99981","93","DISINFECTANT (Domestic)","ADDED","02510618"
"100246","94","DISINFECTANT (Institutional/Industrial)","ADDED","02513242"
"100779","93","DISINFECTANT (Domestic)","ADDED","02518473"
"100743","8","DISINFECTANT (Food Premises)","ADDED","02518104"
"100712","56","ORAL","ADDED","02517760"
"100725","94","DISINFECTANT (Institutional/Industrial)","ADDED","02517906"
"100703","49","INTRAVENOUS","ADDED","02517655"
"100732","8","DISINFECTANT (Food Premises)","ADDED","02517973"
"100753","55","OPHTHALMIC","ADDED","02518228"
"100724","94","DISINFECTANT (Institutional/Industrial)","ADDED","02517892"
"99975","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02510529"
"100700","56","ORAL","ADDED","02517620"
"100732","94","DISINFECTANT (Institutional/Industrial)","ADDED","02517973"
"100075","94","DISINFECTANT (Institutional/Industrial)","ADDED","02511541"
"100780","2","DISINFECTANT (Barn)","ADDED","02518481"
"100724","8","DISINFECTANT (Food Premises)","ADDED","02517892"
"100737","70","TOPICAL","ADDED","02518031"
"100751","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02518198"
"100758","93","DISINFECTANT (Domestic)","ADDED","02518260"
"100743","94","DISINFECTANT (Institutional/Industrial)","ADDED","02518104"
"100743","93","DISINFECTANT (Domestic)","ADDED","02518104"
"100758","94","DISINFECTANT (Institutional/Industrial)","ADDED","02518260"
"100719","55","OPHTHALMIC","ADDED","02517833"
"100075","93","DISINFECTANT (Domestic)","ADDED","02511541"
"100246","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02513242"
"83037","93","DISINFECTANT (Domestic)","ADDED","02344904"
"100745","21","INTRALESIONAL","ADDED","02518120"
"100713","56","ORAL","ADDED","02517779"
"100746","42","INTRASYNOVIAL","ADDED","02518139"
"100683","56","ORAL","ADDED","02517442"
"100767","93","DISINFECTANT (Domestic)","ADDED","02518333"
"100698","56","ORAL","ADDED","02517604"
"100758","8","DISINFECTANT (Food Premises)","ADDED","02518260"
"100729","104","TOPICAL (HOUSEHOLD)","ADDED","02517949"
"100794","2","DISINFECTANT (Barn)","ADDED","02518635"
"100745","10","INTRA-ARTICULAR","ADDED","02518120"
"99155","56","ORAL","ADDED","02501945"
"100694","56","ORAL","ADDED","02517566"
"100722","56","ORAL","ADDED","02517876"
"100751","94","DISINFECTANT (Institutional/Industrial)","ADDED","02518198"
"100246","93","DISINFECTANT (Domestic)","ADDED","02513242"
"99975","8","DISINFECTANT (Food Premises)","ADDED","02510529"
"99986","2","DISINFECTANT (Barn)","ADDED","02510669"
"100779","94","DISINFECTANT (Institutional/Industrial)","ADDED","02518473"
"100701","49","INTRAVENOUS","ADDED","02517639"
"99153","56","ORAL","ADDED","02501929"
"100693","56","ORAL","ADDED","02517558"
"100732","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02517973"
"100710","49","INTRAVENOUS","ADDED","02517744"
"99152","56","ORAL","ADDED","02501910"
"100743","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02518104"
"100704","49","INTRAVENOUS","ADDED","02517663"
"100699","56","ORAL","ADDED","02517612"
"99975","94","DISINFECTANT (Institutional/Industrial)","ADDED","02510529"
"100742","2","DISINFECTANT (Barn)","ADDED","02518090"
"100746","22","INTRAMUSCULAR","ADDED","02518139"
"100751","8","DISINFECTANT (Food Premises)","ADDED","02518198"
"100724","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02517892"
"100739","22","INTRAMUSCULAR","ADDED","02518066"
"100725","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02517906"
"100716","56","ORAL","ADDED","02517809"
"99154","56","ORAL","ADDED","02501937"
"100739","49","INTRAVENOUS","ADDED","02518066"
"100707","56","ORAL","ADDED","02517701"
"100021","94","DISINFECTANT (Institutional/Industrial)","ADDED","02510960"
"100712","70","TOPICAL","ADDED","02517760"
"100780","93","DISINFECTANT (Domestic)","ADDED","02518481"
"100758","2","DISINFECTANT (Barn)","ADDED","02518260"
"100794","8","DISINFECTANT (Food Premises)","ADDED","02518635"
"100717","56","ORAL","ADDED","02517817"
"100723","56","ORAL","ADDED","02517884"
"100742","94","DISINFECTANT (Institutional/Industrial)","ADDED","02518090"
"100718","55","OPHTHALMIC","ADDED","02517825"
"100727","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02517922"
"100684","56","ORAL","ADDED","02517450"
"100686","56","ORAL","ADDED","02517477"
"100776","93","DISINFECTANT (Domestic)","ADDED","02518430"
"100741","8","DISINFECTANT (Food Premises)","ADDED","02518082"
"100751","2","DISINFECTANT (Barn)","ADDED","02518198"
"100246","2","DISINFECTANT (Barn)","ADDED","02513242"
"99986","93","DISINFECTANT (Domestic)","ADDED","02510669"
"100021","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02510960"
"100745","42","INTRASYNOVIAL","ADDED","02518120"
"100738","29","INHALATION","ADDED","02518058"
