drug_code,din,brand.name,company.name,brand.name.dpd,company.name.dpd,descriptor
107037,02568012,APO-SEMAGLUTIDE INJECTION MULTI-DOSE PRE-FILLED PEN DISPENSES 1 MG DOSES,APOTEX INC,APO-SEMAGLUTIDE INJECTION,APOTEX INC,MULTI-DOSE PRE-FILLED PEN DISPENSES 1 MG DOSES
107019,02567814,SEMAGLUTIDE INJECTION MULTI-DOSE PRE-FILLED PEN DISPENSES 1 MG DOSES,DR REDDY'S LABORATORIES LTD,SEMAGLUTIDE INJECTION,DR REDDY'S LABORATORIES LTD,MULTI-DOSE PRE-FILLED PEN DISPENSES 1 MG DOSES
103882,02550040,VOYDEYA 150 MG DOSE,ALEXION PHARMA GMBH,VOYDEYA,ALEXION PHARMA GMBH,EACH DOSE CONTAINS 1 X 50 MG TABLET AND 1 X 100 MG TABLET
103886,02550059,VOYDEYA 200 MG DOSE,ALEXION PHARMA GMBH,VOYDEYA,ALEXION PHARMA GMBH,EACH DOSE CONTAINS 2 X 100 MG TABLET
96058,02471469,OZEMPIC MULTI-DOSE PRE-FILLED PEN DISPENSES 1 MG DOSES,NOVO NORDISK CANADA INC,OZEMPIC,NOVO NORDISK CANADA INC,MULTI-DOSE PRE-FILLED PEN DISPENSES 1 MG DOSES
101765,02528509,WEGOVY MULTI-DOSE PRE-FILLED PEN,NOVO NORDISK CANADA INC,WEGOVY,NOVO NORDISK CANADA INC,MULTI-DOSE PRE-FILLED PEN DISPENSES  0.25 MG DOSES
101773,02528517,WEGOVY MULTI-DOSE PRE-FILLED PEN,NOVO NORDISK CANADA INC,WEGOVY,NOVO NORDISK CANADA INC,MULTI-DOSE PRE-FILLED PEN DISPENSES 0.5 MG DOSES
101774,02528525,WEGOVY MULTI-DOSE PRE-FILLED PEN,NOVO NORDISK CANADA INC,WEGOVY,NOVO NORDISK CANADA INC,MULTI-DOSE PRE-FILLED PEN DISPENSES 1 MG DOSES
101775,02528533,WEGOVY MULTI-DOSE PRE-FILLED PEN,NOVO NORDISK CANADA INC,WEGOVY,NOVO NORDISK CANADA INC,MULTI-DOSE PRE-FILLED PEN DISPENSES 1.7 MG DOSES
101776,02528541,WEGOVY MULTI-DOSE PRE-FILLED PEN,NOVO NORDISK CANADA INC,WEGOVY,NOVO NORDISK CANADA INC,MULTI-DOSE PRE-FILLED PEN DISPENSES 2.4 MG DOSES
102731,02538601,ODAN-AMANTADINE SYRUP,ODAN LABORATORIES LTD,ODAN-AMANTADINE SYRUP,ODAN LABORATORIESLTD,
101698,02527804,PAXLOVID FOR MODERATE RENAL IMPAIRMENT,PFIZER CANADA ULC,PAXLOVID,PFIZER CANADA ULC,FOR MODERATE RENAL IMPAIRMENT-CARDS OF 2 NIRMATRELVIR/2 RITONAVIR TABS
98835,02498596,ADYNOVATE (2 ML DILUENT) - SINGLE USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,750 UNITS/ML (2 ML DILUENT) - SINGLE USE VIAL
98834,02498588,ADYNOVATE (2 ML DILUENT) - SINGLE USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,500 UNITS/ML (2 ML DILUENT) - SINGLE USE VIAL
98830,02498537,ADYNOVATE (2 ML DILUENT) - SINGLE USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,125 UNITS/ML (2 ML DILUENT) - SINGLE USE VIAL
98831,02498545,ADYNOVATE (2 ML DILUENT) - SINGLE USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,250 UNITS/ML (2 ML DILUENT) - SINGLE USE VIAL
99940,02510162,XARELTO FOR LESS THAN 4 KG,BAYER INC,XARELTO,BAYER INC,1MG/ML WHEN RECONSTITUTED
99941,02510170,XARELTO FOR 4 KG OR MORE,BAYER INC,XARELTO,BAYER INC,1MG/ML WHEN RECONSTITUTED
94619,02459035,ADYNOVATE (5 ML DILUENT) - SINGLE-USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,50 UNITS/ML (5 ML DILUENT) - SINGLE-USE VIAL
94620,02459043,ADYNOVATE (5 ML DILUENT) - SINGLE-USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,100 UNITS/ML (5 ML DILUENT) - SINGLE-USE VIAL
94621,02459051,ADYNOVATE (5 ML DILUENT) - SINGLE-USE VIAL,TAKEDA CANADA INC,ADYNOVATE,TAKEDA CANADA INC,200 UNITS/ML (5 ML DILUENT) - SINGLE-USE VIAL
88378,02398869,INDAYO,MYLAN PHARMACEUTICALS ULC,INDAYO,SENADOR LABORATORIES PRIVATE LIMITED ,
94242,02455609,CHOLESTYRAMINE-ODAN,ODAN LABORATORIES LTD,CHOLESTYRAMINE-ODAN,ODAN LABORATORIESLTD,
50454,02231147,LIDODAN ENDOTRACHEAL NON-AEROSOL SPRAY,ODAN LABORATORIES LTD,LIDODAN ENDOTRACHEAL NON-AEROSOL SPRAY,ODAN LABORATORIESLTD,
16823,01968823,LIDODAN VISCOUS 2%,ODAN LABORATORIES LTD,LIDODAN VISCOUS 2%,ODAN LABORATORIESLTD,
31563,02143879,LIDODAN JELLY 2%,ODAN LABORATORIES LTD,LIDODAN JELLY 2%,ODAN LABORATORIESLTD,
