"concept_code","concept_name","tm_formal_name","policy","policy_url"
"00005606","RITALIN 10MG (methylphenidate hydrochloride 10 mg oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC","methylphenidate","Schedule G (CDSA III)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00005614","RITALIN 20MG (methylphenidate hydrochloride 20 mg oral tablet) NOVARTIS PHARMACEUTICALS CANADA INC","methylphenidate","Schedule G (CDSA III)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00050024","CODEINE PHOSPHATE SYRUP (codeine phosphate 25 mg per 5 mL syrup) LABORATOIRE ATLAS INC","codeine","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00313580","DIAZEPAM 5 TAB (diazepam 5 mg oral tablet) PRO DOC LIMITEE","diazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00382825","RIVOTRIL 0.5TAB (clonazepam 0.5 mg oral tablet) HOFFMANN-LA ROCHE LIMITED","clonazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00382841","RIVOTRIL 2TAB (clonazepam 2 mg oral tablet) HOFFMANN-LA ROCHE LIMITED","clonazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00362158","APO DIAZEPAM TAB 5MG (diazepam 5 mg oral tablet) APOTEX INC","diazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00380571","LINCTUS CODEINE BLANC (codeine phosphate 10 mg per 5 mL oral solution) LABORATOIRE ATLAS INC","codeine","Narcotic (CDSA I)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00434388","DIAZEPAM 10TAB 10MG (diazepam 10 mg oral tablet) PRO DOC LIMITEE","diazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00013285","VALIUM 5 TAB (diazepam 5 mg oral tablet) HOFFMANN-LA ROCHE LIMITED","diazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00405329","APO DIAZEPAM TAB 2MG (diazepam 2 mg oral tablet) APOTEX INC","diazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00405337","APO DIAZEPAM TAB 10MG (diazepam 10 mg oral tablet) APOTEX INC","diazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00402680","APO OXAZEPAM TAB 10MG (oxazepam 10 mg oral tablet) APOTEX INC","oxazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
"00402737","APO OXAZEPAM TAB 30MG (oxazepam 30 mg oral tablet) APOTEX INC","oxazepam","Targeted (CDSA IV)","http://laws-lois.justice.gc.ca/eng/acts/C-38.8/FullText.html"
