"drug_code","ccdd","n_ing","ai_code_set","tm_formal_name","str_set","precise_ing_set","ntp_ing_group","ntp_ing_formal_name","mp_ing_formal_name"
9,FALSE,1,"14593","thiamazole","5 MG","THIAMAZOLE","thiamazole","thiamazole 5 mg","thiamazole 5 mg"
15,TRUE,1,"11121","nortriptyline","10 MG","NORTRIPTYLINE HYDROCHLORIDE","nortriptyline (nortriptyline hydrochloride)","nortriptyline (nortriptyline hydrochloride) 10 mg","nortriptyline (nortriptyline hydrochloride) 10 mg"
16,TRUE,1,"11121","nortriptyline","25 MG","NORTRIPTYLINE HYDROCHLORIDE","nortriptyline (nortriptyline hydrochloride)","nortriptyline (nortriptyline hydrochloride) 25 mg","nortriptyline (nortriptyline hydrochloride) 25 mg"
31,FALSE,6,"4993, 10225, 5015, 5008, 11170, 11171","dexpanthenol and lidocaine hydrochloride and nicotinamide and pyridoxine hydrochloride and vitamin B1 and vitamin B2 (riboflavin 5'-phosphate sodium)","10 MG per ML, 2 %, 75 MG per ML, 2 MG per ML, 50 MG per ML, 7.5 MG per ML","DEXPANTHENOL, LIDOCAINE HYDROCHLORIDE, NICOTINAMIDE, PYRIDOXINE HYDROCHLORIDE, VITAMIN B1, RIBOFLAVIN 5'-PHOSPHATE SODIUM","dexpanthenol, lidocaine hydrochloride, nicotinamide, pyridoxine hydrochloride, vitamin B1, vitamin B2 (riboflavin 5'-phosphate sodium)","dexpanthenol 10 mg per mL and lidocaine hydrochloride 2 % and nicotinamide 75 mg per mL and pyridoxine hydrochloride 2 mg per mL and vitamin b1 50 mg per mL and vitamin b2 (riboflavin 5'-phosphate sodium) 7.5 mg per mL","dexpanthenol 10 mg per mL and lidocaine hydrochloride 2 % and nicotinamide 75 mg per mL and pyridoxine hydrochloride 2 mg per mL and vitamin b1 50 mg per mL and vitamin b2 (riboflavin 5'-phosphate sodium) 7.5 mg per mL"
44,FALSE,1,"6820","gentian violet","1 %","GENTIAN VIOLET","gentian violet","gentian violet 1 %","gentian violet 1 %"
57,FALSE,1,"7140","mineral oil","100 %","MINERAL OIL","mineral oil","mineral oil 100 %","mineral oil 100 %"
68,FALSE,1,"7160","methylene blue","1 %","METHYLENE BLUE","methylene blue","methylene blue 1 %","methylene blue 1 %"
69,FALSE,1,"7160","methylene blue","2 %","METHYLENE BLUE","methylene blue","methylene blue 2 %","methylene blue 2 %"
115,FALSE,1,"55","sodium chloride","9 MG per ML","SODIUM CHLORIDE","sodium chloride","sodium chloride 9 mg per mL","sodium chloride 9 mg per mL"
117,FALSE,1,"8826","water","100 %","WATER","water","water 100 %","water 100 %"
157,TRUE,1,"150","acetylsalicylic acid","325 MG","ACETYLSALICYLIC ACID","acetylsalicylic acid","acetylsalicylic acid 325 mg","acetylsalicylic acid 325 mg"
158,FALSE,1,"9439","propylthiouracil","50 MG","PROPYLTHIOURACIL","propylthiouracil","propylthiouracil 50 mg","propylthiouracil 50 mg"
159,FALSE,1,"9439","propylthiouracil","100 MG","PROPYLTHIOURACIL","propylthiouracil","propylthiouracil 100 mg","propylthiouracil 100 mg"
160,FALSE,1,"6941","papaverine hydrochloride","65 MG per 2 ML","PAPAVERINE HYDROCHLORIDE","papaverine hydrochloride","papaverine hydrochloride 65 mg per 2 mL","papaverine hydrochloride 65 mg per 2 mL"
187,FALSE,3,"721, 720, 719","aluminum hydroxide (dried aluminum hydroxide gel) and magnesium hydroxide and simethicone","165 MG per 5 ML, 200 MG per 5 ML, 25 MG per 5 ML","DRIED ALUMINUM HYDROXIDE GEL, MAGNESIUM HYDROXIDE, SIMETHICONE","aluminum hydroxide (dried aluminum hydroxide gel), magnesium hydroxide, simethicone","aluminum hydroxide (dried aluminum hydroxide gel) 165 mg per 5 mL and magnesium hydroxide 200 mg per 5 mL and simethicone 25 mg per 5 mL","aluminum hydroxide (dried aluminum hydroxide gel) 165 mg per 5 mL and magnesium hydroxide 200 mg per 5 mL and simethicone 25 mg per 5 mL"
188,FALSE,3,"3980, 720, 719","aluminum hydroxide-magnesium carbonate-co dried gel and magnesium hydroxide and simethicone","300 MG, 100 MG, 25 MG","ALUMINUM HYDROXIDE-MAGNESIUM CARBONATE-CO DRIED GEL, MAGNESIUM HYDROXIDE, SIMETHICONE","aluminum hydroxide-magnesium carbonate-co dried gel, magnesium hydroxide, simethicone","aluminum hydroxide-magnesium carbonate-co dried gel 300 mg and magnesium hydroxide 100 mg and simethicone 25 mg","aluminum hydroxide-magnesium carbonate-co dried gel 300 mg and magnesium hydroxide 100 mg and simethicone 25 mg"
193,FALSE,1,"9782","dimenhydrinate","100 MG","DIMENHYDRINATE","dimenhydrinate","dimenhydrinate 100 mg","dimenhydrinate 100 mg"
197,FALSE,1,"9782","dimenhydrinate","50 MG per ML","DIMENHYDRINATE","dimenhydrinate","dimenhydrinate 50 mg per mL","dimenhydrinate 50 mg per mL"
198,FALSE,1,"719","simethicone","40 MG per ML","SIMETHICONE","simethicone","simethicone 40 mg per mL","simethicone 40 mg per mL"
209,FALSE,1,"10225","lidocaine hydrochloride","20 MG per ML","LIDOCAINE HYDROCHLORIDE","lidocaine hydrochloride","lidocaine hydrochloride 20 mg per mL","lidocaine hydrochloride 20 mg per mL"
211,FALSE,1,"9471","lidocaine","5 %","LIDOCAINE","lidocaine","lidocaine 5 %","lidocaine 5 %"
212,FALSE,1,"10225","lidocaine hydrochloride","20 MG per ML","LIDOCAINE HYDROCHLORIDE","lidocaine hydrochloride","lidocaine hydrochloride 20 mg per mL","lidocaine hydrochloride 20 mg per mL"
224,FALSE,1,"8249","thiopental sodium","1 G per VIAL","THIOPENTAL SODIUM","thiopental sodium","thiopental sodium 1 g per vial","thiopental sodium 1 g per vial"
227,FALSE,1,"8833","succinylcholine chloride","20 MG per ML","SUCCINYLCHOLINE CHLORIDE","succinylcholine chloride","succinylcholine chloride 20 mg per mL","succinylcholine chloride 20 mg per mL"
228,FALSE,1,"55","sodium chloride","9 MG per ML","SODIUM CHLORIDE","sodium chloride","sodium chloride 9 mg per mL","sodium chloride 9 mg per mL"
229,FALSE,1,"8826","water","100 %","WATER","water","water 100 %","water 100 %"
250,FALSE,1,"8486","dactinomycin","0.5 MG per VIAL","DACTINOMYCIN","dactinomycin","dactinomycin 0.5 mg per vial","dactinomycin 0.5 mg per vial"
254,FALSE,1,"8970","atropine sulfate","1 %","ATROPINE SULFATE","atropine sulfate","atropine sulfate 1 %","atropine sulfate 1 %"
259,TRUE,3,"7600, 8638, 8519","dexamethasone (base) and neomycin (neomycin sulfate) and polymyxin b sulfate","0.1 %, 3.5 MG, 6000 UNIT per ML","DEXAMETHASONE, NEOMYCIN SULFATE, POLYMYXIN B SULFATE","dexamethasone, neomycin (neomycin sulfate), polymyxin b sulfate","dexamethasone 0.1 % and neomycin (neomycin sulfate) 3.5 mg and polymyxin b sulfate 6000 unit per mL","dexamethasone 0.1 % and neomycin (neomycin sulfate) 3.5 mg and polymyxin b sulfate 6000 unit per mL"
