"extract","drug_code","active_ingredient_code","ingredient","strength","strength_unit","status","drug_identification_number"
"inactive",61544,4439,"HYDROQUINONE","2","%","ADDED","02238152"
"inactive",61544,4439,"HYDROQUINONE","2.0","%","DELETED","02238152"
"active",65669,10271,"MEPIVACAINE HYDROCHLORIDE","10","MG","ADDED","02241999"
"active",65669,10271,"MEPIVACAINE HYDROCHLORIDE","1","%","DELETED","02241999"
"active",65670,10271,"MEPIVACAINE HYDROCHLORIDE","10","MG","ADDED","02242000"
"active",65670,10271,"MEPIVACAINE HYDROCHLORIDE","1","%","DELETED","02242000"
"inactive",69834,4439,"HYDROQUINONE","4","%","ADDED","02245727"
"inactive",69834,4439,"HYDROQUINONE","4.0","%","DELETED","02245727"
"inactive",74229,4439,"HYDROQUINONE","4","%","ADDED","02257076"
"inactive",74229,4439,"HYDROQUINONE","4.0","%","DELETED","02257076"
"inactive",76383,4439,"HYDROQUINONE","4","%","ADDED","02278243"
"inactive",76383,4439,"HYDROQUINONE","4.0","%","DELETED","02278243"
"approved",76784,1185,"ZIDOVUDINE","50","MG","ADDED","02282186"
"approved",79838,11561,"OLOPATADINE (OLOPATADINE HYDROCHLORIDE)","0.1","%","ADDED","02312832"
"approved",80001,144,"LOSARTAN POTASSIUM","25","MG","ADDED","02314479"
"approved",80002,144,"LOSARTAN POTASSIUM","50","MG","ADDED","02314487"
"approved",80003,144,"LOSARTAN POTASSIUM","100","MG","ADDED","02314495"
"inactive",80453,2129,"PADIMATE O","8","%","ADDED","02319047"
"inactive",80453,33,"OXYBENZONE","4","%","ADDED","02319047"
"inactive",80453,2280,"OCTOCRYLENE","4","%","ADDED","02319047"
"inactive",80453,4439,"HYDROQUINONE","4","%","ADDED","02319047"
"inactive",80453,2129,"PADIMATE O","8.0","%","DELETED","02319047"
"inactive",80453,33,"OXYBENZONE","4.0","%","DELETED","02319047"
"inactive",80453,2280,"OCTOCRYLENE","4.0","%","DELETED","02319047"
"inactive",80453,4439,"HYDROQUINONE","4.0","%","DELETED","02319047"
"approved",80908,470,"GABAPENTIN","100","MG","ADDED","02323575"
"approved",80909,470,"GABAPENTIN","300","MG","ADDED","02323583"
"approved",80910,470,"GABAPENTIN","400","MG","ADDED","02323591"
"approved",80921,11847,"CITALOPRAM (CITALOPRAM HYDROBROMIDE)","20","MG","ADDED","02323710"
"approved",80922,11847,"CITALOPRAM (CITALOPRAM HYDROBROMIDE)","40","MG","ADDED","02323729"
"active",81851,197,"BENZALKONIUM CHLORIDE","4.1","%","ADDED","02332868"
"active",81851,2218,"OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE","3.075","%","ADDED","02332868"
"approved",81851,197,"BENZALKONIUM CHLORIDE","4.1000","%","DELETED","02332868"
"approved",81851,2218,"OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE","3.0750","%","DELETED","02332868"
"approved",84289,11163,"TIMOLOL (TIMOLOL MALEATE)","0.5","%","ADDED","02357801"
"approved",84289,11213,"DORZOLAMIDE (DORZOLAMIDE HYDROCHLORIDE)","2.0","%","ADDED","02357801"
"approved",84963,11344,"AMLODIPINE (AMLODIPINE BESYLATE)","5","MG","ADDED","02364743"
"approved",84964,11344,"AMLODIPINE (AMLODIPINE BESYLATE)","10","MG","ADDED","02364751"
"approved",84992,13353,"ALENDRONIC ACID (ALENDRONATE SODIUM)","5","MG","ADDED","02365057"
"approved",84993,13353,"ALENDRONIC ACID (ALENDRONATE SODIUM)","10","MG","ADDED","02365065"
"approved",84994,13353,"ALENDRONIC ACID (ALENDRONATE SODIUM)","40","MG","ADDED","02365073"
"approved",84995,13353,"ALENDRONIC ACID (ALENDRONATE SODIUM)","70","MG","ADDED","02365081"
"inactive",87022,11443,"TRANDOLAPRIL","2","MG","ADDED","02384507"
"approved",89324,12056,"GATIFLOXACIN","3","MG","ADDED","02408481"
"approved",94404,224,"ADAPALENE","0.1","%","ADDED","02456923"
"approved",94404,6850,"BENZOYL PEROXIDE","2.5","%","ADDED","02456923"
"approved",94730,20161,"DAPTOMYCIN","350","MG","ADDED","02460009"
"approved",94731,20161,"DAPTOMYCIN","500","MG","ADDED","02460017"
"active",95089,22863,"ATEZOLIZUMAB","1200","MG","ADDED","02462990"
"active",95089,22863,"ATEZOLIZUMAB","60","MG","DELETED","02462990"
"approved",96216,933,"ZOLPIDEM TARTRATE","5","MG","ADDED","02472821"
"approved",96217,933,"ZOLPIDEM TARTRATE","10","MG","ADDED","02472848"
"active",96291,8926,"EPINEPHRINE (EPINEPHRINE BITARTRATE)","0.02","MG","ADDED","02473526"
"active",96291,8923,"EPINEPHRINE BITARTRATE","0.02","MG","DELETED","02473526"
"approved",97079,13053,"BORTEZOMIB (BORTEZOMIB MANNITOL BORONIC ESTER)","1","MG","ADDED","02480255"
"approved",97080,13053,"BORTEZOMIB (BORTEZOMIB MANNITOL BORONIC ESTER)","3","MG","ADDED","02480263"
"approved",97138,11905,"TRASTUZUMAB","440","MG","ADDED","02480794"
"approved",97496,11857,"EFAVIRENZ","600","MG","ADDED","02484676"
"approved",97496,12251,"TENOFOVIR DISOPROXIL FUMARATE","300","MG","ADDED","02484676"
"approved",97496,16516,"EMTRICITABINE","200","MG","ADDED","02484676"
"approved",97608,20097,"VARENICLINE (VARENICLINE TARTRATE)","0.5","MG","ADDED","02485869"
"approved",97608,20097,"VARENICLINE (VARENICLINE TARTRATE)","1","MG","ADDED","02485869"
"approved",97666,2196,"SODIUM CHLORITE","30.5","%","ADDED","02486466"
"approved",97666,55,"SODIUM CHLORIDE","30.5","%","DELETED","02486466"
"approved",97801,12251,"TENOFOVIR DISOPROXIL FUMARATE","300","MG","ADDED","02487853"
"approved",97801,16516,"EMTRICITABINE","200","MG","ADDED","02487853"
"approved",97841,12048,"OCTISALATE","4.5","%","ADDED","02488310"
"approved",97841,1970,"HOMOSALATE","6","%","ADDED","02488310"
"approved",97841,2280,"OCTOCRYLENE","4.5","%","ADDED","02488310"
"approved",97841,7289,"ZINC OXIDE","5.6","%","ADDED","02488310"
"approved",97842,12048,"OCTISALATE","4.5","%","ADDED","02488329"
"approved",97842,1970,"HOMOSALATE","8","%","ADDED","02488329"
"approved",97842,2280,"OCTOCRYLENE","5.7","%","ADDED","02488329"
"approved",97842,7289,"ZINC OXIDE","7.3","%","ADDED","02488329"
"approved",98190,10127,"PROPRANOLOL HYDROCHLORIDE","60","MG","ADDED","02491893"
"approved",98191,10127,"PROPRANOLOL HYDROCHLORIDE","80","MG","ADDED","02491907"
"approved",98192,10127,"PROPRANOLOL HYDROCHLORIDE","120","MG","ADDED","02491915"
"approved",98193,10127,"PROPRANOLOL HYDROCHLORIDE","160","MG","ADDED","02491923"
"approved",98197,10290,"SODIUM CITRATE","3.18","G","ADDED","02492067"
"approved",98197,10292,"SODIUM ACETATE","4.42","G","ADDED","02492067"
"approved",98197,20809,"DISODIUM PHOSPHATE","3.05","G","ADDED","02492067"
"approved",98197,4753,"SODIUM PHOSPHATE MONOBASIC","1.05","G","ADDED","02492067"
"approved",98197,49,"MAGNESIUM CHLORIDE","0.3","G","ADDED","02492067"
"approved",98197,53,"POTASSIUM CHLORIDE","0.37","G","ADDED","02492067"
"approved",98197,55,"SODIUM CHLORIDE","4.05","G","ADDED","02492067"
"approved",98197,20809,"DISODIUM PHOSPHATE","3.05","G","NEW","02492067"
"approved",98198,19840,"RASAGILINE (RASAGILINE MESYLATE)","0.5","MG","ADDED","02491974"
"approved",98199,19840,"RASAGILINE (RASAGILINE MESYLATE)","1","MG","ADDED","02491982"
"approved",98200,93,"CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE)","250","MG","ADDED","02491990"
"approved",98201,93,"CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE)","500","MG","ADDED","02492008"
"approved",98202,93,"CIPROFLOXACIN (CIPROFLOXACIN HYDROCHLORIDE)","750","MG","ADDED","02492016"
"approved",98204,23356,"TALAZOPARIB (TALAZOPARIB TOSYLATE)","0.25","MG","NEW","02492032"
"approved",98205,23356,"TALAZOPARIB (TALAZOPARIB TOSYLATE)","1","MG","NEW","02492040"
"approved",98207,10290,"SODIUM CITRATE","3.18","G","ADDED","02492075"
"approved",98207,10292,"SODIUM ACETATE","4.42","G","ADDED","02492075"
"approved",98207,20809,"DISODIUM PHOSPHATE","3.05","G","ADDED","02492075"
"approved",98207,4753,"SODIUM PHOSPHATE MONOBASIC","1.05","G","ADDED","02492075"
"approved",98207,49,"MAGNESIUM CHLORIDE","0.3","G","ADDED","02492075"
"approved",98207,53,"POTASSIUM CHLORIDE","0.37","G","ADDED","02492075"
"approved",98207,55,"SODIUM CHLORIDE","4.05","G","ADDED","02492075"
"approved",98207,20809,"DISODIUM PHOSPHATE","3.05","G","NEW","02492075"
"approved",98210,233,"LEVOCARNITINE","100","MG","ADDED","02492105"
"approved",98211,10247,"DEXTROMETHORPHAN HYDROBROMIDE","10","MG","ADDED","02492113"
"approved",98211,270,"ACETAMINOPHEN","250","MG","ADDED","02492113"
"approved",98211,6492,"PSEUDOEPHEDRINE HYDROCHLORIDE","30","MG","ADDED","02492113"
"approved",98211,9615,"GUAIFENESIN","100","MG","ADDED","02492113"
"approved",98212,698,"POLYETHYLENE GLYCOL 3350","100","%","ADDED","02492121"
"approved",98213,13153,"ERTAPENEM (ERTAPENEM SODIUM)","1","G","ADDED","02492148"
"approved",98216,270,"ACETAMINOPHEN","325","MG","ADDED","02492172"
"approved",98217,270,"ACETAMINOPHEN","500","MG","ADDED","02492180"
"approved",98219,9782,"DIMENHYDRINATE","50","MG","ADDED","02492202"
"approved",98220,11101,"AMOXICILLIN (AMOXICILLIN TRIHYDRATE)","250","MG","ADDED","02492210"
"approved",98221,197,"BENZALKONIUM CHLORIDE","0.2","%","ADDED","02492229"
"approved",98221,735,"O-PHENYLPHENOL","0.1","%","ADDED","02492229"
"approved",98221,8890,"ALCOHOL ANHYDROUS","79","%","ADDED","02492229"
"approved",98231,719,"SIMETHICONE","125","MG","ADDED","02492288"
"approved",98232,719,"SIMETHICONE","180","MG","ADDED","02492296"
"approved",98233,182,"DIPHENHYDRAMINE HYDROCHLORIDE","25","MG","ADDED","02492318"
"approved",98234,182,"DIPHENHYDRAMINE HYDROCHLORIDE","50","MG","ADDED","02492326"
"approved",98235,12429,"IMATINIB (IMATINIB MESYLATE)","100","MG","ADDED","02492334"
"approved",98236,12429,"IMATINIB (IMATINIB MESYLATE)","400","MG","ADDED","02492342"
"approved",98237,8618,"ERYTHROMYCIN","5","MG","ADDED","02492350"
"approved",98238,11388,"FLUVASTATIN (FLUVASTATIN SODIUM)","80","MG","ADDED","02492385"
"approved",98241,22863,"ATEZOLIZUMAB","840","MG","ADDED","02492393"
"approved",98242,1200,"ZOPICLONE","3.75","MG","ADDED","02492407"
"approved",98243,11363,"GLUCAGON","3","MG","NEW","02492415"
"approved",98244,4922,"VITAMIN D3","10000","UNIT","ADDED","02492423"
"approved",98244,701,"VITAMIN E","300","UNIT","ADDED","02492423"
"approved",98244,704,"VITAMIN A","100000","UNIT","ADDED","02492423"
"approved",98249,11899,"RIZATRIPTAN (RIZATRIPTAN BENZOATE)","5","MG","ADDED","02492482"
"approved",98250,11899,"RIZATRIPTAN (RIZATRIPTAN BENZOATE)","10","MG","ADDED","02492490"
"approved",98251,22918,"DUPILUMAB","200","MG","ADDED","02492504"
"approved",98256,9615,"GUAIFENESIN","400","MG","ADDED","02492555"
"approved",98261,197,"BENZALKONIUM CHLORIDE","0.2","%","ADDED","02492628"
"approved",98261,2218,"OCTYL DECYL DIMETHYL AMMONIUM CHLORIDE","0.15","%","ADDED","02492628"
"approved",98261,2232,"DIOCTYL DIMETHYL AMMONIUM CHLORIDE","0.075","%","ADDED","02492628"
"approved",98261,2730,"DIDECYL DIMETHYL AMMONIUM CHLORIDE","0.075","%","ADDED","02492628"
"approved",98262,196,"ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","0.184","%","ADDED","02492636"
"approved",98262,197,"BENZALKONIUM CHLORIDE","0.184","%","ADDED","02492636"
"approved",98263,11253,"PYRANTEL (PYRANTEL PAMOATE)","12.5","MG","ADDED","02492652"
"approved",98263,225,"MOXIDECTIN","0.06","MG","ADDED","02492652"
"approved",98263,22692,"SAROLANER","3","MG","ADDED","02492652"
"approved",98264,9152,"DOCUSATE SODIUM","100","MG","ADDED","02492644"
"approved",98265,11253,"PYRANTEL (PYRANTEL PAMOATE)","25","MG","ADDED","02492660"
"approved",98265,225,"MOXIDECTIN","0.12","MG","ADDED","02492660"
"approved",98265,22692,"SAROLANER","6","MG","ADDED","02492660"
"approved",98266,11253,"PYRANTEL (PYRANTEL PAMOATE)","50","MG","ADDED","02492679"
"approved",98266,225,"MOXIDECTIN","0.24","MG","ADDED","02492679"
"approved",98266,22692,"SAROLANER","12","MG","ADDED","02492679"
"approved",98267,11253,"PYRANTEL (PYRANTEL PAMOATE)","100","MG","ADDED","02492687"
"approved",98267,225,"MOXIDECTIN","0.48","MG","ADDED","02492687"
"approved",98267,22692,"SAROLANER","24","MG","ADDED","02492687"
"approved",98268,11253,"PYRANTEL (PYRANTEL PAMOATE)","200","MG","ADDED","02492695"
"approved",98268,225,"MOXIDECTIN","0.96","MG","ADDED","02492695"
"approved",98268,22692,"SAROLANER","48","MG","ADDED","02492695"
"approved",98269,11253,"PYRANTEL (PYRANTEL PAMOATE)","300","MG","ADDED","02492709"
"approved",98269,225,"MOXIDECTIN","1.44","MG","ADDED","02492709"
"approved",98269,22692,"SAROLANER","72","MG","ADDED","02492709"
