"drug_code","drug_identification_number","brand_name_current","brand_name_previous"
10871,"00870420","METRONIDAZOLE INJECTION, USP","METRONIDAZOLE 5MG/ML INJECTION"
18242,"02082136","GENTAMICIN(E)","GENTAMICIN(E) 100MG LIQ IV 1MG/ML"
18243,"02082152","GENTAMICIN(E)","GENTAMICIN(E) 80MG LIQ IV 1.6MG/ML"
19075,"02157624","DIOVOL PLUS ALUMINUM FREE","DIOVOL PLUS AF"
19810,"01925202","SOLUPREP ANTISEPTIC SKIN CLEANSER SPONGE","SOLUPREP ANTISEPTIC SKIN CLEANSER"
6510,"00644315","PRO-AMOX-500","PRO AMOX-500 CAP 500MG"
65462,"02241797","PROCYTOX","PROCYTOX 200MG/VIAL"
65463,"02241798","PROCYTOX","PROCYTOX 500MG/VIAL"
65464,"02241799","PROCYTOX","PROCYTOX 1000MG/VIAL"
65465,"02241800","PROCYTOX","PROCYTOX 2000MG/VIAL"
8482,"00740748","RANITIDINE","RANITIDINE - 150"
8483,"00740756","RANITIDINE","RANITIDINE - 300"
86846,"02382644","TARO-ROSUVASTATIN","SUNPHARMA ROSUVASTATIN"
86847,"02382652","TARO-ROSUVASTATIN","SUNPHARMA ROSUVASTATIN"
86848,"02382660","TARO-ROSUVASTATIN","SUNPHARMA ROSUVASTATIN"
86849,"02382679","TARO-ROSUVASTATIN","SUNPHARMA ROSUVASTATIN"
90860,"02423855","TEVA-ESOMEPRAZOLE","ACT ESOMEPRAZOLE"
90861,"02423863","TEVA-ESOMEPRAZOLE","ACT ESOMEPRAZOLE"
97906,"02489007","SANDOZ ADAPALENE/BENZOYL PEROXIDE","GALDERMA ADAPALENE/BENZOYL PEROXIDE"
