"extract","drug_code","route_of_administration_code","route_of_administration","status","drug_identification_number"
"active",95007,"22","INTRAMUSCULAR","ADDED","02462346"
"active",97577,"49","INTRAVENOUS","ADDED","02485532"
"active",97578,"49","INTRAVENOUS","ADDED","02485540"
"inactive",87022,"56","ORAL","ADDED","02384507"
"approved",80908,"56","ORAL","ADDED","02323575"
"approved",80909,"56","ORAL","ADDED","02323583"
"approved",80910,"56","ORAL","ADDED","02323591"
"approved",80921,"56","ORAL","ADDED","02323710"
"approved",80922,"56","ORAL","ADDED","02323729"
"approved",79838,"55","OPHTHALMIC","ADDED","02312832"
"approved",76784,"56","ORAL","ADDED","02282186"
"approved",84289,"55","OPHTHALMIC","ADDED","02357801"
"approved",84992,"56","ORAL","ADDED","02365057"
"approved",84993,"56","ORAL","ADDED","02365065"
"approved",84994,"56","ORAL","ADDED","02365073"
"approved",84995,"56","ORAL","ADDED","02365081"
"approved",80001,"56","ORAL","ADDED","02314479"
"approved",80002,"56","ORAL","ADDED","02314487"
"approved",80003,"56","ORAL","ADDED","02314495"
"approved",84963,"56","ORAL","ADDED","02364743"
"approved",84964,"56","ORAL","ADDED","02364751"
"approved",94730,"49","INTRAVENOUS","ADDED","02460009"
"approved",94731,"49","INTRAVENOUS","ADDED","02460017"
"approved",97496,"56","ORAL","ADDED","02484676"
"approved",97608,"56","ORAL","ADDED","02485869"
"approved",96216,"66","SUBLINGUAL","ADDED","02472821"
"approved",96217,"66","SUBLINGUAL","ADDED","02472848"
"approved",89324,"55","OPHTHALMIC","ADDED","02408481"
"approved",98190,"56","ORAL","ADDED","02491893"
"approved",98191,"56","ORAL","ADDED","02491907"
"approved",98192,"56","ORAL","ADDED","02491915"
"approved",98193,"56","ORAL","ADDED","02491923"
"approved",98197,"49","INTRAVENOUS","ADDED","02492067"
"approved",98198,"56","ORAL","ADDED","02491974"
"approved",98199,"56","ORAL","ADDED","02491982"
"approved",98200,"56","ORAL","ADDED","02491990"
"approved",98201,"56","ORAL","ADDED","02492008"
"approved",98202,"56","ORAL","ADDED","02492016"
"approved",98207,"49","INTRAVENOUS","ADDED","02492075"
"approved",98210,"56","ORAL","ADDED","02492105"
"approved",98211,"56","ORAL","ADDED","02492113"
"approved",98212,"56","ORAL","ADDED","02492121"
"approved",98213,"22","INTRAMUSCULAR","ADDED","02492148"
"approved",98213,"49","INTRAVENOUS","ADDED","02492148"
"approved",98216,"56","ORAL","ADDED","02492172"
"approved",98217,"56","ORAL","ADDED","02492180"
"approved",98219,"56","ORAL","ADDED","02492202"
"approved",98220,"56","ORAL","ADDED","02492210"
"approved",98221,"9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02492229"
"approved",98231,"56","ORAL","ADDED","02492288"
"approved",98232,"56","ORAL","ADDED","02492296"
"approved",98233,"56","ORAL","ADDED","02492318"
"approved",98234,"56","ORAL","ADDED","02492326"
"approved",98235,"56","ORAL","ADDED","02492334"
"approved",98236,"56","ORAL","ADDED","02492342"
"approved",98237,"55","OPHTHALMIC","ADDED","02492350"
"approved",98238,"56","ORAL","ADDED","02492385"
"approved",98241,"49","INTRAVENOUS","ADDED","02492393"
"approved",98242,"56","ORAL","ADDED","02492407"
"approved",98244,"22","INTRAMUSCULAR","ADDED","02492423"
"approved",98249,"56","ORAL","ADDED","02492482"
"approved",98250,"56","ORAL","ADDED","02492490"
"approved",98251,"65","SUBCUTANEOUS","ADDED","02492504"
"approved",98256,"56","ORAL","ADDED","02492555"
"approved",98261,"93","DISINFECTANT (Domestic)","ADDED","02492628"
"approved",98261,"94","DISINFECTANT (Institutional/Industrial)","ADDED","02492628"
"approved",98262,"2","DISINFECTANT (Barn)","ADDED","02492636"
"approved",98262,"8","DISINFECTANT (Food Premises)","ADDED","02492636"
"approved",98262,"93","DISINFECTANT (Domestic)","ADDED","02492636"
"approved",98262,"94","DISINFECTANT (Institutional/Industrial)","ADDED","02492636"
"approved",98263,"56","ORAL","ADDED","02492652"
"approved",98264,"56","ORAL","ADDED","02492644"
"approved",98265,"56","ORAL","ADDED","02492660"
"approved",98266,"56","ORAL","ADDED","02492679"
"approved",98267,"56","ORAL","ADDED","02492687"
"approved",98268,"56","ORAL","ADDED","02492695"
"approved",98269,"56","ORAL","ADDED","02492709"
"approved",97801,"56","ORAL","ADDED","02487853"
"approved",97841,"70","TOPICAL","ADDED","02488310"
"approved",97842,"70","TOPICAL","ADDED","02488329"
"approved",97079,"49","INTRAVENOUS","ADDED","02480255"
"approved",97079,"65","SUBCUTANEOUS","ADDED","02480255"
"approved",97080,"49","INTRAVENOUS","ADDED","02480263"
"approved",97080,"65","SUBCUTANEOUS","ADDED","02480263"
"approved",97138,"49","INTRAVENOUS","ADDED","02480794"
"approved",94404,"70","TOPICAL","ADDED","02456923"
"approved",82594,"30","DISINFECTANT (Medical Instruments)","DELETED","02340372"
"approved",82595,"30","DISINFECTANT (Medical Instruments)","DELETED","02340380"
"approved",97577,"56","ORAL","DELETED","02485532"
"approved",97578,"56","ORAL","DELETED","02485540"
