"drug_code","extract_current","extract_previous","company_name_current","company_name_previous","drug_identification_number"
72943,"active","active","LEDA HEALTH INNOVATIONS INC.","FOREST LABORATORIES UK LTD","02248588"
73342,"active","active","ALCON CANADA INC","NOVARTIS PHARMACEUTICALS CANADA INC","02248967"
74537,"active","active","SPRAKITA PRODUCTS","SPRAKITA PRODUCTS INC","02260131"
75617,"active","active","LEO PHARMA INC","BAYER INC","02270811"
90253,"active","active","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02417936"
90254,"active","active","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02417944"
90255,"active","active","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02417952"
90256,"active","active","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02417960"
90712,"active","active","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02422433"
95102,"active","active","DR REDDY'S LABORATORIES INC","DR REDDYS LABORATORIES INC","02463113"
95110,"active","active","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02463199"
16624,"dormant","dormant","PHARMA STULLN INC.","EBERTH PHARMACEUTICALS INC","02023806"
16631,"dormant","dormant","PHARMA STULLN INC.","EBERTH PHARMACEUTICALS INC","02023733"
65856,"dormant","dormant","DR REDDY'S LABORATORIES INC","DR REDDYS LABORATORIES INC","02242177"
76258,"dormant","dormant","SPRAKITA PRODUCTS","SPRAKITA PRODUCTS INC","02276917"
68682,"approved","approved","DR REDDY'S LABORATORIES INC","DR REDDYS LABORATORIES INC","02244694"
71442,"approved","approved","DR REDDY'S LABORATORIES INC","DR REDDYS LABORATORIES INC","02247200"
71443,"approved","approved","DR REDDY'S LABORATORIES INC","DR REDDYS LABORATORIES INC","02247201"
71444,"approved","approved","DR REDDY'S LABORATORIES INC","DR REDDYS LABORATORIES INC","02247202"
71445,"approved","approved","DR REDDY'S LABORATORIES INC","DR REDDYS LABORATORIES INC","02247203"
74611,"approved","approved","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02260670"
80757,"approved","approved","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02322137"
85906,"approved","approved","DR REDDY'S LABORATORIES INC","DR REDDYS LABORATORIES INC","02373858"
85908,"approved","approved","DR REDDY'S LABORATORIES INC","DR REDDYS LABORATORIES INC","02373874"
86117,"approved","approved","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02375753"
89157,"approved","approved","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02406918"
89833,"approved","approved","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02413698"
91768,"approved","approved","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02433281"
92147,"approved","approved","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02437163"
95099,"approved","approved","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02463091"
96183,"approved","approved","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02472538"
96185,"approved","approved","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02472554"
96841,"approved","approved","DR REDDY'S LABORATORIES INC","DR REDDYS LABORATORIES INC","02477432"
97906,"approved","approved","SANDOZ CANADA INCORPORATED","GALDERMA CANADA INC","02489007"
7474,"active","active","ALCON CANADA INC","NOVARTIS PHARMACEUTICALS CANADA INC","00707937"
10032,"active","active","ALCON CANADA INC","NOVARTIS PHARMACEUTICALS CANADA INC","00743445"
73705,"active","active","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02252163"
75964,"active","active","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY","02274183"
75965,"active","active","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY","02274191"
75966,"active","active","TEVA CANADA LIMITED","ACTAVIS PHARMA COMPANY","02274205"
89154,"active","active","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02406853"
89156,"active","active","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02406896"
90711,"active","active","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02422425"
93883,"active","active","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02452456"
95068,"active","active","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02462826"
16217,"dormant","dormant","PHARMA STULLN INC.","EBERTH PHARMACEUTICALS INC","02023741"
16241,"dormant","dormant","PHARMA STULLN INC.","EBERTH PHARMACEUTICALS INC","02023725"
18029,"dormant","dormant","PHARMA STULLN INC.","EBERTH PHARMACEUTICALS INC","02023709"
65857,"dormant","dormant","DR REDDY'S LABORATORIES INC","DR REDDYS LABORATORIES INC","02242178"
86244,"dormant","dormant","CUMBERLAND PHARMACEUTICALS INC","ALVEDA PHARMACEUTICALS INC","02376857"
82499,"approved","approved","DR REDDY'S LABORATORIES INC","DR REDDYS LABORATORIES INC","02339374"
82500,"approved","approved","DR REDDY'S LABORATORIES INC","DR REDDYS LABORATORIES INC","02339382"
85907,"approved","approved","DR REDDY'S LABORATORIES INC","DR REDDYS LABORATORIES INC","02373866"
86114,"approved","approved","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02375729"
86115,"approved","approved","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02375737"
86116,"approved","approved","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02375745"
86621,"approved","approved","CELLCHEM PHARMACEUTICALS INC.","PHARMETICS (2011) INC","02380404"
89155,"approved","approved","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02406888"
89577,"approved","approved","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02411148"
89578,"approved","approved","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02411156"
89579,"approved","approved","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02411164"
89832,"approved","approved","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02413671"
92146,"approved","approved","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02437155"
92148,"approved","approved","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02437171"
94551,"approved","approved","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02458403"
95098,"approved","approved","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02463083"
96184,"approved","approved","DR REDDY'S LABORATORIES LTD","DR REDDYS LABORATORIES LTD","02472546"
96767,"approved","approved","SPRAKITA PRODUCTS","SPRAKITA PRODUCTS INC","02476886"
96842,"approved","approved","DR REDDY'S LABORATORIES INC","DR REDDYS LABORATORIES INC","02477440"
98057,"approved","approved","KNIGHT THERAPEUTICS INC.","PUMA BIOTECHNOLOGY INC","02490536"
