"extract","drug_code","pharm_form_code","pharmaceutical_form","status","drug_identification_number"
"active",10871,134,"SOLUTION","ADDED","00870420"
"active",80521,134,"SOLUTION","ADDED","02319756"
"active",81851,134,"SOLUTION","ADDED","02332868"
"inactive",83718,134,"SOLUTION","ADDED","02351935"
"inactive",87022,5,"CAPSULE","ADDED","02384507"
"approved",80001,85,"TABLET","ADDED","02314479"
"approved",80002,85,"TABLET","ADDED","02314487"
"approved",80003,85,"TABLET","ADDED","02314495"
"approved",80908,5,"CAPSULE","ADDED","02323575"
"approved",80909,5,"CAPSULE","ADDED","02323583"
"approved",80910,5,"CAPSULE","ADDED","02323591"
"approved",80921,85,"TABLET","ADDED","02323710"
"approved",80922,85,"TABLET","ADDED","02323729"
"approved",84963,85,"TABLET","ADDED","02364743"
"approved",84964,85,"TABLET","ADDED","02364751"
"approved",84992,85,"TABLET","ADDED","02365057"
"approved",84993,85,"TABLET","ADDED","02365065"
"approved",84994,85,"TABLET","ADDED","02365073"
"approved",84995,85,"TABLET","ADDED","02365081"
"approved",76784,134,"SOLUTION","ADDED","02282186"
"approved",84289,134,"SOLUTION","ADDED","02357801"
"approved",82594,134,"SOLUTION","ADDED","02340372"
"approved",82595,134,"SOLUTION","ADDED","02340380"
"approved",82596,134,"SOLUTION","ADDED","02340399"
"approved",79838,134,"SOLUTION","ADDED","02312832"
"approved",97608,32,"KIT","ADDED","02485869"
"approved",97608,85,"TABLET","ADDED","02485869"
"approved",89324,134,"SOLUTION","ADDED","02408481"
"approved",97801,85,"TABLET","ADDED","02487853"
"approved",97841,36,"LOTION","ADDED","02488310"
"approved",97842,36,"LOTION","ADDED","02488329"
"approved",97079,56,"POWDER FOR SOLUTION","ADDED","02480255"
"approved",97080,56,"POWDER FOR SOLUTION","ADDED","02480263"
"approved",94404,114,"GEL","ADDED","02456923"
"approved",98190,141,"CAPSULE (EXTENDED RELEASE)","ADDED","02491893"
"approved",98191,141,"CAPSULE (EXTENDED RELEASE)","ADDED","02491907"
"approved",98192,141,"CAPSULE (EXTENDED RELEASE)","ADDED","02491915"
"approved",98193,141,"CAPSULE (EXTENDED RELEASE)","ADDED","02491923"
"approved",98197,134,"SOLUTION","ADDED","02492067"
"approved",98198,85,"TABLET","ADDED","02491974"
"approved",98199,85,"TABLET","ADDED","02491982"
"approved",98200,85,"TABLET","ADDED","02491990"
"approved",98201,85,"TABLET","ADDED","02492008"
"approved",98202,85,"TABLET","ADDED","02492016"
"approved",98207,134,"SOLUTION","ADDED","02492075"
"approved",98210,134,"SOLUTION","ADDED","02492105"
"approved",98211,5,"CAPSULE","ADDED","02492113"
"approved",98212,56,"POWDER FOR SOLUTION","ADDED","02492121"
"approved",98213,56,"POWDER FOR SOLUTION","ADDED","02492148"
"approved",98216,5,"CAPSULE","ADDED","02492172"
"approved",98217,5,"CAPSULE","ADDED","02492180"
"approved",98219,5,"CAPSULE","ADDED","02492202"
"approved",98220,5,"CAPSULE","ADDED","02492210"
"approved",98221,105,"WIPE","ADDED","02492229"
"approved",98231,5,"CAPSULE","ADDED","02492288"
"approved",98232,5,"CAPSULE","ADDED","02492296"
"approved",98233,5,"CAPSULE","ADDED","02492318"
"approved",98234,5,"CAPSULE","ADDED","02492326"
"approved",98235,85,"TABLET","ADDED","02492334"
"approved",98236,85,"TABLET","ADDED","02492342"
"approved",98237,43,"OINTMENT","ADDED","02492350"
"approved",98238,75,"TABLET (EXTENDED-RELEASE)","ADDED","02492385"
"approved",98241,134,"SOLUTION","ADDED","02492393"
"approved",98242,85,"TABLET","ADDED","02492407"
"approved",98244,134,"SOLUTION","ADDED","02492423"
"approved",98249,132,"TABLET (ORALLY DISINTEGRATING)","ADDED","02492482"
"approved",98250,132,"TABLET (ORALLY DISINTEGRATING)","ADDED","02492490"
"approved",98251,134,"SOLUTION","ADDED","02492504"
"approved",98256,85,"TABLET","ADDED","02492555"
"approved",98261,98,"SPRAY","ADDED","02492628"
"approved",98261,134,"SOLUTION","ADDED","02492628"
"approved",98262,105,"WIPE","ADDED","02492636"
"approved",98263,151,"TABLET (CHEWABLE)","ADDED","02492652"
"approved",98264,5,"CAPSULE","ADDED","02492644"
"approved",98265,151,"TABLET (CHEWABLE)","ADDED","02492660"
"approved",98266,151,"TABLET (CHEWABLE)","ADDED","02492679"
"approved",98267,151,"TABLET (CHEWABLE)","ADDED","02492687"
"approved",98268,151,"TABLET (CHEWABLE)","ADDED","02492695"
"approved",98269,151,"TABLET (CHEWABLE)","ADDED","02492709"
"approved",96216,132,"TABLET (ORALLY DISINTEGRATING)","ADDED","02472821"
"approved",96217,132,"TABLET (ORALLY DISINTEGRATING)","ADDED","02472848"
"approved",94730,56,"POWDER FOR SOLUTION","ADDED","02460009"
"approved",94731,56,"POWDER FOR SOLUTION","ADDED","02460017"
"approved",97496,85,"TABLET","ADDED","02484676"
"approved",97138,32,"KIT","ADDED","02480794"
"approved",97138,56,"POWDER FOR SOLUTION","ADDED","02480794"
"active",10871,34,"LIQUID","DELETED","00870420"
"active",80521,34,"LIQUID","DELETED","02319756"
"active",83718,34,"LIQUID","DELETED","02351935"
"approved",81851,34,"LIQUID","DELETED","02332868"
"approved",82594,34,"LIQUID","DELETED","02340372"
"approved",82595,34,"LIQUID","DELETED","02340380"
"approved",82596,34,"LIQUID","DELETED","02340399"
