drug_code,active_ingredient_code,status,extract,ingredient,strength,strength_unit,drug_identification_number
"12492","309","Changed","inactive","IRON (IRON MALATE)","7.5","MG","00879851"
"104207","22561","ADDED","approved","DEFERIPRONE","1000","MG","02553112"
"104200","6186","ADDED","approved","METHYLPHENIDATE HYDROCHLORIDE","80","MG","02553031"
"104192","20595","ADDED","approved","PAZOPANIB (PAZOPANIB HYDROCHLORIDE)","200","MG","02552957"
"104212","20435","ADDED","approved","ARIPIPRAZOLE","2","MG","02553163"
"104190","1400","ADDED","approved","AMIODARONE HYDROCHLORIDE","100","MG","02552949"
"104178","20179","ADDED","approved","SITAGLIPTIN (SITAGLIPTIN PHOSPHATE MONOHYDRATE)","50","MG","02552817"
"104175","582","ADDED","approved","COPPER (CUPRIC SULFATE)","60","MCG","02552787"
"104241","10021","ADDED","approved","CITRIC ACID","5.25","%","02553473"
"104255","21078","ADDED","approved","APIXABAN","2.5","MG","02553635"
"104189","2609","ADDED","approved","IBUPROFEN","400","MG","02552930"
"104231","20179","ADDED","approved","SITAGLIPTIN (SITAGLIPTIN PHOSPHATE MONOHYDRATE)","25","MG","02553376"
"104175","2295","ADDED","approved","SELENIUM (SELENIUM DIOXIDE)","12","MCG","02552787"
"12298","309","Changed","inactive","IRON (IRON GLUTARATE)",".5","MG","01901117"
"104184","11344","ADDED","approved","AMLODIPINE (AMLODIPINE BESYLATE)","2.5","MG","02552868"
"104180","10147","ADDED","approved","METFORMIN HYDROCHLORIDE","1000","MG","02552833"
"104199","6186","ADDED","approved","METHYLPHENIDATE HYDROCHLORIDE","100","MG","02553023"
"104217","20435","ADDED","approved","ARIPIPRAZOLE","30","MG","02553236"
"104186","11344","ADDED","approved","AMLODIPINE (AMLODIPINE BESYLATE)","10","MG","02552884"
"104164","1998","ADDED","approved","ETOPOSIDE","20","MG","02552671"
"104201","6186","ADDED","approved","METHYLPHENIDATE HYDROCHLORIDE","60","MG","02553058"
"104214","20435","ADDED","approved","ARIPIPRAZOLE","10","MG","02553198"
"104230","20387","ADDED","approved","RIVAROXABAN","2.5","MG","02553368"
"104179","10147","ADDED","approved","METFORMIN HYDROCHLORIDE","850","MG","02552825"
"104185","11344","ADDED","approved","AMLODIPINE (AMLODIPINE BESYLATE)","5","MG","02552876"
"104175","331","ADDED","approved","ZINC (ZINC SULFATE)","1","MG","02552787"
"104239","270","ADDED","approved","ACETAMINOPHEN","650","MG","02553457"
"104175","2001","ADDED","approved","CHROMIUM (CHROMIC CHLORIDE)","2","MCG","02552787"
"104183","19249","ADDED","approved","SUNITINIB (SUNITINIB MALATE)","12.5","MG","02552892"
"104181","7218","ADDED","approved","IODINE","1.75","%","02552841"
