drug_code,drug_identification_number,current_brand_name,previous_brand_name
"10009","00799823","DIANEAL PD101 CAPD SOLUTION WITH 2.5% DEXTROSE","DIANEAL PD 101 CAPD SOLUTION W 2.5% DEXTROSE"
"100782","02518511","JAMP MYCOPHENOLIC ACID","MYCOPHENOLIC ACID"
"100783","02518538","JAMP MYCOPHENOLIC ACID","MYCOPHENOLIC ACID"
"10143","00799807","DIANEAL PD101 CAPD SOLUTION WITH 4.25% DEXTROSE","DIANEAL PD 101 CAPD SOLUTION W 4.25% DEXTROSE"
"10144","00799815","DIANEAL PD101 CAPD SOLUTION WITH 1.5% DEXTROSE","DIANEAL PD 101 CAPD SOLUTION W 1.5% DEXTROSE"
"10512","00799793","DIANEAL PD101 CAPD SOLUTION WITH 0.5% DEXTROSE","DIANEAL PD 101 CAPD SOLUTION W 0.5% DEXTROSE"
"62547","02239091","ATACAND","ATACAND TAB 8MG"
"62548","02239092","ATACAND","ATACAND TAB 16 MG"
"69763","02245663","APO-TRIMEBUTINE","TRIMEBUTINE"
"69764","02245664","APO-TRIMEBUTINE","TRIMEBUTINE"
"79491","02309300","AERIUS SINUS + ALLERGY","AERIUS DOUBLE ACTION 12 HOUR"
"91265","02428172","PANTOPRAZOLE","PANTOPRAZOLE-20"
"91266","02428180","PANTOPRAZOLE","PANTOPRAZOLE-40"
"93851","02452073","TARO-TADALAFIL","RAN-TADALAFIL"
"93854","02452111","TARO-TADALAFIL","RAN-TADALAFIL"
"95012","02462362","ETHACRYNATE SODIUM","VPI-ETHACRYNATE SODIUM"
"9627","00789798","ACETAMINOPHEN TABLETS 500 MG","ACETAMINOPHEN TAB 500MG USP"
"97699","02486822","BENZTROPINE","VPI-BENZTROPINE"
"19758","02182858","NU-LEVOCARB","NU-LEVOCARB - TABLETS 25 MG/250 MG"
"19766","02182831","NU-LEVOCARB","NU-LEVOCARB - TAB 10MG/100MG"
"19767","02182823","NU-LEVOCARB","NU-LEVOCARB - TAB 25 MG/100 MG"
"47492","02229569","NU-MEFENAMIC","NU-MEFENAMIC 250 MG"
"93852","02452081","TARO-TADALAFIL","RAN-TADALAFIL"
"93853","02452103","TARO-TADALAFIL","RAN-TADALAFIL"
