tm_code,tm_formal_name,tm_fr_description,changes
"8002332","caffeine","caféine","ADDED"
"8001702","benzalkonium and pramoxine","benzalkonium et pramoxine","tm_fr_description: ""benzalkonium et pramoxime"" -> ""benzalkonium et pramoxine"""
"8001797","hydrocortisone and pramoxine","hydrocortisone et pramoxine","tm_fr_description: ""hydrocortisone et pramoxime"" -> ""hydrocortisone et pramoxine"""
"8002228","iron dextran","fer dextran","tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""19960906"" -> ""20200813"""
"8001461","ertugliflozin and sitagliptin","ertugliflozine et sitagliptine","tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""20180613"" -> ""20200810"""
"8002336","pramoxine","pramoxine","ADDED"
"8001659","glycopyrrolate","glycopyrrolate","DELETED"
"8001848","menthol and pramoxine","menthol et pramoxine","tm_fr_description: ""menthol et pramoxime"" -> ""menthol et pramoxine"""
"8001749","dimethicone and menthol and pramoxine","diméthicone et menthol et pramoxine","tm_fr_description: ""diméthicone et menthol et pramoxime"" -> ""diméthicone et menthol et pramoxine"""
"8002338","halobetasol and tazarotene","halobétasol et tazarotène","ADDED"
"8001798","hydrocortisone and pramoxine and zinc sulfate","hydrocortisone et pramoxine et sulfate de zinc","tm_fr_description: ""hydrocortisone et pramoxime et sulfate de zinc"" -> ""hydrocortisone et pramoxine et sulfate de zinc"""
"8002339","indacaterol and mometasone","indacatérol et mométasone","ADDED"
"8001708","calamine and pramoxine","calamine et pramoxine","tm_fr_description: ""calamine et pramoxime"" -> ""calamine et pramoxine"""
"8001857","methylnaltrexone","méthylnaltrexone","tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""20080507"" -> ""20200730"""
"8001873","pramoxine and zinc sulfate","pramoxine et sulfate de zinc","tm_fr_description: ""pramoxime et sulfate de zinc"" -> ""pramoxine et sulfate de zinc"""
"8001872","pramoxine and zinc acetate","pramoxine et acétate de zinc","tm_fr_description: ""pramoxime et acétate de zinc"" -> ""pramoxine et acétate de zinc"""
"8002340","tibolone","tibolone","ADDED"
"8001425","ziprasidone","ziprasidone","tm_fr_description: ""zaprasidone"" -> ""ziprasidone"""
