mp_code,mp_formal_name,mp_fr_description,changes
"00000841","ISOPTO CARPINE (pilocarpine hydrochloride 1 % ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC","ISOPTO CARPINE (chlorhydrate de pilocarpine 1 % gouttes ophtalmiques) NOVARTIS PHARMACEUTICALS CANADA INC","mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19591231"" -> ""20170524"""
"00363014","PROCTOFOAM HC (hydrocortisone acetate 1 % and pramoxine hydrochloride 1 % rectal foam) DUCHESNAY INC","PROCTOFOAM HC (acétate d'hydrocortisone 1 % et chlorhydrate de pramoxine 1 % mousse rectale) DUCHESNAY INC","mp_fr_description: ""PROCTOFOAM HC (acétate d'hydrocortisone 1 % et chlorhydrate de pramoxime 1 % mousse rectale) DUCHESNAY INC"" -> ""PROCTOFOAM HC (acétate d'hydrocortisone 1 % et chlorhydrate de pramoxine 1 % mousse rectale) DUCHESNAY INC"""
"00451207","TIMOPTIC (timolol (timolol maleate) 0.5 % ophthalmic drops) ELVIUM LIFE SCIENCES","TIMOPTIC (timolol (maléate de timolol) 0,5 % gouttes ophtalmiques) ELVIUM LIFE SCIENCES","mp_formal_name: ""TIMOPTIC (timolol (timolol maleate) 0.5 % ophthalmic drops) PURDUE PHARMA"" -> ""TIMOPTIC (timolol (timolol maleate) 0.5 % ophthalmic drops) ELVIUM LIFE SCIENCES""
mp_fr_description: ""TIMOPTIC (timolol (maléate de timolol) 0,5 % gouttes ophtalmiques) PURDUE PHARMA"" -> ""TIMOPTIC (timolol (maléate de timolol) 0,5 % gouttes ophtalmiques) ELVIUM LIFE SCIENCES"""
"00476242","ANUGESIC-HC SUPPOSITORIES (hydrocortisone acetate 10 mg and pramoxine hydrochloride 20 mg and zinc sulfate 10 mg suppository) MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC","ANUGESIC-HC SUPPOSITORIES (acétate d'hydrocortisone 10 mg et chlorhydrate de pramoxine 20 mg et sulfate de zinc 10 mg suppositoire) MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC","mp_fr_description: ""ANUGESIC-HC SUPPOSITORIES (acétate d'hydrocortisone 10 mg et chlorhydrate de pramoxime 20 mg et sulfate de zinc 10 mg suppositoire) MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"" -> ""ANUGESIC-HC SUPPOSITORIES (acétate d'hydrocortisone 10 mg et chlorhydrate de pramoxine 20 mg et sulfate de zinc 10 mg suppositoire) MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"""
"00505781","ANUGESIC-HC OINTMENT (hydrocortisone acetate 0.5 % and pramoxine hydrochloride 1 % and zinc sulfate 0.5 % rectal ointment) MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC","ANUGESIC-HC OINTMENT (acétate d'hydrocortisone 0,5 % et chlorhydrate de pramoxine 1 % et sulfate de zinc 0,5 % pommade rectale) MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC","mp_fr_description: ""ANUGESIC-HC OINTMENT (acétate d'hydrocortisone 0,5 % et chlorhydrate de pramoxime 1 % et sulfate de zinc 0,5 % pommade rectale) MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"" -> ""ANUGESIC-HC OINTMENT (acétate d'hydrocortisone 0,5 % et chlorhydrate de pramoxine 1 % et sulfate de zinc 0,5 % pommade rectale) MCNEIL CONSUMER HEALTHCARE DIVISION OF JOHNSON & JOHNSON INC"""
"00755575","MODECATE CONCENTRATE (fluphenazine decanoate 100 mg per 1 mL solution for injection ampoule) BRISTOL-MYERS SQUIBB CANADA","MODECATE CONCENTRATE (décanoate de fluphénazine 100 mg par 1 mL solution injectable ampoule) BRISTOL-MYERS SQUIBB CANADA","mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19901231"" -> ""20181230"""
"00770957","PRAMOX HC CREAM (hydrocortisone (hydrocortisone acetate) 1 % and pramoxine hydrochloride 1 % cutaneous cream) DERMTEK PHARMA INC","PRAMOX HC CREAM (hydrocortisone (acétate d'hydrocortisone) 1 % et chlorhydrate de pramoxine 1 % crème cutanée) DERMTEK PHARMA INC","mp_fr_description: ""PRAMOX HC CREAM (hydrocortisone (acétate d'hydrocortisone) 1 % et chlorhydrate de pramoxime 1 % crème cutanée) DERMTEK PHARMA INC"" -> ""PRAMOX HC CREAM (hydrocortisone (acétate d'hydrocortisone) 1 % et chlorhydrate de pramoxine 1 % crème cutanée) DERMTEK PHARMA INC"""
"00851256","DECONGESTANT NOSE DROPS 0.1% (xylometazoline hydrochloride 0.1 % nasal drops) LABORATOIRES CONFAB INC","DECONGESTANT NOSE DROPS 0.1% (chlorhydrate de xylométazoline 0,1 % gouttes nasales) LABORATOIRES CONFAB INC","mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19911231"" -> ""20200730"""
"01926683","CERUBIDINE (daunorubicin (daunorubicin hydrochloride) 20 mg per vial powder for solution for injection) ERFA CANADA 2012 INC","CERUBIDINE (daunorubicine (chlorhydrate de daunorubicine) 20 mg par fiole poudre pour solution injectable) ERFA CANADA 2012 INC","Health_Canada_product_name: ""CERUBIDINE 20MG/VIAL"" -> ""CERUBIDINE""
mp_formal_name: ""CERUBIDINE 20MG/VIAL (daunorubicin (daunorubicin hydrochloride) 20 mg per vial powder for solution for injection) ERFA CANADA 2012 INC"" -> ""CERUBIDINE (daunorubicin (daunorubicin hydrochloride) 20 mg per vial powder for solution for injection) ERFA CANADA 2012 INC""
mp_fr_description: ""CERUBIDINE 20MG/VIAL (daunorubicine (chlorhydrate de daunorubicine) 20 mg par fiole poudre pour solution injectable) ERFA CANADA 2012 INC"" -> ""CERUBIDINE (daunorubicine (chlorhydrate de daunorubicine) 20 mg par fiole poudre pour solution injectable) ERFA CANADA 2012 INC"""
"01942921","POLYTOPIC (bacitracin 500 unit per g and polymyxin B (polymyxin B sulfate) 10000 unit per g cutaneous ointment) SANDOZ CANADA INCORPORATED","POLYTOPIC (bacitracine 500 unité par g et polymyxine B (sulfate de polymyxine B) 10000 unité par g pommade cutanée) SANDOZ CANADA INCORPORATED","mp_status: ""INACTIVE"" -> ""ACTIVE""
mp_status_effective_time: ""20200720"" -> ""19931231"""
"01945904","ANUSOL PLUS SUPPOSITORIES (pramoxine hydrochloride 20 mg and zinc sulfate 10 mg suppository) CHURCH & DWIGHT CANADA CORP","ANUSOL PLUS SUPPOSITORIES (chlorhydrate de pramoxine 20 mg et sulfate de zinc 10 mg suppositoire) CHURCH & DWIGHT CANADA CORP","mp_fr_description: ""ANUSOL PLUS SUPPOSITORIES (chlorhydrate de pramoxime 20 mg et sulfate de zinc 10 mg suppositoire) CHURCH & DWIGHT CANADA CORP"" -> ""ANUSOL PLUS SUPPOSITORIES (chlorhydrate de pramoxine 20 mg et sulfate de zinc 10 mg suppositoire) CHURCH & DWIGHT CANADA CORP"""
"01945912","ANUSOL PLUS OINTMENT (pramoxine hydrochloride 1 % and zinc sulfate 0.5 % rectal ointment) CHURCH & DWIGHT CANADA CORP","ANUSOL PLUS OINTMENT (chlorhydrate de pramoxine 1 % et sulfate de zinc 0,5 % pommade rectale) CHURCH & DWIGHT CANADA CORP","mp_fr_description: ""ANUSOL PLUS OINTMENT (chlorhydrate de pramoxime 1 % et sulfate de zinc 0,5 % pommade rectale) CHURCH & DWIGHT CANADA CORP"" -> ""ANUSOL PLUS OINTMENT (chlorhydrate de pramoxine 1 % et sulfate de zinc 0,5 % pommade rectale) CHURCH & DWIGHT CANADA CORP"""
"01954210","PRAMOX HC LOTION (hydrocortisone (hydrocortisone acetate) 1 % and pramoxine hydrochloride 1 % lotion) DERMTEK PHARMA INC","PRAMOX HC LOTION (hydrocortisone (acétate d'hydrocortisone) 1 % et chlorhydrate de pramoxine 1 % lotion) DERMTEK PHARMA INC","mp_fr_description: ""PRAMOX HC LOTION (hydrocortisone (acétate d'hydrocortisone) 1 % et chlorhydrate de pramoxime 1 % lotion) DERMTEK PHARMA INC"" -> ""PRAMOX HC LOTION (hydrocortisone (acétate d'hydrocortisone) 1 % et chlorhydrate de pramoxine 1 % lotion) DERMTEK PHARMA INC"""
"01984837","BONEFOS (clodronate disodium (clodronate disodium tetrahydrate) 300 mg per 5 mL solution for injection ampoule) BAYER INC","BONEFOS (clodronate disodique (clodronate disodique tetrahydraté) 300 mg par 5 mL solution injectable ampoule) BAYER INC","mp_fr_description: ""BONEFOS (clodronate disodique (clodronate disodique tetrahydrate) 300 mg par 5 mL solution injectable ampoule) BAYER INC"" -> ""BONEFOS (clodronate disodique (clodronate disodique tetrahydraté) 300 mg par 5 mL solution injectable ampoule) BAYER INC"""
"01984845","BONEFOS (clodronate disodium (clodronate disodium tetrahydrate) 400 mg oral capsule) BAYER INC","BONEFOS (clodronate disodique (clodronate disodique tetrahydraté) 400 mg capsule orale) BAYER INC","mp_fr_description: ""BONEFOS (clodronate disodique (clodronate disodique tetrahydrate) 400 mg capsule orale) BAYER INC"" -> ""BONEFOS (clodronate disodique (clodronate disodique tetrahydraté) 400 mg capsule orale) BAYER INC"""
"02007959","COUMADIN TAB 4MG (warfarin sodium 4 mg oral tablet) BRISTOL-MYERS SQUIBB CANADA","COUMADIN TAB 4MG (warfarine sodique 4 mg comprimé oral) BRISTOL-MYERS SQUIBB CANADA","mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19921231"" -> ""20200625"""
"02171899","TIMOPTIC-XE (timolol (timolol maleate) 0.5 % prolonged-release eye drops) ELVIUM LIFE SCIENCES","TIMOPTIC-XE (timolol (maléate de timolol) 0,5 % gouttes ophtalmiques à libération prolongée) ELVIUM LIFE SCIENCES","mp_formal_name: ""TIMOPTIC-XE (timolol (timolol maleate) 0.5 % prolonged-release eye drops) PURDUE PHARMA"" -> ""TIMOPTIC-XE (timolol (timolol maleate) 0.5 % prolonged-release eye drops) ELVIUM LIFE SCIENCES""
mp_fr_description: ""TIMOPTIC-XE (timolol (maléate de timolol) 0,5 % gouttes ophtalmiques à libération prolongée) PURDUE PHARMA"" -> ""TIMOPTIC-XE (timolol (maléate de timolol) 0,5 % gouttes ophtalmiques à libération prolongée) ELVIUM LIFE SCIENCES"""
"02205963","DEXIRON (iron (iron dextran) 100 mg per 2 mL solution for injection vial) AMERICAN REGENT, INC","DEXIRON (fer (fer dextran) 100 mg par 2 mL solution injectable fiole) AMERICAN REGENT, INC","mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19960906"" -> ""20200813"""
"02218887","HEMORRHOIDAL OINTMENT (pramoxine hydrochloride 1 % and zinc sulfate monohydrate 0.5 % rectal ointment) PHARMASCIENCE INC","HEMORRHOIDAL OINTMENT (chlorhydrate de pramoxine 1 % et monohydrate de sulfate de zinc 0,5 % pommade rectale) PHARMASCIENCE INC","mp_fr_description: ""HEMORRHOIDAL OINTMENT (chlorhydrate de pramoxime 1 % et monohydrate de sulfate de zinc 0,5 % pommade rectale) PHARMASCIENCE INC"" -> ""HEMORRHOIDAL OINTMENT (chlorhydrate de pramoxine 1 % et monohydrate de sulfate de zinc 0,5 % pommade rectale) PHARMASCIENCE INC"""
"02224550","DIABETA (glyburide 2.5 mg oral tablet) SANOFI-AVENTIS CANADA INC","DIABETA (glyburide 2,5 mg comprimé oral) SANOFI-AVENTIS CANADA INC","mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19970528"" -> ""20200507"""
"02229656","MYLAN-METFORMIN (metformin hydrochloride 850 mg oral tablet) MYLAN PHARMACEUTICALS ULC","MYLAN-METFORMIN (chlorhydrate de metformine 850 mg comprimé oral) MYLAN PHARMACEUTICALS ULC","mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19970512"" -> ""20180717"""
"02234466","PROCTODAN-HC OINTMENT (hydrocortisone acetate 0.5 % and pramoxine hydrochloride 1 % and zinc sulfate 0.5 % rectal ointment) ODAN LABORATORIES LTD","PROCTODAN-HC OINTMENT (acétate d'hydrocortisone 0,5 % et chlorhydrate de pramoxine 1 % et sulfate de zinc 0,5 % pommade rectale) ODAN LABORATORIES LTD","mp_fr_description: ""PROCTODAN-HC OINTMENT (acétate d'hydrocortisone 0,5 % et chlorhydrate de pramoxime 1 % et sulfate de zinc 0,5 % pommade rectale) ODAN LABORATORIES LTD"" -> ""PROCTODAN-HC OINTMENT (acétate d'hydrocortisone 0,5 % et chlorhydrate de pramoxine 1 % et sulfate de zinc 0,5 % pommade rectale) ODAN LABORATORIES LTD"""
"02236466","PMS-DOMPERIDONE (domperidone (domperidone maleate) 10 mg oral tablet) PHARMASCIENCE INC","PMS-DOMPERIDONE (dompéridone (maléate de dompéridone) 10 mg comprimé oral) PHARMASCIENCE INC","mp_status: ""INACTIVE"" -> ""ACTIVE""
mp_status_effective_time: ""20200724"" -> ""19971113"""
"02236991","GOLD BOND MEDICATED ANTI-ITCH CREAM (menthol 1 % and pramoxine hydrochloride 1 % cutaneous cream) SANOFI CONSUMER HEALTH INC SANOFI SANTE GRAND PUBLIC INC","GOLD BOND MEDICATED ANTI-ITCH CREAM (menthol 1 % et chlorhydrate de pramoxine 1 % crème cutanée) SANOFI CONSUMER HEALTH INC SANOFI SANTE GRAND PUBLIC INC","mp_fr_description: ""GOLD BOND MEDICATED ANTI-ITCH CREAM (menthol 1 % et chlorhydrate de pramoxime 1 % crème cutanée) SANOFI CONSUMER HEALTH INC SANOFI SANTE GRAND PUBLIC INC"" -> ""GOLD BOND MEDICATED ANTI-ITCH CREAM (menthol 1 % et chlorhydrate de pramoxine 1 % crème cutanée) SANOFI CONSUMER HEALTH INC SANOFI SANTE GRAND PUBLIC INC"""
"02239757","BACTROBAN CREAM (mupirocin (mupirocin calcium) 2 % cutaneous cream) GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC","BACTROBAN CREAM (mupirocine (mupirocine calcique) 2 % crème cutanée) GLAXOSMITHKLINE CONSUMER HEALTHCARE ULC","mp_status: ""ACTIVE"" -> ""INACTIVE""
mp_status_effective_time: ""19990413"" -> ""20200724"""
"02240105","AVEENO ANTI-ITCH LOTION (calamine 3 % and pramoxine hydrochloride 1 % lotion) JOHNSON & JOHNSON INC","AVEENO ANTI-ITCH LOTION (calamine 3 % et chlorhydrate de pramoxine 1 % lotion) JOHNSON & JOHNSON INC","mp_fr_description: ""AVEENO ANTI-ITCH LOTION (calamine 3 % et chlorhydrate de pramoxime 1 % lotion) JOHNSON & JOHNSON INC"" -> ""AVEENO ANTI-ITCH LOTION (calamine 3 % et chlorhydrate de pramoxine 1 % lotion) JOHNSON & JOHNSON INC"""
"02240113","COSOPT (dorzolamide (dorzolamide hydrochloride) 20 mg per mL and timolol (timolol maleate) 5 mg per mL ophthalmic drops) ELVIUM LIFE SCIENCES","COSOPT (dorzolamide (chlorhydrate de dorzolamide) 20 mg par mL et timolol (maléate de timolol) 5 mg par mL gouttes ophtalmiques) ELVIUM LIFE SCIENCES","mp_formal_name: ""COSOPT (dorzolamide (dorzolamide hydrochloride) 20 mg per mL and timolol (timolol maleate) 5 mg per mL ophthalmic drops) PURDUE PHARMA"" -> ""COSOPT (dorzolamide (dorzolamide hydrochloride) 20 mg per mL and timolol (timolol maleate) 5 mg per mL ophthalmic drops) ELVIUM LIFE SCIENCES""
mp_fr_description: ""COSOPT (dorzolamide (chlorhydrate de dorzolamide) 20 mg par mL et timolol (maléate de timolol) 5 mg par mL gouttes ophtalmiques) PURDUE PHARMA"" -> ""COSOPT (dorzolamide (chlorhydrate de dorzolamide) 20 mg par mL et timolol (maléate de timolol) 5 mg par mL gouttes ophtalmiques) ELVIUM LIFE SCIENCES"""
