drug_code,pharm_form_code,pharmaceutical_form,status,drug_identification_number
"103274","134","SOLUTION","ADDED","02544210"
"95338","34","LIQUID","REMOVED","02465175"
"95335","34","LIQUID","REMOVED","02465140"
"100464","85","TABLET","ADDED","02515237"
"95336","134","SOLUTION","ADDED","02465159"
"103219","134","SOLUTION","ADDED","02543745"
"69443","34","LIQUID","REMOVED","02245399"
"93278","85","TABLET","REMOVED","02447215"
"103213","75","TABLET (EXTENDED-RELEASE)","ADDED","02543672"
"103234","134","SOLUTION","ADDED","02543915"
"100799","85","TABLET","ADDED","02518694"
"103214","75","TABLET (EXTENDED-RELEASE)","ADDED","02543680"
"11641","134","SOLUTION","ADDED","00893285"
"100798","85","TABLET","ADDED","02518686"
"103218","85","TABLET","ADDED","02543737"
"103197","85","TABLET","ADDED","02543516"
"103276","134","SOLUTION","ADDED","02544237"
"93280","85","TABLET","REMOVED","02447258"
"95338","134","SOLUTION","ADDED","02465175"
"103239","56","POWDER FOR SOLUTION","ADDED","02543974"
"103273","134","SOLUTION","ADDED","02544202"
"103201","134","SOLUTION","ADDED","02543559"
"103270","167","FILM, SOLUBLE","ADDED","02544172"
"103202","134","SOLUTION","ADDED","02543567"
"103245","85","TABLET","ADDED","02544024"
"103271","134","SOLUTION","ADDED","02544180"
"99748","85","TABLET","ADDED","02508125"
"103211","55","POWDER","ADDED","02543664"
"103246","85","TABLET","ADDED","02544032"
"11641","34","LIQUID","REMOVED","00893285"
"69443","134","SOLUTION","ADDED","02245399"
"64453","85","TABLET","REMOVED","02240862"
"103237","134","SOLUTION","ADDED","02543958"
"100796","85","TABLET","ADDED","02518651"
"68066","85","TABLET","REMOVED","02244107"
"103216","85","TABLET","ADDED","02543710"
"103240","5","CAPSULE","ADDED","02543990"
"103233","134","SOLUTION","ADDED","02543907"
"93278","150","TABLET (IMMEDIATE RELEASE)","ADDED","02447215"
"103261","56","POWDER FOR SOLUTION","ADDED","02544083"
"100466","85","TABLET","ADDED","02515253"
"100797","85","TABLET","ADDED","02518678"
"93280","150","TABLET (IMMEDIATE RELEASE)","ADDED","02447258"
"93276","85","TABLET","REMOVED","02447193"
"103190","85","TABLET","ADDED","02543435"
"60247","85","TABLET","REMOVED","02236953"
"102761","59","SHAMPOO","ADDED","02538954"
"60246","150","TABLET (IMMEDIATE RELEASE)","ADDED","02236952"
"103205","132","TABLET (ORALLY DISINTEGRATING)","ADDED","02543605"
"93276","150","TABLET (IMMEDIATE RELEASE)","ADDED","02447193"
"103241","56","POWDER FOR SOLUTION","ADDED","02543982"
"93279","150","TABLET (IMMEDIATE RELEASE)","ADDED","02447223"
"60245","85","TABLET","REMOVED","02236951"
"99747","85","TABLET","ADDED","02508117"
"103196","85","TABLET","ADDED","02543508"
"99749","85","TABLET","ADDED","02508133"
"64453","150","TABLET (IMMEDIATE RELEASE)","ADDED","02240862"
"103272","134","SOLUTION","ADDED","02544199"
"103207","85","TABLET","ADDED","02543613"
"60246","85","TABLET","REMOVED","02236952"
"95335","134","SOLUTION","ADDED","02465140"
"103266","134","SOLUTION","ADDED","02544148"
"21854","134","SOLUTION","ADDED","01931814"
"21854","34","LIQUID","REMOVED","01931814"
"100465","85","TABLET","ADDED","02515245"
"95336","34","LIQUID","REMOVED","02465159"
"103262","56","POWDER FOR SOLUTION","ADDED","02544091"
"103217","85","TABLET","ADDED","02543729"
"60247","150","TABLET (IMMEDIATE RELEASE)","ADDED","02236953"
"99750","85","TABLET","ADDED","02508141"
"68066","150","TABLET (IMMEDIATE RELEASE)","ADDED","02244107"
"60245","150","TABLET (IMMEDIATE RELEASE)","ADDED","02236951"
"93279","85","TABLET","REMOVED","02447223"
