drug_code,drug_identification_number,current_brand_name,previous_brand_name
"11641","00893285","NOREPINEPHRINE BITARTRATE INJECTION USP","NOREPINEPHRINE BITARTRATE INJ 1MG/ML USP"
"19419","01977474","ACETAMINOPHEN CAPLETS 500 MG","ACETAMINOPHEN CAPLET 500MG"
"2790","00416010","DEXAMETHASONE POWDER","DEXAMETHASONE PWR"
"60294","02236996","LYDERM","LYDERM OINTMENT 0.05%"
"60295","02236997","LYDERM","LYDERM GEL 0.05%"
"82774","02342235","MYLAN-ELETRIPTAN","GD-ELETRIPTAN"
"82775","02342243","MYLAN-ELETRIPTAN","GD-ELETRIPTAN"
"9276","00716863","LYDERM","LYDERM CREAM 0.05%"
"92768","02443112","TEVA-OLMESARTAN / HCT","ACT OLMESARTAN HCT"
"92771","02443120","TEVA-OLMESARTAN / HCT","ACT OLMESARTAN HCT"
"92772","02443139","TEVA-OLMESARTAN / HCT","ACT OLMESARTAN HCT"
"98570","02495805","PMS-CYCLOSPORINE","CYCLOSPORINE CAPSULES"
"98571","02495813","PMS-CYCLOSPORINE","CYCLOSPORINE CAPSULES"
"98572","02495821","PMS-CYCLOSPORINE","CYCLOSPORINE CAPSULES"
"19405","02148595","PMS-ESTRADIOL","ESTRACE"
"19406","02148587","PMS-ESTRADIOL","ESTRACE"
"2008","00308455","DEXAMETHASONE INJECTION","DEXAMETHASONE INJ 2MG/ML"
"43420","02225190","PMS-ESTRADIOL","ESTRACE"
"25876","02008459","NUGEN S-21","LONZA FORMULATION S-21"
"21854","01931814","NUGEN R-82","LONZA FORMULATION R-82"
"21855","01931822","NUGEN S-18","LONZA FORMULATION S-18"
"69442","02245398","NUGEN S-18F","LONZA FORMULATION S-18F"
"69443","02245399","NUGEN R-82F","LONZA FORMULATION R-82F"
"71516","02247273","NUGEN DC-103","LONZA FORMULATION DC103"
"95334","02465132","NUGEN RCS-256 PLUS","LONZAGARD RCS-256"
"95335","02465140","NUGEN RCS-128 PLUS","LONZAGARD RCS-128"
"95336","02465159","NUGEN RCS-128","LONZAGARD RCS-128 NV"
"95338","02465175","NUGEN RCS-256","LONZAGARD RCS-256 NV"
"97926","02489163","NRA-ESCITALOPRAM","ESCITALOPRAM"
"97928","02489198","NRA-ESCITALOPRAM","ESCITALOPRAM"
"98182","02491826","NUGEN R-82G","LONZAGARD R-82G"
"96467","02474514","APO-TACROLIMUS CAPSULES","APO-TACROLIMUS"
"96466","02474506","APO-TACROLIMUS CAPSULES","APO-TACROLIMUS"
