drug_code,drug_identification_number,current_brand_name,previous_brand_name
"12419","01926306","PANECTYL","PANECTYL TAB 2.5MG"
"12549","01927744","PARSITAN 50","PARSITAN 50MG"
"12651","01926292","PANECTYL","PANECTYL TAB 5MG"
"16701","02078759","HUMATIN","HUMATIN CAP 250MG"
"19099","02155907","ADALAT XL","ADALAT XL - SRT 30MG"
"2146","00323098","FLAMAZINE","FLAMAZINE CRM 1%"
"2789","00312363","CHLOROMYCETIN SUCCINATE INJECTION","CHLOROMYCETIN SUCCINATE INJECTION 1GM"
"316","00024694","ATARAX","ATARAX SYRUP 2MG/ML"
"4258","00476374","CHOLEDYL EXPECTORANT","CHOLEDYL EXPECTORANT ELIXIR"
"47181","02229380","CLOTRIMAZOLE TOPICAL","CLOTRIMAZOLE CREAM USP 1%"
"50656","02231347","SPORANOX","SPORANOX ORAL SOLUTION 10MG/ML"
"5524","00476420","COLY-MYCIN M","COLY-MYCIN M PARENTERAL"
"6171","00614491","DOLORAL 1 SIROP 1MG/ML","DOLORAL 1"
"69667","02245571","BACIJECT","BACIJECT 50,000 UNITS/VIAL"
"731","00023485","ZARONTIN SYRUP","ZARONTIN SYR 250MG/5ML"
"77067","02285169","AA-METOPROLOL SR","APO-METOPROLOL SR"
"771","00022799","ZARONTIN","ZARONTIN CAP 250MG"
"772","00023949","THYROID","THYROID TAB 30MG"
"773","00023957","THYROID","THYROID TAB 60MG"
"774","00023965","THYROID","THYROID TAB 125MG"
"86627","02380463","JAMP RIZATRIPTAN","JAMP-RIZATRIPTAN"
"88453","02399679","PYRITHIONE ZINC DANDRUFF SHAMPOO DRY SCALP CARE","HEAD & SHOULDERS DRY SCALP CARE"
"89374","02409003","NATCO-CITALOPRAM","NAT-CITALOPRAM"
"94867","02461188","OLAY COMPLETE 30 UVA/UVB 365 DAILY MOISTURIZING LOTION WITH SPF BROAD SPECTRUM SPF 30 SENSITIVE","OLAY COMPLETE UV365* DAILY MOISTURIZING LOTION WITH SUNSCREEN BROAD SPECTRUM SPF 30 SENSITIVE"
"94873","02461242","OLAY COMPLETE 15 UVA/UVB 365 DAILY MOISTURIZING LOTION WITH SPF BROAD SPECTRUM SPF 15 SENSITIVE","OLAY COMPLETE UV365* DAILY MOISTURIZING LOTION WITH SUNSCREEN BROAD SPECTRUM SPF 15 SENSITIVE"
"95983","02470780","AA-LANSOPRAZOLE-AMOXICILLIN-CLARITHROMYCIN","APO-LANSOPRAZOLE-AMOXICILLIN-CLARITHROMYCIN"
"19098","02155990","ADALAT XL","ADALAT XL - SRT 60MG"
"60957","02237618","ADALAT XL","ADALAT XL - SRT 20MG"
"61552","02238161","TAGAMET PREVENT","GAVISCON PREVENT EXTRA STRENGTH"
"16888","01988840","SOFRA-TULLE","SOFRA-TULLE DRESSING 1%"
"18285","01987682","SOFRA-TULLE","SOFRA-TULLE STRIP 1%"
"3966","00476366","CHOLEDYL","CHOLEDYL ELIXIR 100MG/5ML"
"4260","00476722","PYRIDIUM","PYRIDIUM 200MG"
"4388","00476714","PYRIDIUM","PYRIDIUM 100MG"
"5262","00582212","AMSA PD","AMSA PD INJ 50MG/ML"
"73562","02250675","NRA-ASA 80 MG CROQUABLE","EURO-ASA CHEWABLE TABLET"
"77068","02285177","AA-METOPROLOL SR","APO-METOPROLOL SR"
"86626","02380455","JAMP RIZATRIPTAN","JAMP-RIZATRIPTAN"
"60952","02237613","NUGEN RTU","LONZA FORMULATION RTU (COMMERCIAL)"
"92865","02443880","NATCO-CITALOPRAM","NAT-CITALOPRAM TABLETS"
"92866","02443899","NATCO-CITALOPRAM","NAT-CITALOPRAM TABLETS"
"100972","02520524","WIPES.COM DISINFECTANT WIPES","CHECKERS DISINFECTANT WIPES"
"101523","02526115","REZUROCK","RHOLISTIQ"
