mp_code,mp_fr_description,ntp_fr_description,tm_fr_description,changes
"00000809","ISOPTO TEARS 0.5% (hypromellose 0,5 % gouttes ophtalmiques) ALCON CANADA INC","hypromellose 0,5 % gouttes ophtalmiques","hypromellose","DELETED"
"00000817","ISOPTO TEARS 1% (hypromellose 1 % gouttes ophtalmiques) ALCON CANADA INC","hypromellose 1 % gouttes ophtalmiques","hypromellose","DELETED"
"00000841","ISOPTO CARPINE (chlorhydrate de pilocarpine 1 % gouttes ophtalmiques) NOVARTIS PHARMACEUTICALS CANADA INC","chlorhydrate de pilocarpine 1 % gouttes ophtalmiques","pilocarpine","DELETED"
"00000868","ISOPTO CARPINE (chlorhydrate de pilocarpine 2 % gouttes ophtalmiques) NOVARTIS PHARMACEUTICALS CANADA INC","chlorhydrate de pilocarpine 2 % gouttes ophtalmiques","pilocarpine","DELETED"
"00000884","ISOPTO CARPINE (chlorhydrate de pilocarpine 4 % gouttes ophtalmiques) NOVARTIS PHARMACEUTICALS CANADA INC","chlorhydrate de pilocarpine 4 % gouttes ophtalmiques","pilocarpine","DELETED"
"00000981","MYDRIACYL (tropicamide 0,5 % gouttes ophtalmiques) ALCON CANADA INC","tropicamide 0,5 % gouttes ophtalmiques","tropicamide","DELETED"
"00001007","MYDRIACYL (tropicamide 1 % gouttes ophtalmiques) ALCON CANADA INC","tropicamide 1 % gouttes ophtalmiques","tropicamide","DELETED"
"00001147","ALBALON (chlorhydrate de naphazoline 0,1 % gouttes ophtalmiques) ALLERGAN INC","chlorhydrate de naphazoline 0,1 % gouttes ophtalmiques","naphazoline","DELETED"
"00001694","XYLOCAINE JELLY 2% (chlorhydrate de lidocaïne 2 % gel muqueux 30 mL tube) ASPEN PHARMACARE CANADA INC.","chlorhydrate de lidocaïne 2 % gel muqueux 30 mL tube","lidocaïne","DELETED"
"00001791","XYLOCAINE 1% W EPINEPHRINE 1:100000 (épinéphrine (bitartrate d'épinéphrine) 0,2 mg par 20 mL et chlorhydrate de lidocaïne 200 mg par 20 mL solution injectable fiole) ASPEN PHARMACARE CANADA INC.","épinéphrine (bitartrate d'épinéphrine) 0,2 mg par 20 mL et chlorhydrate de lidocaïne 200 mg par 20 mL solution injectable fiole","épinéphrine et lidocaïne","DELETED"
"00001805","XYLOCAINE 1% W EPINEPHRINE 1:200000 (épinéphrine (bitartrate d'épinéphrine) 0,1 mg par 20 mL et chlorhydrate de lidocaïne 200 mg par 20 mL solution injectable fiole) ASPEN PHARMACARE CANADA INC.","épinéphrine (bitartrate d'épinéphrine) 0,1 mg par 20 mL et chlorhydrate de lidocaïne 200 mg par 20 mL solution injectable fiole","épinéphrine et lidocaïne","DELETED"
"00001937","XYLOCARD (chlorhydrate de lidocaïne 100 mg par 5 mL solution injectable ampoule) ASPEN PHARMACARE CANADA INC.","chlorhydrate de lidocaïne 100 mg par 5 mL solution injectable ampoule","lidocaïne","DELETED"
"00001961","XYLOCAINE OINTMENT 5% (lidocaïne 5 % pommade cutanée) ASPEN PHARMACARE CANADA INC.","lidocaïne 5 % pommade cutanée","lidocaïne","DELETED"
"00003875","DULCOLAX (bisacodyl 10 mg suppositoire) SANOFI CONSUMER HEALTH INC SANOFI SANTE GRAND PUBLIC INC","bisacodyl 10 mg suppositoire","bisacodyl","DELETED"
"00004596","IMURAN (azathioprine 50 mg comprimé oral) ASPEN PHARMACARE CANADA INC.","azathioprine 50 mg comprimé oral","azathioprine","DELETED"
"00004618","MYLERAN (busulfan 2 mg comprimé oral) ASPEN PHARMACARE CANADA INC.","busulfan 2 mg comprimé oral","busulfan","DELETED"
"00004626","LEUKERAN (chlorambucil 2 mg comprimé oral) ASPEN PHARMACARE CANADA INC.","chlorambucil 2 mg comprimé oral","chlorambucil","DELETED"
"00004715","ALKERAN (melphalan 2 mg comprimé oral) ASPEN PHARMACARE CANADA INC.","melphalan 2 mg comprimé oral","melphalan","DELETED"
"00004723","PURINETHOL (mercaptopurine 50 mg comprimé oral) TEVA CANADA LIMITED","mercaptopurine 50 mg comprimé oral","mercaptopurine","DELETED"
"00005606","RITALIN 10MG (chlorhydrate de méthylphénidate 10 mg comprimé oral) NOVARTIS PHARMACEUTICALS CANADA INC","chlorhydrate de méthylphénidate 10 mg comprimé oral","méthylphénidate","DELETED"
"00005614","RITALIN 20MG (chlorhydrate de méthylphénidate 20 mg comprimé oral) NOVARTIS PHARMACEUTICALS CANADA INC","chlorhydrate de méthylphénidate 20 mg comprimé oral","méthylphénidate","DELETED"
"00009881","PAPAVERINE HYDROCHLORIDE INJECTION USP (chlorhydrate de papavérine 65 mg par 2 mL solution injectable fiole) SANDOZ CANADA INCORPORATED","chlorhydrate de papavérine 65 mg par 2 mL solution injectable fiole","papavérine","DELETED"
"00010200","PROPYL-THYRACIL (propylthiouracile 50 mg comprimé oral) PALADIN LABS INC","propylthiouracile 50 mg comprimé oral","propylthiouracile","DELETED"
"00010219","PROPYL-THYRACIL (propylthiouracile 100 mg comprimé oral) PALADIN LABS INC","propylthiouracile 100 mg comprimé oral","propylthiouracile","DELETED"
"00010332","ENTROPHEN 325MG TABLETS (acide acétylsalicylique 325 mg comprimé gastrorésistant) PENDOPHARM DIVISION OF PHARMASCIENCE INC","acide acétylsalicylique 325 mg comprimé gastrorésistant","acide acétylsalicylique","DELETED"
"00010340","ENTROPHEN ECT 650MG (acide acétylsalicylique 650 mg comprimé gastrorésistant) PENDOPHARM DIVISION OF PHARMASCIENCE INC","acide acétylsalicylique 650 mg comprimé gastrorésistant","acide acétylsalicylique","DELETED"
"00010383","SINTROM (acénocoumarol 1 mg comprimé oral) PALADIN LABS INC","acénocoumarol 1 mg comprimé oral","acénocoumarol","DELETED"
"00010391","SINTROM (acénocoumarol 4 mg comprimé oral) PALADIN LABS INC","acénocoumarol 4 mg comprimé oral","acénocoumarol","DELETED"
"00010405","TEGRETOL 200MG (carbamazépine 200 mg comprimé oral) NOVARTIS PHARMACEUTICALS CANADA INC","carbamazépine 200 mg comprimé oral","carbamazépine","DELETED"
"00012750","MATULANE (procarbazine (chlorhydrate de procarbazine) 50 mg capsule orale) LEADIANT BIOSCIENCES, INC","procarbazine (chlorhydrate de procarbazine) 50 mg capsule orale","procarbazine","DELETED"
"00013285","VALIUM 5 TAB (diazépam 5 mg comprimé oral) HOFFMANN-LA ROCHE LIMITED","diazépam 5 mg comprimé oral","diazépam","DELETED"
"00013579","GRAVOL IM (dimenhydrinate 50 mg par 1 mL solution injectable fiole) CHURCH & DWIGHT CANADA CORP","dimenhydrinate 50 mg par 1 mL solution injectable fiole","dimenhydrinate","DELETED"
"00013609","GRAVOL COMFORT SHAPED SUPPOSITORIES (dimenhydrinate 100 mg suppositoire) CHURCH & DWIGHT CANADA CORP","dimenhydrinate 100 mg suppositoire","dimenhydrinate","DELETED"
"00013617","OVOL DROPS 40MG (siméticone 40 mg par mL gouttes orales) CHURCH & DWIGHT CANADA CORP","siméticone 40 mg par mL gouttes orales","siméticone","DELETED"
"00013668","ATASOL FORTE TAB 500MG (acétaminophène 500 mg comprimé oral) CHURCH & DWIGHT CANADA CORP","acétaminophène 500 mg comprimé oral","acétaminophène","DELETED"
"00013803","GRAVOL TABLETS (dimenhydrinate 50 mg comprimé oral) CHURCH & DWIGHT CANADA CORP","dimenhydrinate 50 mg comprimé oral","dimenhydrinate","DELETED"
"00015229","AVENTYL (nortriptyline (chlorhydrate de nortriptyline) 10 mg capsule orale) AA PHARMA INC","nortriptyline (chlorhydrate de nortriptyline) 10 mg capsule orale","nortriptyline","DELETED"
"00015237","AVENTYL (nortriptyline (chlorhydrate de nortriptyline) 25 mg capsule orale) AA PHARMA INC","nortriptyline (chlorhydrate de nortriptyline) 25 mg capsule orale","nortriptyline","DELETED"
"00015547","KEFLEX (céphalexine 125 mg par 5 mL suspension orale) PENDOPHARM DIVISION OF PHARMASCIENCE INC","céphalexine 125 mg par 5 mL suspension orale","céphalexine","DELETED"
