ntp_code,ntp_formal_name,ntp_fr_description,changes
"9000001","meperidine hydrochloride 50 mg oral tablet","chlorhydrate de mépéridine 50 mg comprimé oral","DELETED"
"9000002","levothyroxine sodium 50 mcg oral tablet","lévothyroxine sodique 50 mcg comprimé oral","DELETED"
"9000003","epinephrine (epinephrine hydrochloride) 1 mg per 1 mL solution for injection ampoule","épinéphrine (chlorhydrate d'épinéphrine) 1 mg par 1 mL solution injectable ampoule","DELETED"
"9000004","epinephrine (epinephrine hydrochloride) 1 mg per mL nasal spray","épinéphrine (chlorhydrate d'épinéphrine) 1 mg par mL vaporisation nasale","DELETED"
"9000005","epinephrine (epinephrine hydrochloride) 30 mg per 30 mL solution for injection ampoule","épinéphrine (chlorhydrate d'épinéphrine) 30 mg par 30 mL solution injectable ampoule","DELETED"
"9000006","phenytoin sodium 100 mg oral capsule","phénytoïne sodique 100 mg capsule orale","DELETED"
"9000007","phenytoin sodium 30 mg oral capsule","phénytoïne sodique 30 mg capsule orale","DELETED"
"9000008","phenytoin 50 mg oral tablet","phénytoïne 50 mg comprimé oral","DELETED"
"9000009","phenytoin 125 mg per 5 mL oral suspension","phénytoïne 125 mg par 5 mL suspension orale","DELETED"
"9000010","testosterone cypionate 1000 mg per 10 mL solution for injection vial","cypionate de testostérone 1000 mg par 10 mL solution injectable fiole","DELETED"
"9000011","hydrocortisone 10 mg oral tablet","hydrocortisone 10 mg comprimé oral","DELETED"
"9000012","hydrocortisone 20 mg oral tablet","hydrocortisone 20 mg comprimé oral","DELETED"
"9000013","testosterone enanthate 1000 mg per 5 mL solution for injection ampoule","énanthate de testostérone 1000 mg par 5 mL solution injectable ampoule","DELETED"
"9000014","hydroxyzine hydrochloride 10 mg per 5 mL syrup","chlorhydrate d'hydroxyzine 10 mg par 5 mL sirop","DELETED"
"9000015","methylphenidate hydrochloride 10 mg oral tablet","chlorhydrate de méthylphénidate 10 mg comprimé oral","DELETED"
"9000016","hydrocodone 5 mg and phenyltoloxamine 10 mg prolonged-release oral tablet","hydrocodone 5 mg et phényltoloxamine 10 mg comprimé oral à libération prolongée","DELETED"
"9000017","hydrocodone 5 mg per 5 mL and phenyltoloxamine 10 mg per 5 mL oral suspension","hydrocodone 5 mg par 5 mL et phényltoloxamine 10 mg par 5 mL suspension orale","DELETED"
"9000018","hydroxychloroquine sulfate 200 mg oral tablet","sulfate d'hydroxychloroquine 200 mg comprimé oral","DELETED"
"9000019","warfarin sodium 10 mg oral tablet","warfarine sodique 10 mg comprimé oral","DELETED"
"9000020","warfarin sodium 1 mg oral tablet","warfarine sodique 1 mg comprimé oral","DELETED"
"9000021","warfarin sodium 5 mg oral tablet","warfarine sodique 5 mg comprimé oral","DELETED"
"9000022","hydrocortisone (hydrocortisone sodium succinate) 100 mg per vial powder for solution for injection","hydrocortisone (succinate sodique d'hydrocortisone) 100 mg par fiole poudre pour solution injectable","DELETED"
"9000023","methylphenidate hydrochloride 20 mg oral tablet","chlorhydrate de méthylphénidate 20 mg comprimé oral","DELETED"
"9000024","prednisone 5 mg oral tablet","prednisone 5 mg comprimé oral","DELETED"
"9000025","spironolactone 25 mg oral tablet","spironolactone 25 mg comprimé oral","DELETED"
"9000026","medroxyprogesterone acetate 250 mg per 5 mL suspension for injection vial","acétate de médroxyprogestérone 250 mg par 5 mL suspension injectable fiole","DELETED"
"9000027","medroxyprogesterone acetate 5 mg oral tablet","acétate de médroxyprogestérone 5 mg comprimé oral","DELETED"
"9000028","norethindrone acetate 5 mg oral tablet","acétate de noréthindrone 5 mg comprimé oral","DELETED"
"9000029","hydrocortisone (hydrocortisone sodium succinate) 250 mg per vial powder for solution for injection","hydrocortisone (succinate sodique d'hydrocortisone) 250 mg par fiole poudre pour solution injectable","DELETED"
"9000030","conjugated estrogens 0.625 mg oral tablet","oestrogènes conjugués 0,625 mg comprimé oral","DELETED"
"9000031","acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 15 mg oral tablet","acétaminophène 300 mg et caféine 15 mg et phosphate de codéine 15 mg comprimé oral","DELETED"
"9000032","acetaminophen 300 mg and caffeine 15 mg and codeine phosphate 30 mg oral tablet","acétaminophène 300 mg et caféine 15 mg et phosphate de codéine 30 mg comprimé oral","DELETED"
"9000033","amitriptyline hydrochloride 10 mg oral tablet","chlorhydrate d'amitriptyline 10 mg comprimé oral","DELETED"
"9000034","nortriptyline (nortriptyline hydrochloride) 10 mg oral capsule","nortriptyline (chlorhydrate de nortriptyline) 10 mg capsule orale","DELETED"
"9000035","nortriptyline (nortriptyline hydrochloride) 25 mg oral capsule","nortriptyline (chlorhydrate de nortriptyline) 25 mg capsule orale","DELETED"
"9000036","azathioprine 50 mg oral tablet","azathioprine 50 mg comprimé oral","DELETED"
"9000037","dexamethasone 0.1 % ophthalmic ointment","dexaméthasone 0,1 % pommade ophtalmique","DELETED"
"9000038","hydrocortisone (hydrocortisone sodium succinate) 500 mg per vial powder for solution for injection","hydrocortisone (succinate sodique d'hydrocortisone) 500 mg par fiole poudre pour solution injectable","DELETED"
"9000039","quinine sulfate 200 mg oral capsule","sulfate de quinine 200 mg capsule orale","DELETED"
