drug_code,drug_identification_number,current_brand_name,previous_brand_name
"19312","02163152","LIDEMOL","LIDEMOL EMOLLIENT CREAM 0.05%"
"19667","00585092","DEPO-PROVERA","DEPO-PROVERA STERILE AQUEOUS SUSPENSION 150 MG/ML"
"49813","02230641","SELEGILINE","APO-SELEGILINE"
"64022","02240463","METACAM 0.5% INJECTION","METACAM (0.5% INJECTION FOR DOGS AND CATS)"
"88684","02401967","TRI-CIRA LO 21","TRICIRA LO"
"88685","02401975","TRI-CIRA LO 28","TRICIRA LO"
"89217","02407485","ACH-TELMISARTAN","TELMISARTAN TABLETS"
"89218","02407493","ACH-TELMISARTAN","TELMISARTAN TABLETS"
"89700","02412373","TARO-CELECOXIB","RAN-CELECOXIB"
"89701","02412381","TARO-CELECOXIB","RAN-CELECOXIB"
"91144","02426900","GLN-URSODIOL","URSODIOL TABLETS USP"
"91146","02426919","GLN-URSODIOL","URSODIOL TABLETS USP"
"94043","02453908","TEVA-BUPRENORPHINE/NALOXONE","ACT BUPRENORPHINE/NALOXONE"
"94044","02453916","TEVA-BUPRENORPHINE/NALOXONE","ACT BUPRENORPHINE/NALOXONE"
"95848","02469677","PINAVERIUM","APO-PINAVERIUM"
"95849","02469685","PINAVERIUM","APO-PINAVERIUM"
"18073","02158590","OXYBUTYNIN","NU-OXYBUTYN - TAB 5MG"
"18416","02162822","METFORMIN","NU-METFORMIN - TAB 500MG"
"441","00030848","DEPO-PROVERA","DEPO-PROVERA STERILE AQUEOUS SUSPENSION 50 MG/ML"
"47422","02229517","METFORMIN","NU-METFORMIN (850MG)"
"50221","02230943","OXYBUTYNIN SYRUP","NU-OXYBUTYN"
"89077","02406020","ACH-METFORMIN","METFORMIN TABLETS"
"89078","02406039","ACH-METFORMIN","METFORMIN TABLETS"
"89823","02413582","IMIQUIMOD","IMIQUIMOD 5%"
"98162","02491648","FAMILYGUARD BRAND DISINFECTANT CLEANER","SCRUBBING BUBBLES DISINFECTANT BATHROOM CLEANER"
