drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"103304","56","ORAL","ADDED","02544490"
"103284","56","ORAL","ADDED","02544326"
"103300","56","ORAL","ADDED","02544458"
"103297","56","ORAL","ADDED","02544415"
"85275","2","DISINFECTANT (Barn)","ADDED","02367920"
"103328","94","DISINFECTANT (Institutional/Industrial)","ADDED","02544717"
"103336","56","ORAL","ADDED","02544768"
"103285","49","INTRAVENOUS","ADDED","02544334"
"103350","56","ORAL","ADDED","02544865"
"103328","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02544717"
"100565","56","ORAL","ADDED","02516292"
"100074","53","NASAL","ADDED","02511568"
"101819","56","ORAL","ADDED","02528991"
"100567","56","ORAL","ADDED","02516314"
"103298","56","ORAL","ADDED","02544423"
"103281","56","ORAL","ADDED","02544288"
"103338","70","TOPICAL","ADDED","02544776"
"84385","49","INTRAVENOUS","ADDED","02358816"
"103359","56","ORAL","ADDED","02544970"
"103282","56","ORAL","ADDED","02544296"
"78514","56","ORAL","ADDED","02299771"
"101822","56","ORAL","ADDED","02529025"
"99809","104","TOPICAL (HOUSEHOLD)","REMOVED","02508745"
"103328","93","DISINFECTANT (Domestic)","ADDED","02544717"
"103296","56","ORAL","ADDED","02544407"
"103346","49","INTRAVENOUS","ADDED","02544822"
"101822","108","NASOGASTRIC","ADDED","02529025"
"103295","56","ORAL","ADDED","02544393"
"103348","49","INTRAVENOUS","ADDED","02544849"
"103286","49","INTRAVENOUS","ADDED","02544342"
"102864","70","TOPICAL","ADDED","02539926"
"99809","70","TOPICAL","ADDED","02508745"
"103293","56","ORAL","ADDED","02544377"
"103278","56","ORAL","ADDED","02544245"
"103280","56","ORAL","ADDED","02544261"
"103347","49","INTRAVENOUS","ADDED","02544830"
"102863","70","TOPICAL","ADDED","02539918"
"103326","94","DISINFECTANT (Institutional/Industrial)","ADDED","02544695"
"103323","56","ORAL","ADDED","02544660"
"103326","93","DISINFECTANT (Domestic)","ADDED","02544695"
"103342","56","ORAL","ADDED","02544792"
"103279","56","ORAL","ADDED","02544253"
"103294","56","ORAL","ADDED","02544385"
"103334","56","ORAL","ADDED","02544733"
"103333","56","ORAL","ADDED","02544725"
"101819","108","NASOGASTRIC","ADDED","02528991"
"103313","93","DISINFECTANT (Domestic)","ADDED","02544547"
"78515","56","ORAL","ADDED","02299798"
"103335","56","ORAL","ADDED","02544741"
"103283","56","ORAL","ADDED","02544318"
"103328","2","DISINFECTANT (Barn)","ADDED","02544717"
"103345","49","INTRAVENOUS","ADDED","02544814"
"103340","56","ORAL","ADDED","02544784"
"103321","56","ORAL","ADDED","02544644"
"100566","56","ORAL","ADDED","02516306"
"103313","94","DISINFECTANT (Institutional/Industrial)","ADDED","02544547"
"103303","56","ORAL","ADDED","02544482"
"103299","56","ORAL","ADDED","02544431"
"103322","56","ORAL","ADDED","02544652"
"103291","49","INTRAVENOUS","ADDED","02544350"
"103324","56","ORAL","ADDED","02544679"
