drug_code,unit_of_presentation,uop_size,uop_unit_of_measure,calculation,uop_size_insert,DIN,Product_and_Company_Name,X,index_num,unit_of_presentation_fr
69790,vial,10,mL,N,Y,2245689,LANTUS SANOFI-AVENTIS CANADA INC,,1,fiole
73683,cartridge,3,mL,N,Y,2251930,LANTUS SANOFI-AVENTIS CANADA INC,,2,cartouche
93005,cartridge,3,mL,N,Y,2444844,BASAGLAR ELI LILLY CANADA INC,,2,cartouche
77967,pen,3,mL,N,Y,2294338,LANTUS SANOFI-AVENTIS CANADA INC,,3,stylo
93006,pen,3,mL,N,Y,2444852,BASAGLAR ELI LILLY CANADA INC,,3,stylo
71180,vial,3,mL,Y,N,2246953,AMIODARONE FOR INJECTION 50MG/ML TEVA CANADA LIMITED,,1,fiole
66036,vial,3,mL,Y,N,2242325,AMIODARONE HYDROCHLORIDE FOR INJECTION SANDOZ CANADA INCORPORATED,,1,fiole
86000,syringe,3,mL,Y,N,2374684,AMIODARONE SYRINGE SANDOZ CANADA INCORPORATED,,4,seringue
66036,vial,9,mL,Y,N,2242325,AMIODARONE HYDROCHLORIDE FOR INJECTION SANDOZ CANADA INCORPORATED,,1,fiole
71180,vial,18,mL,Y,N,2246953,AMIODARONE FOR INJECTION 50MG/ML TEVA CANADA LIMITED,,1,fiole
66036,vial,18,mL,Y,N,2242325,AMIODARONE HYDROCHLORIDE FOR INJECTION SANDOZ CANADA INCORPORATED,,1,fiole
69271,vial,3,mL,Y,N,2245248,AMIODARONE HYDROCHLORIDE INJECTION FRESENIUS KABI CANADA LTD,,1,fiole
19798,unit dose vial,1,mL,Y,N,2097168,RATIO-IPRATROPIUM UDV TEVA CANADA LIMITED,,5,fiole unidose
19798,unit dose vial,2,mL,Y,N,2097168,RATIO-IPRATROPIUM UDV TEVA CANADA LIMITED,,5,fiole unidose
50443,bottle,20,mL,N,Y,2231136,PMS-IPRATROPIUM PHARMASCIENCE INC,,6,bouteille
50551,unit dose vial,1,mL,Y,N,2231244,PMS-IPRATROPIUM PHARMASCIENCE INC,,5,fiole unidose
50552,unit dose vial,2,mL,Y,N,2231245,PMS-IPRATROPIUM PHARMASCIENCE INC,,5,fiole unidose
43176,unit dose vial,1,mL,Y,N,2216221,TEVA-IPRATROPIUM STERINEBS TEVA CANADA LIMITED,,5,fiole unidose
43176,unit dose vial,2,mL,Y,N,2216221,TEVA-IPRATROPIUM STERINEBS TEVA CANADA LIMITED,,5,fiole unidose
62586,bottle,20,mL,N,Y,2239131,MYLAN-IPRATROPIUM SOLUTION MYLAN PHARMACEUTICALS ULC,,6,bouteille
62586,unit dose vial,1,mL,Y,N,2239131,MYLAN-IPRATROPIUM SOLUTION MYLAN PHARMACEUTICALS ULC,,5,fiole unidose
62586,unit dose vial,2,mL,Y,N,2239131,MYLAN-IPRATROPIUM SOLUTION MYLAN PHARMACEUTICALS ULC,,5,fiole unidose
50824,unit dose vial,2,mL,Y,N,2231494,APO-IPRAVENT STERULES APOTEX INC,,5,fiole unidose
16947,bottle,20,mL,N,Y,2126222,APO-IPRAVENT SOLUTION - INH 250MCG/ML APOTEX INC,,6,bouteille
67766,unit dose vial,2,mL,Y,N,2243827,APO-IPRAVENT STERULES APOTEX INC,,5,fiole unidose
43798,unit dose vial,2,mL,Y,N,2097176,RATIO-IPRATROPIUM UDV TEVA CANADA LIMITED,,5,fiole unidose
50442,unit dose vial,2,mL,Y,N,2231135,PMS-IPRATROPIUM PHARMASCIENCE INC,,5,fiole unidose
69797,vial,3,mL,Y,N,2245696,AMIODARONE HYDROCHLORIDE FOR INJECTION WITH PRESERVATIVE HOSPIRA HEALTHCARE CORPORATION,,1,fiole
69797,vial,6,mL,Y,N,2245696,AMIODARONE HYDROCHLORIDE FOR INJECTION WITH PRESERVATIVE HOSPIRA HEALTHCARE CORPORATION,,1,fiole
60208,vial,20,mL,Y,N,2236916,ACYCLOVIR SODIUM INJECTION HOSPIRA HEALTHCARE CORPORATION,,1,fiole
60218,vial,10,mL,Y,N,2236926,ACYCLOVIR SODIUM INJECTION FRESENIUS KABI CANADA LTD,,1,fiole
60218,vial,20,mL,Y,N,2236926,ACYCLOVIR SODIUM INJECTION FRESENIUS KABI CANADA LTD,,1,fiole
17277,ampoule,1,mL,Y,N,2131048,LIORESAL INTRATHECAL 0.05MG/ML NOVARTIS PHARMACEUTICALS CANADA INC,,7,ampoule
89827,ampoule,1,mL,Y,N,2413620,VAL-BACLOFEN INTRATHECAL VALEANT CANADA LP/VALEANT CANADA S.E.C.,,7,ampoule
17954,ampoule,20,mL,Y,N,2131056,LIORESAL INTRATHECAL 0.5MG/ML NOVARTIS PHARMACEUTICALS CANADA INC,,7,ampoule
89828,ampoule,20,mL,N,N,2413639,VAL-BACLOFEN INTRATHECAL VALEANT CANADA LP/VALEANT CANADA S.E.C.,,7,ampoule
17276,ampoule,5,mL,Y,N,2131064,LIORESAL INTRATHECAL 2MG/ML NOVARTIS PHARMACEUTICALS CANADA INC,,7,ampoule
89829,ampoule,5,mL,N,N,2413647,VAL-BACLOFEN INTRATHECAL VALEANT CANADA LP/VALEANT CANADA S.E.C.,,7,ampoule
62344,vial,2,mL,Y,N,2238903,BENZTROPINE OMEGA OMEGA LABORATORIES LTD,,1,fiole
69787,ampoule,1,mL,Y,N,2245686,CALCITRIOL INJECTION FRESENIUS KABI CANADA LTD,,7,ampoule
88422,ampoule,1,mL,Y,N,2399334,CALCITRIOL INJECTION USP STERIMAX INC,,7,ampoule
88423,ampoule,2,mL,Y,N,2399342,CALCITRIOL INJECTION USP STERIMAX INC,,7,ampoule
4232,ampoule,1,mL,Y,N,497282,CODEINE PHOSPHATE INJ 30MG/ML HOSPIRA HEALTHCARE CORPORATION,,7,ampoule
4806,ampoule,1,mL,Y,N,544884,CODEINE PHOSPHATE INJECTION USP  SANDOZ CANADA INCORPORATED,,7,ampoule
4233,ampoule,1,mL,Y,N,497290,CODEINE PHOSPHATE INJ 60MG/ML HOSPIRA HEALTHCARE CORPORATION,,7,ampoule
3721,ampoule,2,mL,N,N,399728,DIAZEPAM INJECTION USP SANDOZ CANADA INCORPORATED,,7,ampoule
67132,syringe,2,mL,N,N,2243240,DIAZEPAM AUTOINJECTOR MERIDIAN MEDICAL TECHNOLOGIES INC.,,4,seringue
87102,ampoule,2,mL,Y,N,2385392,DIAZEPAM INJECTION USP ALVEDA PHARMACEUTICALS INC,,7,ampoule
87173,ampoule,2,mL,N,N,2386143,DIAZEPAM INJECTION SDZ SANDOZ CANADA INCORPORATED,,7,ampoule
15756,ampoule,1,mL,Y,N,2048272,PEDIATRIC DIGOXIN INJECTION C.S.D. SANDOZ CANADA INCORPORATED,,7,ampoule
15757,ampoule,2,mL,N,N,2048264,DIGOXIN INJECTION C.S.D. SANDOZ CANADA INCORPORATED,,7,ampoule
49026,vial,5,mL,Y,N,2230274,DILTIAZEM HYDROCHLORIDE INJECTION TEVA CANADA LIMITED,,1,fiole
49026,vial,10,mL,Y,N,2230274,DILTIAZEM HYDROCHLORIDE INJECTION TEVA CANADA LIMITED,,1,fiole
68717,vial,5,mL,Y,N,2244728,DILTIAZEM HYDROCHLORIDE INJECTION SANDOZ CANADA INCORPORATED,,1,fiole
68717,vial,10,mL,Y,N,2244728,DILTIAZEM HYDROCHLORIDE INJECTION SANDOZ CANADA INCORPORATED,,1,fiole
12650,vial,2,mL,Y,N,1923846,VASOTEC IV SANDOZ CANADA INCORPORATED,,1,fiole
87402,vial,1,mL,Y,N,2388499,ENALAPRILAT INJECTION USP STERIMAX INC,,1,fiole
87402,vial,2,mL,Y,N,2388499,ENALAPRILAT INJECTION USP STERIMAX INC,,1,fiole
12664,ampoule,2,mL,Y,N,888346,FENTANYL CITRATE INJECTION HOSPIRA HEALTHCARE CORPORATION,,7,ampoule
12664,ampoule,5,mL,Y,N,888346,FENTANYL CITRATE INJECTION HOSPIRA HEALTHCARE CORPORATION,,7,ampoule
