drug_code,din,brand.name,company.name,brand.name.dpd,company.name.dpd,descriptor
83912,02353903,FEIBA NF,SHIRE PHARMA CANADA ULC,FEIBA NF,TAKEDA CANADA INC,1750 TO 3250 UNITS/VIAL & 50 ML DILUENT
42981,02202581,FEIBA NF,SHIRE PHARMA CANADA ULC,FEIBA NF,TAKEDA CANADA INC,700 TO 1300 UNITS/VIAL & 20 ML DILUENT
98837,02498626,ADYNOVATE,SHIRE PHARMA CANADA ULC,ADYNOVATE,TAKEDA CANADA INC,600 UNITS/ML (5 ML DILUENT) - SINGLE USE VIAL
94619,02459035,ADYNOVATE,SHIRE PHARMA CANADA ULC,ADYNOVATE,TAKEDA CANADA INC,50 UNITS/ML (5 ML DILUENT) - SINGLE-USE VIAL
94620,02459043,ADYNOVATE,SHIRE PHARMA CANADA ULC,ADYNOVATE,TAKEDA CANADA INC,100 UNITS/ML (5 ML DILUENT) - SINGLE-USE VIAL
94621,02459051,ADYNOVATE,SHIRE PHARMA CANADA ULC,ADYNOVATE,TAKEDA CANADA INC,200 UNITS/ML (5 ML DILUENT) - SINGLE-USE VIAL
94622,02459078,ADYNOVATE,SHIRE PHARMA CANADA ULC,ADYNOVATE,TAKEDA CANADA INC,400 UNITS/ML (5 ML DILUENT) - SINGLE-USE VIAL
79517,02309556,TEVA-CYPROTERONE/ETHINYL ESTRADIOL,TEVA CANADA LIMITED,TEVA-CYPROTERONE / ETHINYL ESTRADIOL,TEVA CANADA LIMITED,NA
92104,02436736,CLÉO-35,ALTIUS HEALTHCARE INC,CLÉO -35,ALTIUS HEALTHCARE INC,NA
83160,02346176,SEASONIQUE,TEVA WOMEN'S HEALTH INC. SUBSIDIARY OF TEVA PHARMACEUTICALS USA INC,SEASONIQUE,TEVA CANADA LIMITED,NA
78201,02296659,SEASONALE,TEVA WOMEN'S HEALTH INC. SUBSIDIARY OF TEVA PHARMACEUTICALS USA INC,SEASONALE,TEVA CANADA LIMITED,NA
74376,02258560,TRI-CYCLEN LO (21 DAY),JANSSEN INC,TRI-CYCLEN LO        (-21 DAY),JANSSEN INC,NA
74378,02258587,TRI-CYCLEN LO (28 DAY),JANSSEN INC,TRI-CYCLEN LO        (28 DAY),JANSSEN INC,NA
93100,02445727,REVESTIVE,SHIRE PHARMACEUTICALS IRELAND LIMITED,REVESTIVE,TAKEDA CANADA INC,KIT INCLUDES 5MG POWDER IN VIAL & 0.5ML DILUENT IN PREFILLED SYRINGE
43151,02215136,SAIZEN,"EMD SERONO, A DIVISION OF EMD INC., CANADA",SAIZEN 10IU  -  KIT,"EMD SERONO, A DIVISION OF EMD INC., CANADA",NA
88048,02395371,CINRYZE,VIROPHARMA BIOLOGICS LLC,CINRYZE,TAKEDA CANADA INC,SINGLE-USE VIALS
