tm_code,tm_formal_name,tm_fr_description,changes
8002154,potassium phosphate dibasic and potassium phosphate monobasic,phosphate de potassium dibasique et phosphate de potassium monobasique,ADDED
8002282,fibrinogen human and thrombin human,fibrinogène humaine et thrombine humaine,ADDED
8002161,sodium bicarbonate,bicarbonate de sodium,ADDED
fa7535532fd909c04fb83082f2df5f35,delgocitinib,delgocitinib,ADDED
8001844,magnesium chloride,chlorure de magnésium,ADDED
8001615,chloroxylenol,chloroxylénol,ADDED
8002553,teplizumab,téplizumab,ADDED
8002278,coagulation factor ii (human) and coagulation factor IX human and coagulation factor vii (human) and coagulation factor x (human) and protein c and protein s,facteur II de coagulation humain et facteur IX de coagulation humain et facteur VII de coagulation humain et facteur X de coagulation humain et protéine c et protéine s,ADDED
8000965,aliskiren,aliskirène,"tm_status: ""ACTIVE"" -> ""INACTIVE""
tm_status_effective_time: ""20071126"" -> ""20230831"""
8001579,benzethonium,benzéthonium,ADDED
8002452,cytarabine and daunorubicin,cytarabine et daunorubicine,ADDED
8001757,doxorubicin,doxorubicine,ADDED
8001004,benzoyl peroxide and salicylic acid,peroxyde de benzoyle et acide salicylique,ADDED
8001976,triclosan,triclosan,ADDED
8002047,paclitaxel,paclitaxel,ADDED
8001870,potassium chloride,chlorure de potassium,ADDED
4c9647cd7526fc43305625873ab69a88,rozanolixizumab,rozanolixizumab,ADDED
8000796,benzalkonium,benzalkonium,ADDED
8002160,sodium acetate,acétate de sodium,ADDED
8000204,lithium (ion),lithium (ion),"tm_status_effective_time: ""20180802"" -> ""20250704"""
8001866,petrolatum,pétrolatum,"tm_status_effective_time: ""20100604"" -> ""20140306"""
8001878,sodium iodide,iodure de sodium,ADDED
8002215,amphotericin B,amphotéricine B,ADDED
8002552,belantamab mafodotin,bélantamab mafodotine,ADDED
61b0ba5673b457a7609970776fe3cc9f,dexamethasone (base) and levofloxacin,dexaméthasone (base) et lévofloxacine,ADDED
8001476,follitropin beta,follitropine bêta,ADDED
8000912,alcohol anhydrous and chlorhexidine,alcool anhydre et chlorhexidine,ADDED
