drug_code,route_of_administration_code,route_of_administration,status,drug_identification_number
"103190","56","ORAL","ADDED","02543435"
"100464","56","ORAL","ADDED","02515237"
"103271","65","SUBCUTANEOUS","ADDED","02544180"
"99748","56","ORAL","ADDED","02508125"
"103240","56","ORAL","ADDED","02543990"
"100798","56","ORAL","ADDED","02518686"
"100796","56","ORAL","ADDED","02518651"
"103266","65","SUBCUTANEOUS","ADDED","02544148"
"103202","65","SUBCUTANEOUS","ADDED","02543567"
"103237","93","DISINFECTANT (Domestic)","ADDED","02543958"
"103266","22","INTRAMUSCULAR","ADDED","02544148"
"103213","56","ORAL","ADDED","02543672"
"103272","65","SUBCUTANEOUS","ADDED","02544199"
"102761","70","TOPICAL","ADDED","02538954"
"103237","2","DISINFECTANT (Barn)","ADDED","02543958"
"62400","94","DISINFECTANT (Institutional/Industrial)","ADDED","02238955"
"103207","56","ORAL","ADDED","02543613"
"103219","55","OPHTHALMIC","ADDED","02543745"
"103214","56","ORAL","ADDED","02543680"
"21854","2","DISINFECTANT (Barn)","ADDED","01931814"
"100466","56","ORAL","ADDED","02515253"
"103218","56","ORAL","ADDED","02543737"
"62400","2","DISINFECTANT (Barn)","ADDED","02238955"
"103239","49","INTRAVENOUS","ADDED","02543974"
"100797","56","ORAL","ADDED","02518678"
"99747","56","ORAL","ADDED","02508117"
"103216","56","ORAL","ADDED","02543710"
"99749","56","ORAL","ADDED","02508133"
"103273","65","SUBCUTANEOUS","ADDED","02544202"
"103201","65","SUBCUTANEOUS","ADDED","02543559"
"103233","56","ORAL","ADDED","02543907"
"103274","49","INTRAVENOUS","ADDED","02544210"
"103276","22","INTRAMUSCULAR","ADDED","02544237"
"103196","56","ORAL","ADDED","02543508"
"103237","8","DISINFECTANT (Food Premises)","ADDED","02543958"
"103237","94","DISINFECTANT (Institutional/Industrial)","ADDED","02543958"
"103217","56","ORAL","ADDED","02543729"
"100799","56","ORAL","ADDED","02518694"
"103237","9","DISINFECTANT (Hospital/HC Facilities)","ADDED","02543958"
"103211","56","ORAL","ADDED","02543664"
"103245","56","ORAL","ADDED","02544024"
"103205","56","ORAL","ADDED","02543605"
"103270","56","ORAL","ADDED","02544172"
"103262","49","INTRAVENOUS","ADDED","02544091"
"103234","56","ORAL","ADDED","02543915"
"103261","49","INTRAVENOUS","ADDED","02544083"
"103276","49","INTRAVENOUS","ADDED","02544237"
"103241","49","INTRAVENOUS","ADDED","02543982"
"69443","94","DISINFECTANT (Institutional/Industrial)","ADDED","02245399"
"99750","56","ORAL","ADDED","02508141"
"100465","56","ORAL","ADDED","02515245"
"103246","56","ORAL","ADDED","02544032"
"103266","49","INTRAVENOUS","ADDED","02544148"
"103197","56","ORAL","ADDED","02543516"
