"pharmaceutical_form","route_of_administration"
"TABLET","ORAL"
"LIQUID","INTRAMUSCULAR"
"TABLET (ENTERIC-COATED)","ORAL"
"CREAM","TOPICAL"
"PATCH (EXTENDED RELEASE)","TRANSDERMAL"
"CAPSULE","ORAL"
"DROPS","OPHTHALMIC"
"LIQUID","ORAL"
"POWDER","ORAL"
"LOTION","TOPICAL"
"LIQUID","INTRAVENOUS"
"LIQUID","SUBCUTANEOUS"
"SOLUTION","INHALATION"
"SOLUTION","ORAL"
"DROPS","ORAL"
"SOLUTION","0-UNASSIGNED"
"POWDER","INHALATION"
"METERED-DOSE AEROSOL","INHALATION"
"SOLUTION","TOPICAL"
"SOLUTION","INTRAVENOUS"
"CAPSULE (ENTERIC-COATED)","ORAL"
"SUPPOSITORY","RECTAL"
"OINTMENT","TOPICAL"
"OINTMENT","OPHTHALMIC"
"SYRUP","ORAL"
"SUSPENSION","OPHTHALMIC"
"ELIXIR","ORAL"
"SUSPENSION","ORAL"
"TABLET (EXTENDED-RELEASE)","ORAL"
"GEL","TOPICAL"
"SOLUTION","INTRAMUSCULAR"
"SOLUTION","OPHTHALMIC"
"POWDER FOR SUSPENSION","ORAL"
"LIQUID","INTRASYNOVIAL"
"POWDER FOR SOLUTION","ORAL"
"TABLET","SUBLINGUAL"
"SUSPENSION","SUBCUTANEOUS"
"SOLUTION","BLOCK/INFILTRATION"
"SUPPOSITORY","VAGINAL"
"CREAM","VAGINAL"
"SUSPENSION","INHALATION"
"LIQUID","INTRA-ARTICULAR"
"PASTE","DENTAL"
"TABLET (DELAYED-RELEASE)","ORAL"
"SOLUTION","SUBCUTANEOUS"
"SOLUTION","EPIDURAL"
"SUSPENSION","INTRA-ARTICULAR"
"SUSPENSION","INTRAMUSCULAR"
"TABLET (IMMEDIATE RELEASE)","ORAL"
"TABLET (CHEWABLE)","ORAL"
"CAPSULE (EXTENDED RELEASE)","ORAL"
"POWDER","NASAL"
"SOLUTION","NASAL"
"SOLUTION","INTRAOCULAR"
"CAPSULE (SUSTAINED-RELEASE)","ORAL"
"SUSPENSION","INTRABURSAL"
"SUSPENSION","INTRADERMAL"
"SUSPENSION","INTRASYNOVIAL"
"POWDER FOR SOLUTION","INTRAMUSCULAR"
"POWDER FOR SOLUTION","INTRAVENOUS"
"KIT","DENTAL"
"SOLUTION","DENTAL"
"TABLET","RECTAL"
"KIT","RECTAL"
"ENEMA","RECTAL"
"WIPE","TOPICAL (HOSPITAL/HC FACILITIES)"
"LIQUID","BLOCK/INFILTRATION"
"GEL","VAGINAL"
"GRANULES FOR SUSPENSION","ORAL"
"SOLUTION","INTRATHECAL"
"OINTMENT","RECTAL"
"LIQUID","RECTAL"
"SUSPENSION","RECTAL"
"CAPSULE (DELAYED RELEASE)","ORAL"
"RING (SLOW-RELEASE)","VAGINAL"
"SOLUTION (LONG-ACTING)","OPHTHALMIC"
"SUSPENSION","NASAL"
"METERED-DOSE AEROSOL","NASAL"
"PATCH","TRANSDERMAL"
"SPRAY","TOPICAL"
"SPONGE","TOPICAL (HOSPITAL/HC FACILITIES)"
"SOLUTION","TOPICAL (HOSPITAL/HC FACILITIES)"
"SOLUTION","INTRA-ARTERIAL"
"SPRAY, METERED DOSE","NASAL"
"MOUTHWASH/GARGLE","BUCCAL"
"LIQUID","TOPICAL"
"SWAB","TOPICAL (HOSPITAL/HC FACILITIES)"
"LIQUID","OPHTHALMIC"
"AEROSOL","RECTAL"
"LIQUID","INTRALESIONAL"
"LIQUID","SOFT TISSUE INJECTION"
"GEL","RECTAL"
"DROPS","OTIC"
"SPRAY","NASAL"
"SHAMPOO","TOPICAL"
"TABLET (EFFERVESCENT)","ORAL"
"MOUTHWASH/GARGLE","ORAL"
"SOLUTION","INTRAVENTRICULAR"
"PAD","TOPICAL"
"CAPSULE (CONTROLLED-DELIVERY)","ORAL"
"CAPSULE","INHALATION"
"METERED-DOSE PUMP","SUBLINGUAL"
"AEROSOL, FOAM","RECTAL"
"KIT","ORAL"
"GEL","TRANSDERMAL"
"LIQUID","INHALATION"
"LIQUID","EPIDURAL"
"TABLET (ORALLY DISINTEGRATING)","ORAL"
"CAPSULE (IMMEDIATE RELEASE)","ORAL"
"SOLUTION","INTRASYNOVIAL"
"GEL (CONTROLLED-RELEASE)","SUBGINGIVAL"
"SWAB","TOPICAL"
"INSERT (EXTENDED-RELEASE)","INTRAUTERINE"
