mp_code,mp_fr_description,ntp_fr_description,tm_fr_description,changes
"00027944","VALISONE (bétaméthasone (valérate de bétaméthasone) 0,1 % lotion) BAUSCH HEALTH, CANADA INC.","bétaméthasone (valérate de bétaméthasone) 0,1 % lotion","valérate de bétaméthasone","mp_fr_description: ""VALISONE SCALP LOTION (bétaméthasone (valérate de bétaméthasone) 0,1 % lotion) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""VALISONE (bétaméthasone (valérate de bétaméthasone) 0,1 % lotion) BAUSCH HEALTH, CANADA INC."""
"00177016","VALISONE-G (bétaméthasone (valérate de bétaméthasone) 0,1 % et gentamicine (sulfate de gentamicine) 0,1 % crème cutanée) BAUSCH HEALTH, CANADA INC.","bétaméthasone (valérate de bétaméthasone) 0,1 % et gentamicine (sulfate de gentamicine) 0,1 % crème cutanée","valérate de bétaméthasone et gentamicine","mp_fr_description: ""VALISONE-G CREAM (bétaméthasone (valérate de bétaméthasone) 0,1 % et gentamicine (sulfate de gentamicine) 0,1 % crème cutanée) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""VALISONE-G (bétaméthasone (valérate de bétaméthasone) 0,1 % et gentamicine (sulfate de gentamicine) 0,1 % crème cutanée) BAUSCH HEALTH, CANADA INC."""
"00232351","VALISONE-G (bétaméthasone (valérate de bétaméthasone) 0,1 % et gentamicine (sulfate de gentamicine) 0,1 % pommade cutanée) BAUSCH HEALTH, CANADA INC.","bétaméthasone (valérate de bétaméthasone) 0,1 % et gentamicine (sulfate de gentamicine) 0,1 % pommade cutanée","valérate de bétaméthasone et gentamicine","mp_fr_description: ""VALISONE-G OINTMENT (bétaméthasone (valérate de bétaméthasone) 0,1 % et gentamicine (sulfate de gentamicine) 0,1 % pommade cutanée) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""VALISONE-G (bétaméthasone (valérate de bétaméthasone) 0,1 % et gentamicine (sulfate de gentamicine) 0,1 % pommade cutanée) BAUSCH HEALTH, CANADA INC."""
"00402753","APO-PROPRANOLOL (chlorhydrate de propranolol 40 mg comprimé oral) APOTEX INC","chlorhydrate de propranolol 40 mg comprimé oral","propranolol","mp_fr_description: ""APO PROPRANOLOL TAB 40MG (chlorhydrate de propranolol 40 mg comprimé oral) APOTEX INC"" -> ""APO-PROPRANOLOL (chlorhydrate de propranolol 40 mg comprimé oral) APOTEX INC"""
"00402761","APO-PROPRANOLOL (chlorhydrate de propranolol 80 mg comprimé oral) APOTEX INC","chlorhydrate de propranolol 80 mg comprimé oral","propranolol","mp_fr_description: ""APO PROPRANOLOL TAB 80MG (chlorhydrate de propranolol 80 mg comprimé oral) APOTEX INC"" -> ""APO-PROPRANOLOL (chlorhydrate de propranolol 80 mg comprimé oral) APOTEX INC"""
"00402788","APO-PROPRANOLOL (chlorhydrate de propranolol 10 mg comprimé oral) APOTEX INC","chlorhydrate de propranolol 10 mg comprimé oral","propranolol","mp_fr_description: ""APO PROPRANOLOL TAB 10MG (chlorhydrate de propranolol 10 mg comprimé oral) APOTEX INC"" -> ""APO-PROPRANOLOL (chlorhydrate de propranolol 10 mg comprimé oral) APOTEX INC"""
"00504335","APO-PROPRANOLOL (chlorhydrate de propranolol 120 mg comprimé oral) APOTEX INC","chlorhydrate de propranolol 120 mg comprimé oral","propranolol","mp_fr_description: ""APO PROPRANOLOL TAB 120MG (chlorhydrate de propranolol 120 mg comprimé oral) APOTEX INC"" -> ""APO-PROPRANOLOL (chlorhydrate de propranolol 120 mg comprimé oral) APOTEX INC"""
"00518182","STIEVA-A (trétinoïne 0,05 % crème cutanée) GLAXOSMITHKLINE INC","trétinoïne 0,05 % crème cutanée","trétinoïne","mp_fr_description: ""STIEVA-A CREAM (trétinoïne 0,05 % crème cutanée) GLAXOSMITHKLINE INC"" -> ""STIEVA-A (trétinoïne 0,05 % crème cutanée) GLAXOSMITHKLINE INC"""
"00560952","MINIPRESS (prazosine (chlorhydrate de prazosine) 1 mg comprimé oral) AA PHARMA INC","prazosine (chlorhydrate de prazosine) 1 mg comprimé oral","prazosine","mp_fr_description: ""MINIPRESS (prazosine (chlorhydrate de prazosine) 1 mg comprimé oral) ASPRI PHARMA CANADA INC"" -> ""MINIPRESS (prazosine (chlorhydrate de prazosine) 1 mg comprimé oral) AA PHARMA INC"""
"00560960","MINIPRESS (prazosine (chlorhydrate de prazosine) 2 mg comprimé oral) AA PHARMA INC","prazosine (chlorhydrate de prazosine) 2 mg comprimé oral","prazosine","mp_fr_description: ""MINIPRESS (prazosine (chlorhydrate de prazosine) 2 mg comprimé oral) ASPRI PHARMA CANADA INC"" -> ""MINIPRESS (prazosine (chlorhydrate de prazosine) 2 mg comprimé oral) AA PHARMA INC"""
"00560979","MINIPRESS (prazosine (chlorhydrate de prazosine) 5 mg comprimé oral) AA PHARMA INC","prazosine (chlorhydrate de prazosine) 5 mg comprimé oral","prazosine","mp_fr_description: ""MINIPRESS (prazosine (chlorhydrate de prazosine) 5 mg comprimé oral) ASPRI PHARMA CANADA INC"" -> ""MINIPRESS (prazosine (chlorhydrate de prazosine) 5 mg comprimé oral) AA PHARMA INC"""
"00578576","STIEVA-A (trétinoïne 0,025 % crème cutanée) GLAXOSMITHKLINE INC","trétinoïne 0,025 % crème cutanée","trétinoïne","mp_fr_description: ""STIEVA-A CREAM (trétinoïne 0,025 % crème cutanée) GLAXOSMITHKLINE INC"" -> ""STIEVA-A (trétinoïne 0,025 % crème cutanée) GLAXOSMITHKLINE INC"""
"00657204","STIEVA-A (trétinoïne 0,01 % crème cutanée) GLAXOSMITHKLINE INC","trétinoïne 0,01 % crème cutanée","trétinoïne","mp_fr_description: ""STIEVA-A CREAM (trétinoïne 0,01 % crème cutanée) GLAXOSMITHKLINE INC"" -> ""STIEVA-A (trétinoïne 0,01 % crème cutanée) GLAXOSMITHKLINE INC"""
"00663719","APO-PROPRANOLOL (chlorhydrate de propranolol 20 mg comprimé oral) APOTEX INC","chlorhydrate de propranolol 20 mg comprimé oral","propranolol","mp_fr_description: ""APO-PROPRANOLOL TAB 20MG (chlorhydrate de propranolol 20 mg comprimé oral) APOTEX INC"" -> ""APO-PROPRANOLOL (chlorhydrate de propranolol 20 mg comprimé oral) APOTEX INC"""
"02003767","XYLOCAINE SPRAY (lidocaïne 10 mg par actionnement vaporisation nasale/buccale) ASPEN PHARMACARE CANADA INC.","lidocaïne 10 mg par actionnement vaporisation nasale/buccale","lidocaïne","mp_fr_description: ""XYLOCAINE ENDOTRACHEAL (lidocaïne (chlorhydrate de lidocaïne) 10 mg par actionnement instillation endotrachéobronchique) ASPEN PHARMACARE CANADA INC."" -> ""XYLOCAINE SPRAY (lidocaïne 10 mg par actionnement vaporisation nasale/buccale) ASPEN PHARMACARE CANADA INC.""
ntp_code: ""9013913"" -> ""9014459""
ntp_fr_description: ""lidocaïne (chlorhydrate de lidocaïne) 10 mg par actionnement instillation endotrachéobronchique"" -> ""lidocaïne 10 mg par actionnement vaporisation nasale/buccale"""
"02063743","PMS-BACLOFEN (baclofène 20 mg comprimé oral) PHARMASCIENCE INC","baclofène 20 mg comprimé oral","baclofène","mp_fr_description: ""PMS-BACLOFEN TAB 20MG (baclofène 20 mg comprimé oral) PHARMASCIENCE INC"" -> ""PMS-BACLOFEN (baclofène 20 mg comprimé oral) PHARMASCIENCE INC"""
"02153513","ONCOTICE (bacille de Calmette-Guérin sous-souche TICE 800000000 unité par fiole poudre pour solution intravésicale) MERCK CANADA INC","bacille de Calmette-Guérin sous-souche TICE 800000000 unité par fiole poudre pour solution intravésicale","bacille de Calmette-Guérin sous-souche TICE","mp_fr_description: ""ONCOTICE (bacille de Calmette-Guérin sous-souche TICE 800000000 unité par fiole poudre pour solution injectable) MERCK CANADA INC"" -> ""ONCOTICE (bacille de Calmette-Guérin sous-souche TICE 800000000 unité par fiole poudre pour solution intravésicale) MERCK CANADA INC""
ntp_code: ""9002743"" -> ""9014445""
ntp_fr_description: ""bacille de Calmette-Guérin sous-souche TICE 800000000 unité par fiole poudre pour solution injectable"" -> ""bacille de Calmette-Guérin sous-souche TICE 800000000 unité par fiole poudre pour solution intravésicale"""
"02161923","LIDEX (fluocinonide 0,05 % crème cutanée) BAUSCH HEALTH, CANADA INC.","fluocinonide 0,05 % crème cutanée","fluocinonide","mp_fr_description: ""LIDEX (fluocinonide 0,05 % crème cutanée) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""LIDEX (fluocinonide 0,05 % crème cutanée) BAUSCH HEALTH, CANADA INC."""
"02161966","LIDEX (fluocinonide 0,05 % pommade cutanée) BAUSCH HEALTH, CANADA INC.","fluocinonide 0,05 % pommade cutanée","fluocinonide","mp_fr_description: ""LIDEX (fluocinonide 0,05 % pommade cutanée) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""LIDEX (fluocinonide 0,05 % pommade cutanée) BAUSCH HEALTH, CANADA INC."""
"02161974","LIDEX (fluocinonide 0,05 % gel cutané) BAUSCH HEALTH, CANADA INC.","fluocinonide 0,05 % gel cutané","fluocinonide","mp_fr_description: ""LIDEX (fluocinonide 0,05 % gel cutané) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""LIDEX (fluocinonide 0,05 % gel cutané) BAUSCH HEALTH, CANADA INC."""
"02206021","IMMUNINE VH (facteur IX de coagulation humain 480-720 unité par fiole poudre pour solution injectable avec solution diluante) TAKEDA CANADA INC","facteur IX de coagulation humain 480-720 unité par fiole poudre pour solution injectable avec solution diluante","facteur IX de coagulation humain","mp_fr_description: ""IMMUNINE VH (facteur IX de coagulation humain 480-720 unité par fiole poudre pour solution injectable avec solution diluante) SHIRE PHARMA CANADA ULC"" -> ""IMMUNINE VH (facteur IX de coagulation humain 480-720 unité par fiole poudre pour solution injectable avec solution diluante) TAKEDA CANADA INC"""
"02220172","LOVASTATIN (lovastatine 20 mg comprimé oral) AA PHARMA INC","lovastatine 20 mg comprimé oral","lovastatine","mp_fr_description: ""APO-LOVASTATIN - TAB 20MG (lovastatine 20 mg comprimé oral) APOTEX INC"" -> ""LOVASTATIN (lovastatine 20 mg comprimé oral) AA PHARMA INC"""
"02220180","LOVASTATIN (lovastatine 40 mg comprimé oral) AA PHARMA INC","lovastatine 40 mg comprimé oral","lovastatine","mp_fr_description: ""APO-LOVASTATIN - TAB 40MG (lovastatine 40 mg comprimé oral) APOTEX INC"" -> ""LOVASTATIN (lovastatine 40 mg comprimé oral) AA PHARMA INC"""
"02229516","GLYCON (chlorhydrate de metformine 500 mg comprimé oral) BAUSCH HEALTH, CANADA INC.","chlorhydrate de metformine 500 mg comprimé oral","metformine","mp_fr_description: ""GLYCON (chlorhydrate de metformine 500 mg comprimé oral) VALEANT CANADA LP/VALEANT CANADA S.E.C."" -> ""GLYCON (chlorhydrate de metformine 500 mg comprimé oral) BAUSCH HEALTH, CANADA INC."""
