drug_code,pharm_form_code,pharmaceutical_form,status,drug_identification_number
"99505","98","SPRAY","ADDED","02505665"
"99849","98","SPRAY","ADDED","02509180"
"99921","163","GRANULES FOR SOLUTION","ADDED","02509954"
"99506","105","WIPE","ADDED","02505673"
"99862","105","WIPE","ADDED","02509334"
"99505","134","SOLUTION","ADDED","02505665"
"99899","105","WIPE","ADDED","02509709"
"99931","114","GEL","ADDED","02510057"
"99846","134","SOLUTION","ADDED","02509156"
"43021","85","TABLET","ADDED","02207664"
"99845","134","SOLUTION","ADDED","02509148"
"99580","98","SPRAY","ADDED","02506432"
"99958","134","SOLUTION","ADDED","02510359"
"85608","134","SOLUTION","ADDED","02370883"
"99895","105","WIPE","ADDED","02509679"
"99879","114","GEL","ADDED","02509490"
"6095","18","ELIXIR","REMOVED","00645575"
"99843","134","SOLUTION","ADDED","02509113"
"99914","114","GEL","ADDED","02509865"
"99889","85","TABLET","ADDED","02509601"
"94650","134","SOLUTION","ADDED","02459302"
"99901","79","SUSPENSION","ADDED","02509725"
"99635","134","SOLUTION","ADDED","02506939"
"99957","98","SPRAY","ADDED","02510340"
"99841","134","SOLUTION","ADDED","02509091"
"99947","134","SOLUTION","ADDED","02510235"
"6095","134","SOLUTION","ADDED","00645575"
"99842","134","SOLUTION","ADDED","02509105"
"99908","132","TABLET (ORALLY DISINTEGRATING)","ADDED","02509814"
"99928","134","SOLUTION","ADDED","02510022"
"98253","85","TABLET","ADDED","02492520"
"99896","85","TABLET","ADDED","02509687"
"99918","85","TABLET","ADDED","02509911"
"99962","134","SOLUTION","ADDED","02510391"
"99957","134","SOLUTION","ADDED","02510340"
"99929","85","TABLET","ADDED","02510030"
"85608","34","LIQUID","REMOVED","02370883"
"99927","79","SUSPENSION","ADDED","02510014"
"99877","105","WIPE","ADDED","02509482"
"94651","134","SOLUTION","ADDED","02459310"
"99907","132","TABLET (ORALLY DISINTEGRATING)","ADDED","02509806"
"99903","134","SOLUTION","ADDED","02509741"
"92545","85","TABLET","ADDED","02441098"
"99880","134","SOLUTION","ADDED","02509504"
"99925","98","SPRAY","ADDED","02509997"
"98254","85","TABLET","ADDED","02492539"
"92548","85","TABLET","ADDED","02441136"
"99881","78","SUPPOSITORY","ADDED","02509512"
"99961","43","OINTMENT","ADDED","02510383"
"99852","79","SUSPENSION","ADDED","02509210"
"99900","105","WIPE","ADDED","02509717"
"99888","36","LOTION","ADDED","02509598"
"99913","85","TABLET","ADDED","02509857"
"99942","134","SOLUTION","ADDED","02510189"
"99925","134","SOLUTION","ADDED","02509997"
"70975","5","CAPSULE","ADDED","02246775"
"99890","85","TABLET","ADDED","02509628"
"99850","98","SPRAY","ADDED","02509199"
"99229","134","SOLUTION","ADDED","02502747"
"99955","134","SOLUTION","ADDED","02510324"
"92546","85","TABLET","ADDED","02441101"
"99905","134","SOLUTION","ADDED","02509776"
"99891","85","TABLET","ADDED","02509636"
"92547","85","TABLET","ADDED","02441128"
"99859","75","TABLET (EXTENDED-RELEASE)","ADDED","02509296"
"99897","134","SOLUTION","ADDED","02509695"
"99923","85","TABLET","ADDED","02509970"
"99844","134","SOLUTION","ADDED","02509121"
"99887","85","TABLET","ADDED","02509571"
"99912","134","SOLUTION","ADDED","02509849"
"99876","134","SOLUTION","ADDED","02509474"
"99904","134","SOLUTION","ADDED","02509768"
"99839","134","SOLUTION","ADDED","02509075"
"99840","134","SOLUTION","ADDED","02509083"
"94649","134","SOLUTION","ADDED","02459299"
"99924","85","TABLET","ADDED","02509989"
"99838","85","TABLET","ADDED","02509067"
"98255","85","TABLET","ADDED","02492547"
"99911","105","WIPE","ADDED","02509830"
"99936","105","WIPE","ADDED","02510111"
"99580","134","SOLUTION","ADDED","02506432"
"99958","98","SPRAY","ADDED","02510359"
"88989","85","TABLET","ADDED","02405059"
"99910","36","LOTION","ADDED","02509822"
