drug_code,drug_identification_number,current_brand_name,previous_brand_name
"18744","02148463","MINIMS PILOCARPINE NITRATE","MINIMS PILOCARPINE NITRATE 2%"
"18750","02148498","MINIMS PREDNISOLONE SODIUM PHOSPHATE","MINIMS PREDNISOLONE SODIUM PHOSPHATE 0.5%"
"18758","02148536","MINIMS TROPICAMIDE","MINIMS TROPICAMIDE 1%"
"18759","02148455","MINIMS PHENYLEPHRINE HYDROCHLORIDE","MINIMS PHENYLEPHRINE HYDROCHLORIDE 10%"
"18860","02148447","MINIMS PHENYLEPHRINE HYDROCHLORIDE","MINIMS PHENYLEPHRINE HYDROCHLORIDE 2.5%"
"43306","02221802","LOPROX","LOPROX CREAM"
"43307","02221810","LOPROX","LOPROX LOTION"
"50338","02231057","DILTIAZEM-CD","DILTIAZEM - CD"
"50796","02231472","DILTIAZEM-CD","DILTIAZEM - CD"
"50798","02231474","DILTIAZEM-CD","DILTIAZEM - CD"
"50799","02231475","DILTIAZEM-CD","DILTIAZEM - CD"
"74279","02257548","JAMP DIPHENHYDRAMINE 25 MG","DIPHENHYDRAMINE HYDROCHLORIDE 25 MG CAPLET"
"74280","02257556","JAMP DIPHENHYDRAMINE 50 MG","DIPHENHYDRAMINE HYDROCHLORIDE 50MG CAPLET"
"75964","02274183","TEVA-LEVETIRACETAM","ACT LEVETIRACETAM"
"75965","02274191","TEVA-LEVETIRACETAM","ACT LEVETIRACETAM"
"75966","02274205","TEVA-LEVETIRACETAM","ACT LEVETIRACETAM"
"85608","02370883","DISINFECT IT","CHEMEX BACTICLEAN 64"
"88749","02402645","ACH-DONEPEZIL","DONEPEZIL HYDROCHLORIDE TABLETS"
"88750","02402653","ACH-DONEPEZIL","DONEPEZIL HYDROCHLORIDE TABLETS"
"9","00015741","TAPAZOLE","TAPAZOLE 5MG TABLET"
"18760","02171848","CYCLOBENZAPRINE","NU-CYCLOBENZAPRINE-TAB 10MG"
"18849","02173344","CLONAZEPAM","NU-CLONAZEPAM - TAB 0.5MG"
"18850","02173352","CLONAZEPAM","NU-CLONAZEPAM - TAB 2MG"
"19730","02185415","MEGESTROL","NU-MEGESTROL - TAB 40MG"
"19731","02185423","MEGESTROL","NU-MEGESTROL - TAB 160MG"
"19799","02207672","BUSPIRONE","NU-BUSPIRONE - TAB 10MG"
"43372","02223570","TEMAZEPAM","NU-TEMAZEPAM"
"43373","02223589","TEMAZEPAM","NU-TEMAZEPAM"
